* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jun 15, 2025 4:42:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Project Meta (Spring L) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.868, -6.2310
20.600000, 80.857, -6.5456
20.900000, 80.841, -6.9554
21.200001, 80.821, -7.4122
21.400000, 80.807, -7.7231
21.799999, 80.777, -8.3084
22.000000, 80.763, -8.5671
22.400000, 80.741, -9.0112
22.700001, 80.728, -9.3003
23.000000, 80.717, -9.5796
23.299999, 80.703, -9.8687
23.600000, 80.685, -10.1740
24.000000, 80.651, -10.5939
24.299999, 80.621, -10.9024
24.700001, 80.581, -11.2923
25.000000, 80.556, -11.5746
25.400000, 80.530, -11.9616
25.799999, 80.507, -12.3826
26.200001, 80.480, -12.8319
26.500000, 80.453, -13.1659
26.900000, 80.410, -13.5705
27.200001, 80.377, -13.8299
27.600000, 80.340, -14.1256
28.000000, 80.314, -14.4040
28.500000, 80.293, -14.7992
29.000000, 80.271, -15.2728
29.500000, 80.234, -15.7739
30.000000, 80.185, -16.2298
30.400000, 80.142, -16.5431
30.700001, 80.110, -16.7557
31.100000, 80.069, -17.0265
31.500000, 80.029, -17.2988
32.000000, 79.977, -17.6536
32.500000, 79.927, -18.0317
33.000000, 79.882, -18.4438
33.500000, 79.845, -18.8908
34.000000, 79.809, -19.3425
34.500000, 79.769, -19.7457
35.000000, 79.720, -20.0678
35.500000, 79.664, -20.3278
36.000000, 79.606, -20.5795
36.500000, 79.549, -20.8630
37.000000, 79.495, -21.1761
37.500000, 79.446, -21.4949
38.200001, 79.384, -21.9307
38.700001, 79.338, -22.2403
39.500000, 79.254, -22.7255
40.000000, 79.201, -23.0092
40.599998, 79.143, -23.3274
41.200001, 79.084, -23.6237
41.799999, 79.020, -23.9141
42.500000, 78.944, -24.3128
43.099998, 78.882, -24.7408
43.700001, 78.820, -25.1814
44.400002, 78.741, -25.5701
45.000000, 78.663, -25.7696
45.500000, 78.587, -25.8801
46.200001, 78.474, -26.0138
46.799999, 78.392, -26.1757
47.500000, 78.321, -26.5086
48.200001, 78.258, -26.9526
48.700001, 78.213, -27.2305
49.400002, 78.162, -27.4911
50.000000, 78.131, -27.6674
50.799999, 78.069, -27.9144
51.500000, 77.980, -28.1034
52.200001, 77.881, -28.3490
53.000000, 77.772, -28.8193
53.799999, 77.663, -29.2544
54.500000, 77.579, -29.4338
55.200001, 77.503, -29.5764
56.000000, 77.410, -29.8876
57.000000, 77.296, -30.3920
58.000000, 77.225, -30.6312
59.000000, 77.182, -30.4828
60.000000, 77.057, -30.5817
60.799999, 76.872, -30.9741
61.500000, 76.754, -31.2804
62.200001, 76.739, -31.4360
63.000000, 76.724, -31.4286
64.000000, 76.468, -31.1494
65.000000, 76.150, -31.1347
66.000000, 76.123, -31.3895
67.000000, 76.078, -30.8997
68.000000, 75.559, -29.8592
69.000000, 75.148, -29.3612
70.000000, 75.507, -30.6961
71.000000, 75.773, -30.9521
72.000000, 75.617, -29.2681
73.000000, 75.305, -29.9512
74.000000, 74.834, -31.0705
75.000000, 74.465, -28.8350
76.199997, 74.411, -25.8918
77.500000, 74.558, -22.6322
78.800003, 74.719, -20.2406
80.000000, 74.487, -22.7313
81.199997, 74.175, -23.5578
82.500000, 73.837, -20.4133
83.800003, 73.644, -18.2331
85.000000, 73.694, -18.1681
86.199997, 74.059, -16.8028
87.500000, 74.661, -15.4870
88.500000, 74.953, -14.5334
90.000000, 74.948, -14.5085
91.199997, 74.880, -16.2473
92.500000, 74.899, -17.8462
93.800003, 74.968, -18.2187
95.000000, 75.057, -19.0632
96.199997, 75.066, -20.3511
97.500000, 74.975, -21.3196
98.800003, 74.880, -22.1250
100.000000, 74.802, -22.6818
101.500000, 74.666, -22.5534
103.000000, 74.491, -22.3478
104.400002, 74.353, -22.5892
106.000000, 74.173, -23.1977
107.500000, 74.016, -23.7668
109.000000, 73.919, -23.7648
110.599998, 73.803, -23.3271
112.000000, 73.674, -23.0390
113.800003, 73.520, -22.8009
115.000000, 73.421, -22.5844
117.199997, 73.230, -22.2290
118.000000, 73.165, -21.9798
120.599998, 72.971, -20.9068
122.000000, 72.866, -20.8983
124.099998, 72.706, -20.6596
125.000000, 72.640, -20.4326
126.500000, 72.542, -19.9981
128.000000, 72.448, -19.5205
131.500000, 72.202, -18.3633
132.000000, 72.169, -18.2239
134.000000, 72.048, -17.6064
136.000000, 71.939, -16.8426
138.000000, 71.833, -16.1388
140.000000, 71.730, -15.4223
143.000000, 71.572, -14.2407
145.000000, 71.474, -13.4913
147.500000, 71.369, -12.6161
150.000000, 71.252, -11.6826
152.500000, 71.138, -10.7181
155.000000, 71.030, -9.6238
157.500000, 70.926, -8.5510
160.000000, 70.811, -7.3342
162.500000, 70.694, -5.9026
165.000000, 70.599, -4.3149
167.500000, 70.528, -2.4969
170.000000, 70.517, -0.4293
172.500000, 70.602, 1.8653
175.000000, 70.800, 3.7710
177.500000, 71.066, 4.8119
180.000000, 71.293, 4.8611
182.500000, 71.435, 4.3750
185.000000, 71.497, 3.8941
187.500000, 71.512, 3.5488
190.000000, 71.485, 3.4490
192.500000, 71.416, 3.5555
195.000000, 71.346, 3.8887
197.500000, 71.304, 4.3363
200.000000, 71.272, 4.7011
203.000000, 71.234, 5.1820
206.000000, 71.195, 5.7738
209.000000, 71.152, 6.3950
212.000000, 71.128, 7.0138
214.000000, 71.117, 7.4569
218.000000, 71.095, 8.3893
220.000000, 71.085, 8.7820
224.000000, 71.064, 9.5284
227.000000, 71.047, 10.1491
230.000000, 71.047, 10.7878
233.000000, 71.058, 11.4051
236.000000, 71.068, 11.9996
240.000000, 71.069, 12.7693
243.000000, 71.072, 13.3323
247.000000, 71.077, 14.0522
250.000000, 71.076, 14.5813
254.000000, 71.081, 15.2680
258.000000, 71.091, 15.9034
262.000000, 71.102, 16.4704
265.000000, 71.113, 16.9290
269.000000, 71.122, 17.5519
272.000000, 71.125, 17.9834
276.000000, 71.130, 18.5486
280.000000, 71.142, 19.1272
285.000000, 71.158, 19.8217
290.000000, 71.176, 20.4791
295.000000, 71.192, 21.1466
300.000000, 71.202, 21.7849
304.000000, 71.206, 22.2670
307.000000, 71.214, 22.6153
311.000000, 71.223, 23.0553
315.000000, 71.227, 23.5036
320.000000, 71.236, 24.0611
325.000000, 71.244, 24.6501
330.000000, 71.246, 25.2639
335.000000, 71.253, 25.8264
340.000000, 71.265, 26.2991
345.000000, 71.272, 26.7876
350.000000, 71.280, 27.3118
355.000000, 71.283, 27.8215
360.000000, 71.284, 28.3141
365.000000, 71.287, 28.8282
370.000000, 71.289, 29.3318
375.000000, 71.292, 29.7930
382.000000, 71.296, 30.4363
387.000000, 71.298, 30.9145
395.000000, 71.292, 31.6353
400.000000, 71.286, 32.0542
406.000000, 71.278, 32.6017
412.000000, 71.277, 33.1767
418.000000, 71.277, 33.7293
425.000000, 71.277, 34.3411
431.000000, 71.275, 34.8863
437.000000, 71.268, 35.4413
444.000000, 71.256, 36.0612
450.000000, 71.249, 36.5930
455.000000, 71.242, 37.0162
462.000000, 71.226, 37.6623
468.000000, 71.212, 38.2328
475.000000, 71.201, 38.8386
482.000000, 71.194, 39.4181
487.000000, 71.185, 39.8381
494.000000, 71.166, 40.4119
500.000000, 71.155, 40.9267
508.000000, 71.141, 41.6157
515.000000, 71.123, 42.2371
522.000000, 71.106, 42.8537
530.000000, 71.085, 43.5696
538.000000, 71.065, 44.2896
545.000000, 71.048, 44.8804
552.000000, 71.033, 45.4655
560.000000, 71.018, 46.1759
570.000000, 70.996, 47.0717
580.000000, 70.968, 47.9321
590.000000, 70.945, 48.8713
600.000000, 70.917, 49.8151
608.000000, 70.893, 50.5643
615.000000, 70.881, 51.2144
622.000000, 70.869, 51.8379
630.000000, 70.847, 52.5681
640.000000, 70.814, 53.5310
650.000000, 70.785, 54.5001
660.000000, 70.766, 55.4377
670.000000, 70.744, 56.3537
680.000000, 70.720, 57.3139
690.000000, 70.698, 58.2889
700.000000, 70.681, 59.2356
710.000000, 70.663, 60.1966
720.000000, 70.640, 61.2122
730.000000, 70.612, 62.2125
740.000000, 70.588, 63.2205
750.000000, 70.572, 64.2376
762.000000, 70.558, 65.4465
775.000000, 70.540, 66.7643
788.000000, 70.532, 68.0782
800.000000, 70.525, 69.2996
812.000000, 70.518, 70.5841
825.000000, 70.516, 71.9769
838.000000, 70.517, 73.3108
850.000000, 70.518, 74.5634
862.000000, 70.522, 75.8462
875.000000, 70.542, 77.2543
885.000000, 70.558, 78.3257
900.000000, 70.574, 79.8685
912.000000, 70.593, 81.1018
925.000000, 70.621, 82.4587
938.000000, 70.656, 83.8406
950.000000, 70.690, 85.0529
962.000000, 70.729, 86.1953
975.000000, 70.780, 87.4040
988.000000, 70.834, 88.6236
1000.000000, 70.882, 89.7572
1015.000000, 70.939, 91.1297
1030.000000, 71.003, 92.4334
1044.000000, 71.064, 93.6329
1060.000000, 71.138, 94.9394
1075.000000, 71.209, 96.1216
1090.000000, 71.278, 97.2896
1106.000000, 71.360, 98.5090
1120.000000, 71.430, 99.5472
1138.000000, 71.512, 100.8304
1150.000000, 71.562, 101.6531
1172.000000, 71.650, 103.0548
1180.000000, 71.681, 103.5637
1206.000000, 71.785, 105.1882
