* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jun 16, 2025 12:30:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Project Meta (Stock L Shall) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.580, -7.1617
20.600000, 81.632, -6.8253
20.900000, 81.639, -6.3466
21.200001, 81.582, -5.8445
21.400000, 81.516, -5.5461
21.799999, 81.355, -5.1361
22.000000, 81.280, -5.0565
22.400000, 81.177, -5.1849
22.700001, 81.154, -5.5248
23.000000, 81.166, -6.0378
23.299999, 81.187, -6.6731
23.600000, 81.187, -7.3715
24.000000, 81.119, -8.3024
24.299999, 81.015, -8.9418
24.700001, 80.848, -9.6793
25.000000, 80.749, -10.1645
25.400000, 80.716, -10.7850
25.799999, 80.808, -11.4024
26.200001, 80.970, -11.9143
26.500000, 81.081, -12.1108
26.900000, 81.154, -12.0024
27.200001, 81.138, -11.6632
27.600000, 81.031, -11.0889
28.000000, 80.868, -10.8009
28.500000, 80.656, -11.4329
29.000000, 80.498, -13.0997
29.500000, 80.432, -14.8186
30.000000, 80.451, -15.5539
30.400000, 80.496, -15.3587
30.700001, 80.521, -15.0237
31.100000, 80.511, -14.7468
31.500000, 80.429, -15.0006
32.000000, 80.242, -16.0515
32.500000, 80.063, -17.2708
33.000000, 80.008, -17.8241
33.500000, 80.098, -17.4920
34.000000, 80.226, -16.7662
34.500000, 80.256, -16.2498
35.000000, 80.145, -16.2241
35.500000, 79.975, -16.7170
36.000000, 79.868, -17.6580
36.500000, 79.865, -18.8506
37.000000, 79.895, -19.9261
37.500000, 79.876, -20.5129
38.200001, 79.772, -20.4679
38.700001, 79.721, -20.3207
39.500000, 79.723, -20.6908
40.000000, 79.715, -20.9680
40.599998, 79.666, -20.9161
41.200001, 79.595, -20.8212
41.799999, 79.520, -21.3620
42.500000, 79.426, -22.5907
43.099998, 79.364, -23.1726
43.700001, 79.338, -22.9136
44.400002, 79.312, -22.4494
45.000000, 79.247, -22.7656
45.500000, 79.176, -23.5432
46.200001, 79.121, -24.6367
46.799999, 79.126, -24.9421
47.500000, 79.108, -24.5485
48.200001, 78.994, -23.9864
48.700001, 78.882, -23.8345
49.400002, 78.781, -24.1244
50.000000, 78.774, -24.6520
50.799999, 78.770, -25.2335
51.500000, 78.675, -25.3832
52.200001, 78.534, -25.4413
53.000000, 78.415, -25.8684
53.799999, 78.336, -26.4861
54.500000, 78.248, -26.7422
55.200001, 78.132, -26.8198
56.000000, 77.983, -27.0758
57.000000, 77.842, -27.4937
58.000000, 77.806, -27.4808
59.000000, 77.820, -27.5851
60.000000, 77.768, -28.2817
60.799999, 77.692, -28.5739
61.500000, 77.645, -28.5059
62.200001, 77.586, -28.4666
63.000000, 77.458, -28.5762
64.000000, 77.295, -28.7423
65.000000, 77.184, -28.6798
66.000000, 77.101, -28.4643
67.000000, 77.002, -28.7328
68.000000, 76.945, -28.8136
69.000000, 76.981, -28.9902
70.000000, 76.892, -29.7359
71.000000, 76.747, -30.0497
72.000000, 76.670, -29.8830
73.000000, 76.570, -29.4029
74.000000, 76.475, -29.1034
75.000000, 76.369, -29.0773
76.199997, 76.225, -28.9050
77.500000, 76.052, -29.6914
78.800003, 75.874, -29.6554
80.000000, 75.810, -29.1306
81.199997, 75.672, -29.3882
82.500000, 75.526, -29.0422
83.800003, 75.503, -28.9614
85.000000, 75.417, -29.1732
86.199997, 75.285, -28.9890
