* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Apr 16, 2025 10:32:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Project Meta (Stock M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.547, -2.7361
20.600000, 80.535, -2.9966
20.900000, 80.515, -3.2579
21.200001, 80.492, -3.5056
21.400000, 80.477, -3.6764
21.799999, 80.451, -4.0676
22.000000, 80.442, -4.2991
22.400000, 80.430, -4.8367
22.700001, 80.425, -5.2854
23.000000, 80.419, -5.7400
23.299999, 80.410, -6.1659
23.600000, 80.397, -6.5351
24.000000, 80.375, -6.9214
24.299999, 80.355, -7.1448
24.700001, 80.326, -7.4053
25.000000, 80.305, -7.6118
25.400000, 80.276, -7.9399
25.799999, 80.246, -8.3310
26.200001, 80.217, -8.7525
26.500000, 80.197, -9.0622
26.900000, 80.172, -9.4420
27.200001, 80.154, -9.6979
27.600000, 80.131, -10.0092
28.000000, 80.106, -10.3056
28.500000, 80.072, -10.6831
29.000000, 80.038, -11.0844
29.500000, 80.008, -11.4979
30.000000, 79.979, -11.8901
30.400000, 79.955, -12.1691
30.700001, 79.935, -12.3590
31.100000, 79.906, -12.6014
31.500000, 79.875, -12.8564
32.000000, 79.833, -13.2181
32.500000, 79.792, -13.6178
33.000000, 79.756, -14.0134
33.500000, 79.725, -14.3713
34.000000, 79.695, -14.6897
34.500000, 79.660, -14.9899
35.000000, 79.617, -15.2984
35.500000, 79.573, -15.6402
36.000000, 79.534, -16.0274
36.500000, 79.499, -16.4379
37.000000, 79.464, -16.8131
37.500000, 79.426, -17.0958
38.200001, 79.368, -17.3458
38.700001, 79.328, -17.5044
39.500000, 79.260, -17.8492
40.000000, 79.216, -18.0941
40.599998, 79.169, -18.3768
41.200001, 79.127, -18.6700
41.799999, 79.084, -18.9962
42.500000, 79.027, -19.3724
43.099998, 78.979, -19.6611
43.700001, 78.932, -19.9445
44.400002, 78.864, -20.2705
45.000000, 78.795, -20.5038
45.500000, 78.739, -20.6736
46.200001, 78.670, -20.9519
46.799999, 78.618, -21.2436
47.500000, 78.568, -21.5705
48.200001, 78.532, -21.8380
48.700001, 78.509, -22.0002
49.400002, 78.463, -22.1741
50.000000, 78.405, -22.2718
50.799999, 78.314, -22.4493
51.500000, 78.238, -22.7653
52.200001, 78.174, -23.1662
53.000000, 78.116, -23.5079
53.799999, 78.058, -23.6846
54.500000, 77.986, -23.8898
55.200001, 77.887, -24.2113
56.000000, 77.772, -24.5205
57.000000, 77.706, -24.6576
58.000000, 77.674, -24.7864
59.000000, 77.598, -24.8940
60.000000, 77.511, -25.0532
60.799999, 77.441, -25.2611
61.500000, 77.376, -25.4072
62.200001, 77.316, -25.5112
63.000000, 77.252, -25.6371
64.000000, 77.170, -25.8060
65.000000, 77.081, -25.9402
66.000000, 76.993, -26.0560
67.000000, 76.908, -26.2254
68.000000, 76.816, -26.4126
69.000000, 76.725, -26.5249
70.000000, 76.642, -26.6344
71.000000, 76.554, -26.7825
72.000000, 76.461, -26.8881
73.000000, 76.374, -26.9551
74.000000, 76.286, -27.0113
75.000000, 76.192, -27.0420
76.199997, 76.076, -27.0828
77.500000, 75.962, -27.1192
78.800003, 75.860, -27.1074
80.000000, 75.758, -27.0378
81.199997, 75.662, -27.0629
82.500000, 75.555, -27.1132
83.800003, 75.447, -27.0519
85.000000, 75.342, -26.9918
86.199997, 75.245, -26.8762
87.500000, 75.140, -26.7485
88.500000, 75.058, -26.6461
90.000000, 74.938, -26.5586
91.199997, 74.841, -26.5034
92.500000, 74.737, -26.4384
93.800003, 74.631, -26.2867
95.000000, 74.536, -26.0645
96.199997, 74.447, -25.8720
97.500000, 74.349, -25.7257
98.800003, 74.250, -25.5015
100.000000, 74.160, -25.2782
101.500000, 74.051, -25.0536
103.000000, 73.945, -24.8117
104.400002, 73.845, -24.5148
106.000000, 73.724, -24.1947
107.500000, 73.617, -23.9085
109.000000, 73.521, -23.6030
110.599998, 73.417, -23.2299
112.000000, 73.321, -22.8176
113.800003, 73.197, -22.3111
115.000000, 73.124, -22.0423
117.199997, 72.996, -21.4897
118.000000, 72.947, -21.2570
120.599998, 72.782, -20.4610
122.000000, 72.713, -20.0696
124.099998, 72.614, -19.5010
125.000000, 72.566, -19.2206
126.500000, 72.486, -18.7184
128.000000, 72.406, -18.2412
131.500000, 72.213, -17.1497
132.000000, 72.187, -17.0154
134.000000, 72.096, -16.4885
136.000000, 72.009, -15.8220
138.000000, 71.915, -15.1282
140.000000, 71.831, -14.4380
143.000000, 71.732, -13.3879
145.000000, 71.668, -12.7352
147.500000, 71.581, -11.9137
150.000000, 71.503, -11.0613
152.500000, 71.427, -10.2135
155.000000, 71.353, -9.3173
157.500000, 71.288, -8.4177
160.000000, 71.230, -7.5812
162.500000, 71.182, -6.7153
165.000000, 71.130, -5.8669
167.500000, 71.067, -5.0376
170.000000, 71.020, -4.1855
172.500000, 70.990, -3.4021
175.000000, 70.966, -2.6632
177.500000, 70.938, -1.9012
180.000000, 70.908, -1.1034
182.500000, 70.872, -0.2604
185.000000, 70.845, 0.5408
187.500000, 70.830, 1.2438
190.000000, 70.818, 1.9424
192.500000, 70.805, 2.6882
195.000000, 70.791, 3.3934
197.500000, 70.775, 3.9852
200.000000, 70.771, 4.6707
203.000000, 70.775, 5.5774
206.000000, 70.780, 6.4312
209.000000, 70.771, 7.1580
212.000000, 70.768, 7.8334
