* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jul 19, 2025 12:05:39 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Pure (Azla Foamax) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.620, -176.7527
20.600000, 81.596, -177.0219
20.900000, 81.561, -177.3212
21.200001, 81.527, -177.6197
21.400000, 81.507, -177.8200
21.799999, 81.479, -178.2334
22.000000, 81.470, -178.4485
22.400000, 81.455, -178.8861
22.700001, 81.441, -179.2040
23.000000, 81.421, -179.4959
23.299999, 81.396, -179.7538
23.600000, 81.369, -179.9824
24.000000, 81.337, 179.7299
24.299999, 81.320, 179.5022
24.700001, 81.304, 179.1635
25.000000, 81.295, 178.8904
25.400000, 81.280, 178.5339
25.799999, 81.258, 178.2227
26.200001, 81.229, 177.9660
26.500000, 81.205, 177.7936
26.900000, 81.171, 177.5555
27.200001, 81.147, 177.3537
27.600000, 81.118, 177.0521
28.000000, 81.092, 176.7382
28.500000, 81.063, 176.3835
29.000000, 81.036, 176.1043
29.500000, 81.003, 175.8802
30.000000, 80.963, 175.6568
30.400000, 80.928, 175.4474
30.700001, 80.904, 175.2677
31.100000, 80.876, 175.0062
31.500000, 80.852, 174.7426
32.000000, 80.826, 174.4525
32.500000, 80.796, 174.2340
33.000000, 80.762, 174.0687
33.500000, 80.725, 173.9027
34.000000, 80.689, 173.6917
34.500000, 80.656, 173.4389
35.000000, 80.625, 173.1880
35.500000, 80.592, 172.9825
36.000000, 80.557, 172.8279
36.500000, 80.522, 172.6902
37.000000, 80.489, 172.5292
37.500000, 80.459, 172.3353
38.200001, 80.416, 172.0691
38.700001, 80.380, 171.9294
39.500000, 80.318, 171.7701
40.000000, 80.281, 171.6483
40.599998, 80.244, 171.4572
41.200001, 80.212, 171.2704
41.799999, 80.182, 171.1418
42.500000, 80.141, 171.0416
43.099998, 80.099, 170.9329
43.700001, 80.055, 170.7773
44.400002, 80.010, 170.5818
45.000000, 79.975, 170.4539
45.500000, 79.945, 170.3828
46.200001, 79.901, 170.2949
46.799999, 79.864, 170.1895
47.500000, 79.824, 170.0418
48.200001, 79.783, 169.9303
48.700001, 79.752, 169.8868
49.400002, 79.708, 169.8361
50.000000, 79.673, 169.7636
50.799999, 79.633, 169.6519
51.500000, 79.597, 169.6037
52.200001, 79.557, 169.5760
53.000000, 79.509, 169.4779
53.799999, 79.462, 169.3716
54.500000, 79.425, 169.3625
55.200001, 79.385, 169.3665
56.000000, 79.319, 169.3024
57.000000, 79.239, 169.2480
58.000000, 79.211, 169.2292
59.000000, 79.178, 169.1649
60.000000, 79.127, 169.1289
60.799999, 79.093, 169.0923
61.500000, 79.063, 169.0729
62.200001, 79.027, 169.0742
63.000000, 78.982, 169.0586
64.000000, 78.929, 169.0292
65.000000, 78.880, 169.0645
66.000000, 78.833, 169.1103
67.000000, 78.789, 169.1200
68.000000, 78.746, 169.1447
69.000000, 78.701, 169.1693
70.000000, 78.657, 169.1625
71.000000, 78.618, 169.2059
72.000000, 78.582, 169.2781
73.000000, 78.540, 169.3083
74.000000, 78.497, 169.3347
75.000000, 78.453, 169.3700
76.199997, 78.403, 169.4097
77.500000, 78.355, 169.4763
78.800003, 78.300, 169.5706
80.000000, 78.253, 169.6373
81.199997, 78.214, 169.7308
82.500000, 78.167, 169.8838
83.800003, 78.111, 170.0151
85.000000, 78.061, 170.1141
86.199997, 78.022, 170.2270
87.500000, 77.984, 170.3352
88.500000, 77.960, 170.4146
90.000000, 77.922, 170.5704
91.199997, 77.876, 170.6786
92.500000, 77.828, 170.7528
93.800003, 77.789, 170.8808
95.000000, 77.751, 171.0057
96.199997, 77.713, 171.1324
97.500000, 77.672, 171.2616
98.800003, 77.633, 171.3623
100.000000, 77.602, 171.4880
101.500000, 77.563, 171.6581
103.000000, 77.528, 171.8570
104.400002, 77.489, 172.0091
106.000000, 77.460, 172.0834
107.500000, 77.428, 172.2547
109.000000, 77.370, 172.5240
110.599998, 77.319, 172.7023
112.000000, 77.290, 172.8569
113.800003, 77.255, 173.1265
115.000000, 77.226, 173.2588
117.199997, 77.172, 173.4101
118.000000, 77.153, 173.5026
120.599998, 77.098, 173.8749
122.000000, 77.066, 174.0121
124.099998, 77.016, 174.2436
125.000000, 76.998, 174.3689
126.500000, 76.972, 174.5607
128.000000, 76.946, 174.7078
131.500000, 76.877, 175.1482
132.000000, 76.866, 175.2203
134.000000, 76.826, 175.4763
136.000000, 76.786, 175.6905
138.000000, 76.750, 175.9582
140.000000, 76.709, 176.2419
143.000000, 76.658, 176.6042
145.000000, 76.634, 176.7874
147.500000, 76.600, 177.0361
150.000000, 76.554, 177.3769
152.500000, 76.514, 177.6052
155.000000, 76.483, 177.9111
157.500000, 76.449, 178.2393
160.000000, 76.417, 178.5570
162.500000, 76.388, 178.8136
165.000000, 76.354, 179.0789
167.500000, 76.322, 179.4155
170.000000, 76.290, 179.7580
172.500000, 76.258, -179.9632
175.000000, 76.225, -179.7076
177.500000, 76.193, -179.4324
180.000000, 76.173, -179.1525
182.500000, 76.151, -178.8384
185.000000, 76.122, -178.5600
187.500000, 76.089, -178.2880
190.000000, 76.061, -178.0003
192.500000, 76.033, -177.7481
195.000000, 76.006, -177.5032
197.500000, 75.984, -177.2203
200.000000, 75.965, -176.9325
203.000000, 75.937, -176.6252
206.000000, 75.907, -176.2753
209.000000, 75.878, -175.9436
212.000000, 75.849, -175.6510
214.000000, 75.831, -175.4409
218.000000, 75.794, -175.0272
220.000000, 75.777, -174.8289
224.000000, 75.744, -174.3821
227.000000, 75.716, -174.0554
230.000000, 75.695, -173.7331
233.000000, 75.676, -173.4364
236.000000, 75.651, -173.1333
