* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jul 19, 2025 12:04:45 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Pure (BGVP Foam) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.641, -177.5665
20.600000, 81.621, -177.8262
20.900000, 81.594, -178.1426
21.200001, 81.566, -178.4970
21.400000, 81.550, -178.7511
21.799999, 81.524, -179.2757
22.000000, 81.513, -179.5296
22.400000, 81.497, -179.9843
22.700001, 81.488, 179.7336
23.000000, 81.477, 179.4964
23.299999, 81.464, 179.2874
23.600000, 81.446, 179.0876
24.000000, 81.413, 178.8126
24.299999, 81.384, 178.5941
24.700001, 81.346, 178.2903
25.000000, 81.322, 178.0580
25.400000, 81.297, 177.7476
25.799999, 81.277, 177.4402
26.200001, 81.258, 177.1403
26.500000, 81.240, 176.9225
26.900000, 81.210, 176.6408
27.200001, 81.185, 176.4321
27.600000, 81.150, 176.1514
28.000000, 81.117, 175.8676
28.500000, 81.082, 175.5272
29.000000, 81.052, 175.2314
29.500000, 81.022, 174.9824
30.000000, 80.988, 174.7434
30.400000, 80.958, 174.5316
30.700001, 80.933, 174.3570
31.100000, 80.899, 174.1138
31.500000, 80.867, 173.8821
32.000000, 80.834, 173.6401
32.500000, 80.806, 173.4544
33.000000, 80.778, 173.2851
33.500000, 80.746, 173.0800
34.000000, 80.708, 172.8203
34.500000, 80.667, 172.5409
35.000000, 80.629, 172.2987
35.500000, 80.599, 172.1216
36.000000, 80.573, 171.9880
36.500000, 80.543, 171.8571
37.000000, 80.503, 171.7099
37.500000, 80.458, 171.5555
38.200001, 80.403, 171.3438
38.700001, 80.376, 171.1876
39.500000, 80.335, 170.9243
40.000000, 80.302, 170.7769
40.599998, 80.256, 170.6351
41.200001, 80.215, 170.5079
41.799999, 80.181, 170.3618
42.500000, 80.140, 170.1758
43.099998, 80.099, 170.0424
43.700001, 80.054, 169.9456
44.400002, 80.004, 169.8394
45.000000, 79.964, 169.7252
45.500000, 79.930, 169.6220
46.200001, 79.885, 169.4936
46.799999, 79.853, 169.3978
47.500000, 79.822, 169.2857
48.200001, 79.787, 169.1917
48.700001, 79.756, 169.1472
49.400002, 79.706, 169.0809
50.000000, 79.661, 168.9856
50.799999, 79.604, 168.8525
51.500000, 79.565, 168.7939
52.200001, 79.533, 168.7542
53.000000, 79.488, 168.6799
53.799999, 79.441, 168.5774
54.500000, 79.406, 168.4882
55.200001, 79.371, 168.5114
56.000000, 79.336, 168.7278
57.000000, 79.301, 168.8078
58.000000, 79.224, 168.4985
59.000000, 79.148, 168.3345
60.000000, 79.106, 168.3138
60.799999, 79.066, 168.3372
61.500000, 79.028, 168.3470
62.200001, 78.991, 168.3046
63.000000, 78.948, 168.2637
64.000000, 78.899, 168.3055
65.000000, 78.846, 168.3411
66.000000, 78.791, 168.3554
67.000000, 78.749, 168.3931
68.000000, 78.714, 168.4337
69.000000, 78.674, 168.4629
70.000000, 78.626, 168.5071
71.000000, 78.575, 168.5696
72.000000, 78.529, 168.6188
73.000000, 78.491, 168.6437
74.000000, 78.453, 168.6574
75.000000, 78.413, 168.6732
76.199997, 78.365, 168.7408
77.500000, 78.311, 168.8551
78.800003, 78.260, 168.9294
80.000000, 78.217, 169.0150
81.199997, 78.166, 169.1240
82.500000, 78.108, 169.2180
83.800003, 78.061, 169.3281
85.000000, 78.020, 169.4150
86.199997, 77.978, 169.5398
87.500000, 77.938, 169.7009
88.500000, 77.908, 169.7650
90.000000, 77.856, 169.8636
91.199997, 77.810, 169.9808
92.500000, 77.765, 170.1097
93.800003, 77.722, 170.2716
95.000000, 77.685, 170.4044
96.199997, 77.648, 170.4988
97.500000, 77.606, 170.6401
98.800003, 77.573, 170.7903
100.000000, 77.540, 170.9078
101.500000, 77.497, 171.0611
103.000000, 77.457, 171.2316
104.400002, 77.421, 171.3824
106.000000, 77.372, 171.6646
107.500000, 77.322, 171.8724
109.000000, 77.287, 171.8725
110.599998, 77.253, 172.0029
112.000000, 77.219, 172.1978
113.800003, 77.167, 172.4179
115.000000, 77.139, 172.5488
117.199997, 77.093, 172.8006
118.000000, 77.075, 172.8936
120.599998, 77.028, 173.2231
122.000000, 77.001, 173.3824
124.099998, 76.953, 173.5777
125.000000, 76.932, 173.6922
126.500000, 76.901, 173.9253
128.000000, 76.866, 174.1592
131.500000, 76.797, 174.6143
132.000000, 76.789, 174.6698
134.000000, 76.750, 174.8802
136.000000, 76.713, 175.0920
138.000000, 76.679, 175.3091
140.000000, 76.645, 175.5977
