* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jul 19, 2025 12:11:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Pure (Final E) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.886, -175.9181
20.600000, 81.860, -176.1061
20.900000, 81.835, -176.3477
21.200001, 81.817, -176.6562
21.400000, 81.808, -176.9019
21.799999, 81.796, -177.4442
22.000000, 81.790, -177.7062
22.400000, 81.779, -178.1366
22.700001, 81.776, -178.3656
23.000000, 81.777, -178.5553
23.299999, 81.782, -178.7705
23.600000, 81.780, -179.0589
24.000000, 81.751, -179.5382
24.299999, 81.705, -179.8791
24.700001, 81.629, 179.8559
25.000000, 81.584, 179.8442
25.400000, 81.567, 179.9616
25.799999, 81.600, 179.9528
26.200001, 81.638, 179.6041
26.500000, 81.637, 179.1516
26.900000, 81.577, 178.5345
27.200001, 81.504, 178.2413
27.600000, 81.416, 178.1783
28.000000, 81.395, 178.3041
28.500000, 81.457, 178.1560
29.000000, 81.504, 177.4045
29.500000, 81.436, 176.5700
30.000000, 81.294, 176.3887
30.400000, 81.221, 176.7489
30.700001, 81.224, 177.0450
31.100000, 81.287, 177.0888
31.500000, 81.351, 176.5588
32.000000, 81.335, 175.4738
32.500000, 81.207, 174.7410
33.000000, 81.078, 174.8335
33.500000, 81.059, 175.3671
34.000000, 81.142, 175.5968
34.500000, 81.224, 175.2523
35.000000, 81.230, 174.6288
35.500000, 81.161, 174.0968
36.000000, 81.054, 173.7627
36.500000, 80.944, 173.5640
37.000000, 80.845, 173.5106
37.500000, 80.780, 173.6897
38.200001, 80.791, 174.1625
38.700001, 80.856, 174.2491
39.500000, 80.918, 173.4348
40.000000, 80.876, 172.6100
40.599998, 80.762, 171.8615
41.200001, 80.640, 171.6452
41.799999, 80.539, 171.8285
42.500000, 80.442, 172.2443
43.099998, 80.389, 172.6620
43.700001, 80.402, 173.0104
44.400002, 80.488, 173.0662
45.000000, 80.553, 172.7647
45.500000, 80.565, 172.3622
46.200001, 80.522, 171.6833
46.799999, 80.457, 171.0603
47.500000, 80.370, 170.4812
48.200001, 80.284, 170.2362
48.700001, 80.226, 170.1826
49.400002, 80.134, 170.0510
50.000000, 80.038, 169.8976
50.799999, 79.913, 169.9731
51.500000, 79.842, 170.4262
52.200001, 79.800, 170.9596
53.000000, 79.751, 171.3425
53.799999, 79.708, 171.5491
54.500000, 79.716, 171.5076
55.200001, 79.727, 171.0292
56.000000, 79.662, 170.3115
57.000000, 79.554, 170.1860
58.000000, 79.547, 170.1497
59.000000, 79.504, 169.6939
60.000000, 79.483, 169.5591
60.799999, 79.528, 169.4949
61.500000, 79.567, 169.4269
62.200001, 79.592, 169.4672
63.000000, 79.610, 169.6696
64.000000, 79.587, 170.1681
65.000000, 79.492, 170.8596
66.000000, 79.363, 171.2192
67.000000, 79.240, 170.9361
68.000000, 79.165, 170.2518
69.000000, 79.177, 169.7107
70.000000, 79.227, 169.8630
71.000000, 79.201, 170.5447
72.000000, 79.085, 170.9125
73.000000, 78.994, 170.5098
74.000000, 79.012, 169.9999
75.000000, 79.093, 170.2989
76.199997, 79.065, 171.5667
77.500000, 78.780, 171.8284
78.800003, 78.710, 170.0231
80.000000, 78.912, 169.8622
81.199997, 78.862, 171.1908
82.500000, 78.674, 170.9984
83.800003, 78.725, 170.7172
85.000000, 78.711, 171.5930
86.199997, 78.602, 171.6611
87.500000, 78.580, 171.3464
88.500000, 78.563, 171.4162
90.000000, 78.512, 171.4698
91.199997, 78.479, 171.6594
92.500000, 78.406, 171.7999
93.800003, 78.365, 171.8340
95.000000, 78.338, 172.0643
96.199997, 78.294, 172.1214
97.500000, 78.250, 172.1705
98.800003, 78.207, 172.3643
100.000000, 78.173, 172.4055
101.500000, 78.144, 172.4785
103.000000, 78.100, 172.8243
104.400002, 78.036, 173.1924
106.000000, 77.936, 172.9546
107.500000, 77.892, 172.8095
109.000000, 77.925, 173.2018
110.599998, 77.927, 173.6671
112.000000, 77.911, 173.9591
113.800003, 77.870, 174.0763
115.000000, 77.829, 174.1240
117.199997, 77.770, 174.3003
118.000000, 77.748, 174.4347
120.599998, 77.680, 174.8290
122.000000, 77.652, 174.8497
124.099998, 77.615, 175.0148
125.000000, 77.598, 175.0735
126.500000, 77.569, 175.2275
128.000000, 77.536, 175.4205
131.500000, 77.454, 175.9828
132.000000, 77.439, 176.0653
134.000000, 77.395, 176.3260
136.000000, 77.371, 176.5012
138.000000, 77.341, 176.7121
140.000000, 77.307, 177.0430
143.000000, 77.236, 177.3802
145.000000, 77.204, 177.5497
147.500000, 77.151, 177.8702
150.000000, 77.104, 178.1420
152.500000, 77.064, 178.4809
155.000000, 77.018, 178.8300
157.500000, 76.969, 179.1089
160.000000, 76.911, 179.5640
162.500000, 76.866, -179.9730
165.000000, 76.825, -179.4809
167.500000, 76.787, -179.0210
170.000000, 76.749, -178.5799
172.500000, 76.717, -178.0261
175.000000, 76.695, -177.4462
177.500000, 76.695, -176.8524
180.000000, 76.719, -176.2673
182.500000, 76.743, -175.7870
185.000000, 76.773, -175.3882
187.500000, 76.811, -175.1609
190.000000, 76.839, -175.0551
192.500000, 76.857, -174.9306
195.000000, 76.872, -174.8511
197.500000, 76.873, -174.8358
200.000000, 76.859, -174.8291
203.000000, 76.836, -174.7518
206.000000, 76.814, -174.6155
209.000000, 76.790, -174.4702
212.000000, 76.763, -174.3347
214.000000, 76.741, -174.2376
218.000000, 76.699, -173.9809
220.000000, 76.678, -173.8465
224.000000, 76.639, -173.5382
227.000000, 76.609, -173.2462
230.000000, 76.578, -172.9982
233.000000, 76.545, -172.7659
236.000000, 76.514, -172.5014
240.000000, 76.473, -172.2056
