* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jul 19, 2025 12:14:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Pure (Flo Foam) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.071, -175.0725
20.600000, 81.053, -175.2803
20.900000, 81.026, -175.5061
21.200001, 80.997, -175.7470
21.400000, 80.979, -175.9275
21.799999, 80.952, -176.3591
22.000000, 80.943, -176.6113
22.400000, 80.932, -177.1651
22.700001, 80.925, -177.5876
23.000000, 80.918, -177.9782
23.299999, 80.907, -178.3097
23.600000, 80.893, -178.5710
24.000000, 80.871, -178.8257
24.299999, 80.853, -178.9768
24.700001, 80.830, -179.1791
25.000000, 80.813, -179.3578
25.400000, 80.790, -179.6430
25.799999, 80.767, -179.9623
26.200001, 80.744, 179.7194
26.500000, 80.728, 179.4977
26.900000, 80.707, 179.2294
27.200001, 80.691, 179.0417
27.600000, 80.670, 178.7946
28.000000, 80.648, 178.5404
28.500000, 80.617, 178.2165
29.000000, 80.586, 177.9056
29.500000, 80.557, 177.6172
30.000000, 80.528, 177.3405
30.400000, 80.503, 177.1200
30.700001, 80.483, 176.9569
31.100000, 80.455, 176.7485
31.500000, 80.428, 176.5541
32.000000, 80.402, 176.3228
32.500000, 80.379, 176.0898
33.000000, 80.352, 175.8594
33.500000, 80.319, 175.6528
34.000000, 80.284, 175.4708
34.500000, 80.253, 175.2794
35.000000, 80.225, 175.0544
35.500000, 80.197, 174.8255
36.000000, 80.165, 174.6465
36.500000, 80.135, 174.5253
37.000000, 80.107, 174.4090
37.500000, 80.078, 174.2521
38.200001, 80.030, 174.0070
38.700001, 79.998, 173.8627
39.500000, 79.959, 173.6331
40.000000, 79.932, 173.4537
40.599998, 79.889, 173.2626
41.200001, 79.848, 173.1472
41.799999, 79.823, 173.0386
42.500000, 79.796, 172.8285
43.099998, 79.762, 172.6366
43.700001, 79.724, 172.5108
44.400002, 79.693, 172.4034
45.000000, 79.672, 172.2873
45.500000, 79.646, 172.1887
46.200001, 79.597, 172.0948
46.799999, 79.552, 172.0379
47.500000, 79.507, 171.9284
48.200001, 79.467, 171.7578
48.700001, 79.434, 171.6431
49.400002, 79.386, 171.5558
50.000000, 79.358, 171.5276
50.799999, 79.347, 171.4465
51.500000, 79.336, 171.3257
52.200001, 79.296, 171.2310
53.000000, 79.216, 171.1723
53.799999, 79.148, 171.1169
54.500000, 79.131, 171.0679
55.200001, 79.131, 171.0826
56.000000, 79.105, 171.2506
57.000000, 79.040, 171.3877
58.000000, 78.988, 171.0013
59.000000, 78.940, 170.6860
60.000000, 78.891, 170.8127
60.799999, 78.851, 170.8588
61.500000, 78.819, 170.7730
62.200001, 78.793, 170.6787
63.000000, 78.762, 170.6559
64.000000, 78.705, 170.6858
65.000000, 78.646, 170.6922
66.000000, 78.600, 170.7004
67.000000, 78.554, 170.7014
68.000000, 78.505, 170.7311
69.000000, 78.467, 170.8583
70.000000, 78.430, 171.0029
71.000000, 78.389, 171.0299
72.000000, 78.349, 171.0024
73.000000, 78.310, 171.0118
74.000000, 78.266, 170.9915
75.000000, 78.220, 170.9492
76.199997, 78.173, 170.9559
77.500000, 78.129, 170.9954
78.800003, 78.092, 171.0588
80.000000, 78.059, 171.1670
81.199997, 78.034, 171.2853
82.500000, 78.006, 171.4734
83.800003, 77.956, 171.6742
85.000000, 77.898, 171.7607
86.199997, 77.853, 171.7933
87.500000, 77.829, 171.7949
88.500000, 77.819, 171.8023
90.000000, 77.790, 171.9825
91.199997, 77.755, 172.2750
92.500000, 77.693, 172.6042
93.800003, 77.625, 172.6743
95.000000, 77.581, 172.5187
96.199997, 77.563, 172.4916
97.500000, 77.545, 172.6630
98.800003, 77.508, 172.9365
100.000000, 77.465, 173.1353
101.500000, 77.418, 173.2307
103.000000, 77.388, 173.3056
104.400002, 77.369, 173.4749
106.000000, 77.351, 173.8891
107.500000, 77.316, 174.0553
109.000000, 77.262, 174.0079
110.599998, 77.209, 174.1985
112.000000, 77.179, 174.3210
113.800003, 77.156, 174.4184
115.000000, 77.121, 174.5454
117.199997, 77.051, 174.7617
118.000000, 77.029, 174.8597
120.599998, 76.974, 175.2048
122.000000, 76.961, 175.3562
124.099998, 76.932, 175.6718
125.000000, 76.912, 175.8150
126.500000, 76.877, 175.9849
128.000000, 76.847, 176.0753
131.500000, 76.784, 176.4416
132.000000, 76.775, 176.5139
134.000000, 76.742, 176.7590
136.000000, 76.716, 176.9727
138.000000, 76.686, 177.2349
140.000000, 76.649, 177.4722
143.000000, 76.596, 177.8589
145.000000, 76.573, 178.0706
147.500000, 76.549, 178.3336
150.000000, 76.507, 178.5905
152.500000, 76.460, 178.9044
155.000000, 76.427, 179.1813
157.500000, 76.399, 179.4843
160.000000, 76.364, 179.8466
162.500000, 76.325, -179.9258
165.000000, 76.289, -179.6853
167.500000, 76.259, -179.3648
170.000000, 76.231, -179.0853
172.500000, 76.200, -178.8220
175.000000, 76.172, -178.5371
177.500000, 76.148, -178.2071
180.000000, 76.127, -177.8950
182.500000, 76.102, -177.6000
185.000000, 76.077, -177.3390
187.500000, 76.052, -177.0779
190.000000, 76.027, -176.8083
192.500000, 76.001, -176.5721
195.000000, 75.976, -176.3613
197.500000, 75.951, -176.1117
200.000000, 75.926, -175.8212
203.000000, 75.896, -175.4696
206.000000, 75.872, -175.1707
209.000000, 75.850, -174.8149
212.000000, 75.826, -174.4754
214.000000, 75.810, -174.2874
218.000000, 75.780, -173.8940
220.000000, 75.763, -173.6769
224.000000, 75.731, -173.2350
227.000000, 75.717, -172.9077
230.000000, 75.696, -172.5793
233.000000, 75.667, -172.2426
236.000000, 75.642, -171.9313
240.000000, 75.614, -171.5672
243.000000, 75.595, -171.3202
247.000000, 75.566, -170.9558
250.000000, 75.545, -170.6469
254.000000, 75.519, -170.2399
258.000000, 75.490, -169.8099
262.000000, 75.458, -169.4070
265.000000, 75.438, -169.1301
269.000000, 75.416, -168.7671
272.000000, 75.398, -168.4835
276.000000, 75.370, -168.0957
280.000000, 75.343, -167.7193
285.000000, 75.316, -167.2376
290.000000, 75.289, -166.7477
295.000000, 75.260, -166.2722
300.000000, 75.230, -165.8229
304.000000, 75.206, -165.4603
307.000000, 75.190, -165.1722
311.000000, 75.170, -164.7845
315.000000, 75.149, -164.4151
320.000000, 75.125, -163.9610
325.000000, 75.099, -163.5244
330.000000, 75.068, -163.0873
335.000000, 75.038, -162.6199
340.000000, 75.011, -162.1803
345.000000, 74.990, -161.7314
350.000000, 74.967, -161.2614
355.000000, 74.941, -160.8248
360.000000, 74.916, -160.3845
365.000000, 74.891, -159.9442
370.000000, 74.866, -159.5013
375.000000, 74.843, -159.0419
382.000000, 74.816, -158.3728
387.000000, 74.792, -157.9138
395.000000, 74.756, -157.2034
400.000000, 74.735, -156.7671
406.000000, 74.707, -156.2283
412.000000, 74.679, -155.6659
418.000000, 74.656, -155.1505
425.000000, 74.628, -154.5723
431.000000, 74.608, -154.0785
437.000000, 74.586, -153.6131
444.000000, 74.557, -153.0649
450.000000, 74.527, -152.6152
455.000000, 74.501, -152.2112
462.000000, 74.469, -151.5996
468.000000, 74.442, -151.1054
475.000000, 74.406, -150.5300
482.000000, 74.367, -149.9194
487.000000, 74.341, -149.4972
494.000000, 74.304, -148.9006
500.000000, 74.274, -148.3712
508.000000, 74.235, -147.6725
515.000000, 74.204, -147.0642
522.000000, 74.172, -146.4538
530.000000, 74.133, -145.7246
538.000000, 74.093, -144.9797
545.000000, 74.059, -144.3243
552.000000, 74.028, -143.6882
560.000000, 73.991, -142.9628
570.000000, 73.949, -142.0609
580.000000, 73.908, -141.1252
590.000000, 73.867, -140.2027
600.000000, 73.822, -139.2456
608.000000, 73.787, -138.4670
615.000000, 73.760, -137.7840
622.000000, 73.736, -137.1318
630.000000, 73.710, -136.4158
640.000000, 73.673, -135.4841
650.000000, 73.637, -134.4765
660.000000, 73.605, -133.4630
670.000000, 73.572, -132.4703
680.000000, 73.542, -131.4809
690.000000, 73.517, -130.4893
700.000000, 73.494, -129.4886
710.000000, 73.467, -128.5004
720.000000, 73.439, -127.4988
730.000000, 73.414, -126.4742
740.000000, 73.393, -125.4595
750.000000, 73.375, -124.4227
762.000000, 73.358, -123.1432
775.000000, 73.348, -121.7570
788.000000, 73.336, -120.3501
800.000000, 73.321, -119.0421
812.000000, 73.316, -117.7708
825.000000, 73.319, -116.3954
838.000000, 73.329, -115.0163
850.000000, 73.340, -113.7441
862.000000, 73.352, -112.4490
875.000000, 73.372, -111.0725
885.000000, 73.393, -109.9969
900.000000, 73.429, -108.4059
912.000000, 73.466, -107.1652
925.000000, 73.507, -105.8402
938.000000, 73.552, -104.5103
950.000000, 73.599, -103.2728
