* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jul 19, 2025 12:13:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Pure (H570) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.530, -178.6306
20.600000, 81.510, -178.8920
20.900000, 81.480, -179.2236
21.200001, 81.445, -179.5865
21.400000, 81.422, -179.8271
21.799999, 81.386, 179.7537
22.000000, 81.376, 179.5946
22.400000, 81.375, 179.3798
22.700001, 81.389, 179.2693
23.000000, 81.407, 179.1455
23.299999, 81.418, 178.9635
23.600000, 81.412, 178.7045
24.000000, 81.372, 178.2631
24.299999, 81.323, 177.9039
24.700001, 81.249, 177.4520
25.000000, 81.203, 177.1544
25.400000, 81.165, 176.8048
25.799999, 81.149, 176.4819
26.200001, 81.138, 176.1754
26.500000, 81.122, 175.9658
26.900000, 81.087, 175.7272
27.200001, 81.052, 175.5733
27.600000, 81.005, 175.3674
28.000000, 80.967, 175.1143
28.500000, 80.935, 174.7109
29.000000, 80.910, 174.2908
29.500000, 80.881, 173.9690
30.000000, 80.847, 173.7662
30.400000, 80.815, 173.6283
30.700001, 80.790, 173.5006
31.100000, 80.755, 173.2779
31.500000, 80.720, 173.0131
32.000000, 80.681, 172.6940
32.500000, 80.650, 172.4558
33.000000, 80.625, 172.2927
33.500000, 80.597, 172.1324
34.000000, 80.561, 171.9032
34.500000, 80.517, 171.5934
35.000000, 80.471, 171.2618
35.500000, 80.428, 170.9952
36.000000, 80.388, 170.8430
36.500000, 80.353, 170.7781
37.000000, 80.318, 170.7166
37.500000, 80.284, 170.5812
38.200001, 80.236, 170.2589
38.700001, 80.201, 170.0209
39.500000, 80.145, 169.8093
40.000000, 80.109, 169.7788
40.599998, 80.065, 169.7461
41.200001, 80.020, 169.6348
41.799999, 79.975, 169.4533
42.500000, 79.921, 169.2645
43.099998, 79.874, 169.1992
43.700001, 79.834, 169.2026
44.400002, 79.801, 169.1601
45.000000, 79.775, 169.0064
45.500000, 79.742, 168.8330
46.200001, 79.676, 168.6597
46.799999, 79.616, 168.6165
47.500000, 79.562, 168.5748
48.200001, 79.523, 168.4327
48.700001, 79.496, 168.2926
49.400002, 79.460, 168.1169
50.000000, 79.434, 168.0013
50.799999, 79.405, 167.8836
51.500000, 79.369, 167.8370
52.200001, 79.310, 167.8552
53.000000, 79.231, 167.8741
53.799999, 79.173, 167.8153
54.500000, 79.158, 167.7309
55.200001, 79.153, 167.5869
56.000000, 79.089, 167.3080
57.000000, 78.903, 167.1934
58.000000, 78.819, 167.3848
59.000000, 78.861, 167.1684
60.000000, 78.849, 167.0981
60.799999, 78.815, 167.3270
61.500000, 78.783, 167.4835
62.200001, 78.751, 167.5653
63.000000, 78.723, 167.5850
64.000000, 78.682, 167.4686
65.000000, 78.617, 167.4179
66.000000, 78.554, 167.4943
67.000000, 78.501, 167.5294
68.000000, 78.447, 167.5443
69.000000, 78.400, 167.6409
70.000000, 78.364, 167.6935
71.000000, 78.312, 167.6807
72.000000, 78.261, 167.7420
73.000000, 78.233, 167.7863
74.000000, 78.201, 167.8249
75.000000, 78.157, 167.9252
76.199997, 78.109, 168.0099
77.500000, 78.063, 168.0827
78.800003, 78.005, 168.1721
80.000000, 77.953, 168.2190
81.199997, 77.893, 168.2764
82.500000, 77.828, 168.3286
83.800003, 77.804, 168.4221
85.000000, 77.786, 168.6227
86.199997, 77.758, 168.6686
