* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jul 19, 2025 12:12:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Pure (Sancai Narrow) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.467, -176.3548
20.600000, 81.446, -176.5976
20.900000, 81.415, -176.8857
21.200001, 81.381, -177.1982
21.400000, 81.360, -177.4193
21.799999, 81.327, -177.8856
22.000000, 81.316, -178.1255
22.400000, 81.303, -178.6018
22.700001, 81.297, -178.9414
23.000000, 81.290, -179.2528
23.299999, 81.276, -179.5278
23.600000, 81.257, -179.7644
24.000000, 81.225, 179.9676
24.299999, 81.199, 179.7832
24.700001, 81.168, 179.5266
25.000000, 81.150, 179.3100
25.400000, 81.130, 178.9867
25.799999, 81.111, 178.6453
26.200001, 81.090, 178.3184
26.500000, 81.070, 178.0960
26.900000, 81.041, 177.8288
27.200001, 81.017, 177.6398
27.600000, 80.986, 177.3842
28.000000, 80.958, 177.1127
28.500000, 80.927, 176.7627
29.000000, 80.899, 176.4392
29.500000, 80.872, 176.1659
30.000000, 80.844, 175.9245
30.400000, 80.818, 175.7289
30.700001, 80.798, 175.5737
31.100000, 80.769, 175.3591
31.500000, 80.742, 175.1474
32.000000, 80.713, 174.8998
32.500000, 80.688, 174.6702
33.000000, 80.661, 174.4559
33.500000, 80.630, 174.2629
34.000000, 80.604, 174.0790
34.500000, 80.594, 173.8525
35.000000, 80.593, 173.5409
35.500000, 80.583, 173.1892
36.000000, 80.548, 172.9228
36.500000, 80.490, 172.8372
37.000000, 80.426, 172.8959
37.500000, 80.365, 172.9596
38.200001, 80.290, 172.8594
38.700001, 80.242, 172.6483
39.500000, 80.184, 172.1857
40.000000, 80.155, 171.8832
40.599998, 80.123, 171.6021
41.200001, 80.102, 171.4705
41.799999, 80.092, 171.4353
42.500000, 80.068, 171.4243
43.099998, 80.014, 171.4698
43.700001, 79.941, 171.5600
44.400002, 79.871, 171.4891
45.000000, 79.825, 171.1454
45.500000, 79.790, 170.7797
46.200001, 79.746, 170.4806
46.799999, 79.722, 170.5145
47.500000, 79.702, 170.6692
48.200001, 79.666, 170.6884
48.700001, 79.632, 170.5893
49.400002, 79.591, 170.3701
50.000000, 79.567, 170.2004
50.799999, 79.537, 170.0980
51.500000, 79.501, 170.0838
52.200001, 79.455, 170.0551
53.000000, 79.409, 170.0060
53.799999, 79.373, 169.9586
54.500000, 79.335, 169.8982
55.200001, 79.297, 169.8010
56.000000, 79.284, 169.5359
57.000000, 79.272, 169.0412
58.000000, 79.182, 169.1339
59.000000, 79.091, 169.6090
60.000000, 79.035, 169.6228
60.799999, 78.996, 169.5367
61.500000, 78.965, 169.5393
62.200001, 78.934, 169.5391
63.000000, 78.896, 169.4860
64.000000, 78.854, 169.4431
65.000000, 78.811, 169.4842
66.000000, 78.760, 169.5148
67.000000, 78.711, 169.5293
68.000000, 78.664, 169.5756
69.000000, 78.617, 169.5794
70.000000, 78.579, 169.5477
71.000000, 78.541, 169.5986
72.000000, 78.494, 169.7158
73.000000, 78.453, 169.7791
74.000000, 78.420, 169.8036
75.000000, 78.379, 169.8732
76.199997, 78.326, 169.9386
77.500000, 78.275, 169.9672
78.800003, 78.231, 170.0272
80.000000, 78.194, 170.0740
81.199997, 78.142, 170.1628
82.500000, 78.080, 170.2798
83.800003, 78.037, 170.3606
85.000000, 77.997, 170.4144
86.199997, 77.957, 170.5043
87.500000, 77.916, 170.6764
88.500000, 77.878, 170.7798
90.000000, 77.832, 170.8213
91.199997, 77.793, 170.8871
92.500000, 77.753, 171.0178
93.800003, 77.717, 171.1608
95.000000, 77.678, 171.3628
96.199997, 77.646, 171.5041
97.500000, 77.612, 171.5477
98.800003, 77.573, 171.6099
100.000000, 77.543, 171.7572
101.500000, 77.507, 171.9673
103.000000, 77.465, 172.0988
104.400002, 77.421, 172.1763
106.000000, 77.381, 172.0984
107.500000, 77.343, 172.1296
109.000000, 77.302, 172.5244
110.599998, 77.265, 172.9246
112.000000, 77.231, 173.1305
113.800003, 77.188, 173.3112
115.000000, 77.165, 173.4357
117.199997, 77.120, 173.6322
118.000000, 77.101, 173.6826
120.599998, 77.042, 173.9545
122.000000, 77.013, 174.2009
124.099998, 76.968, 174.4951
125.000000, 76.945, 174.5903
126.500000, 76.909, 174.7291
128.000000, 76.882, 174.9095
131.500000, 76.820, 175.3849
132.000000, 76.810, 175.4286
134.000000, 76.773, 175.6013
136.000000, 76.738, 175.8503
138.000000, 76.707, 176.0853
140.000000, 76.666, 176.2987
143.000000, 76.604, 176.6487
145.000000, 76.571, 176.9142
147.500000, 76.537, 177.2010
150.000000, 76.498, 177.4710
152.500000, 76.457, 177.7475
155.000000, 76.417, 178.0201
157.500000, 76.386, 178.3182
160.000000, 76.356, 178.6200
162.500000, 76.318, 178.9191
165.000000, 76.285, 179.1705
167.500000, 76.250, 179.4297
170.000000, 76.216, 179.7226
172.500000, 76.180, 179.9934
175.000000, 76.145, -179.7413
177.500000, 76.114, -179.4878
180.000000, 76.090, -179.1971
182.500000, 76.063, -178.8689
185.000000, 76.029, -178.5987
187.500000, 75.996, -178.3073
190.000000, 75.970, -178.0383
192.500000, 75.950, -177.7606
195.000000, 75.926, -177.4752
197.500000, 75.895, -177.2227
200.000000, 75.865, -176.9342
203.000000, 75.832, -176.5759
