* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jul 19, 2025 12:09:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Pure (Sancai) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.004, -169.3640
20.600000, 79.990, -169.6162
20.900000, 79.969, -169.8988
21.200001, 79.946, -170.1906
21.400000, 79.934, -170.3917
21.799999, 79.923, -170.8103
22.000000, 79.925, -171.0261
22.400000, 79.938, -171.4624
22.700001, 79.949, -171.7842
23.000000, 79.955, -172.0890
23.299999, 79.951, -172.3636
23.600000, 79.935, -172.5972
24.000000, 79.902, -172.8429
24.299999, 79.877, -172.9953
24.700001, 79.854, -173.2081
25.000000, 79.850, -173.4115
25.400000, 79.854, -173.7625
25.799999, 79.857, -174.1671
26.200001, 79.849, -174.5386
26.500000, 79.833, -174.7484
26.900000, 79.806, -174.9268
27.200001, 79.788, -175.0192
27.600000, 79.771, -175.1685
28.000000, 79.759, -175.4187
28.500000, 79.740, -175.8718
29.000000, 79.712, -176.3496
29.500000, 79.681, -176.7191
30.000000, 79.653, -176.9531
30.400000, 79.637, -177.0738
30.700001, 79.628, -177.1445
31.100000, 79.622, -177.2374
31.500000, 79.621, -177.3700
32.000000, 79.619, -177.6569
32.500000, 79.588, -178.0660
33.000000, 79.511, -178.4253
33.500000, 79.410, -178.5215
34.000000, 79.342, -178.3399
34.500000, 79.346, -178.1450
35.000000, 79.404, -178.2255
35.500000, 79.457, -178.6073
36.000000, 79.465, -179.0731
36.500000, 79.428, -179.4102
37.000000, 79.372, -179.5926
37.500000, 79.327, -179.7412
38.200001, 79.297, 179.9239
38.700001, 79.296, 179.6145
39.500000, 79.300, 179.2095
40.000000, 79.291, 179.0862
40.599998, 79.264, 179.0440
41.200001, 79.229, 179.0125
41.799999, 79.192, 178.9020
42.500000, 79.152, 178.6877
43.099998, 79.120, 178.5114
43.700001, 79.092, 178.3766
44.400002, 79.063, 178.2263
45.000000, 79.037, 178.0729
45.500000, 79.012, 177.9539
46.200001, 78.978, 177.8625
46.799999, 78.960, 177.8315
47.500000, 78.950, 177.7411
48.200001, 78.931, 177.5788
48.700001, 78.908, 177.4837
49.400002, 78.874, 177.4102
50.000000, 78.849, 177.3250
50.799999, 78.817, 177.1021
51.500000, 78.791, 176.8937
52.200001, 78.771, 176.7749
53.000000, 78.739, 176.7650
53.799999, 78.684, 176.8080
54.500000, 78.643, 176.7266
55.200001, 78.634, 176.4284
56.000000, 78.650, 176.0282
57.000000, 78.649, 176.0246
58.000000, 78.594, 176.3219
59.000000, 78.504, 176.2307
60.000000, 78.450, 175.9855
60.799999, 78.435, 175.9122
61.500000, 78.413, 175.9527
62.200001, 78.384, 176.0463
63.000000, 78.363, 176.0761
64.000000, 78.342, 175.9601
65.000000, 78.303, 175.8858
66.000000, 78.268, 175.8340
67.000000, 78.236, 175.7935
68.000000, 78.201, 175.7639
69.000000, 78.160, 175.7012
