* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jul 19, 2025 12:07:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Pure (Stock Foam) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 79.244, -168.1973
20.600000, 79.233, -168.5042
20.900000, 79.212, -168.8879
21.200001, 79.184, -169.2906
21.400000, 79.167, -169.5523
21.799999, 79.146, -170.0347
22.000000, 79.145, -170.2540
22.400000, 79.158, -170.6644
22.700001, 79.174, -170.9627
23.000000, 79.186, -171.2579
23.299999, 79.189, -171.5426
23.600000, 79.179, -171.8036
24.000000, 79.153, -172.0995
24.299999, 79.130, -172.2861
24.700001, 79.105, -172.5170
25.000000, 79.093, -172.7009
25.400000, 79.085, -172.9799
25.799999, 79.078, -173.2906
26.200001, 79.066, -173.6064
26.500000, 79.054, -173.8341
26.900000, 79.035, -174.1264
27.200001, 79.022, -174.3459
27.600000, 79.007, -174.6489
28.000000, 78.995, -174.9567
28.500000, 78.981, -175.3078
29.000000, 78.964, -175.5807
29.500000, 78.944, -175.7920
30.000000, 78.922, -176.0092
30.400000, 78.903, -176.2248
30.700001, 78.889, -176.4123
31.100000, 78.872, -176.6805
31.500000, 78.857, -176.9428
32.000000, 78.842, -177.2318
32.500000, 78.823, -177.4704
33.000000, 78.798, -177.6774
33.500000, 78.770, -177.8813
34.000000, 78.744, -178.1029
34.500000, 78.727, -178.3407
35.000000, 78.715, -178.5695
35.500000, 78.701, -178.7599
36.000000, 78.680, -178.9069
36.500000, 78.654, -179.0376
37.000000, 78.628, -179.1886
37.500000, 78.609, -179.3732
38.200001, 78.591, -179.6470
38.700001, 78.577, -179.8132
39.500000, 78.538, 179.9857
40.000000, 78.507, 179.8599
40.599998, 78.477, 179.6614
41.200001, 78.456, 179.4172
41.799999, 78.437, 179.1918
42.500000, 78.406, 179.0189
43.099998, 78.375, 178.9138
43.700001, 78.346, 178.7795
44.400002, 78.320, 178.5906
45.000000, 78.301, 178.4642
45.500000, 78.286, 178.3942
46.200001, 78.261, 178.2922
46.799999, 78.237, 178.1611
47.500000, 78.215, 177.9755
48.200001, 78.194, 177.8186
48.700001, 78.172, 177.7557
49.400002, 78.130, 177.7212
50.000000, 78.095, 177.6566
50.799999, 78.061, 177.4339
51.500000, 78.034, 177.2382
52.200001, 78.004, 177.1763
53.000000, 77.973, 177.1659
53.799999, 77.950, 177.0642
54.500000, 77.932, 176.9597
55.200001, 77.908, 176.9641
56.000000, 77.865, 177.1302
57.000000, 77.821, 177.2301
58.000000, 77.792, 176.9189
59.000000, 77.758, 176.6357
60.000000, 77.728, 176.4952
60.799999, 77.698, 176.3936
61.500000, 77.673, 176.3732
62.200001, 77.655, 176.3950
63.000000, 77.630, 176.3809
64.000000, 77.587, 176.3133
65.000000, 77.547, 176.2534
66.000000, 77.514, 176.2221
67.000000, 77.485, 176.2290
68.000000, 77.456, 176.2234
69.000000, 77.420, 176.2223
70.000000, 77.387, 176.2258
71.000000, 77.355, 176.1913
72.000000, 77.318, 176.1772
73.000000, 77.286, 176.1745
74.000000, 77.256, 176.1628
75.000000, 77.227, 176.1675
76.199997, 77.194, 176.1996
77.500000, 77.155, 176.2648
78.800003, 77.105, 176.3148
80.000000, 77.068, 176.3225
