* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jul 19, 2025 12:02:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Pure (Stock Narrow Deep) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 82.138, -174.8682
20.600000, 82.129, -175.1418
20.900000, 82.118, -175.4422
21.200001, 82.106, -175.7435
21.400000, 82.098, -175.9471
21.799999, 82.081, -176.3650
22.000000, 82.070, -176.5774
22.400000, 82.042, -176.9959
22.700001, 82.014, -177.2906
23.000000, 81.983, -177.5591
23.299999, 81.953, -177.8006
23.600000, 81.926, -178.0229
24.000000, 81.901, -178.3136
24.299999, 81.890, -178.5437
24.700001, 81.882, -178.8742
25.000000, 81.876, -179.1303
25.400000, 81.864, -179.4561
25.799999, 81.844, -179.7400
26.200001, 81.820, -179.9824
26.500000, 81.800, 179.8460
26.900000, 81.775, 179.6001
27.200001, 81.756, 179.3905
27.600000, 81.731, 179.0825
28.000000, 81.707, 178.7718
28.500000, 81.679, 178.4335
29.000000, 81.655, 178.1692
29.500000, 81.632, 177.9388
30.000000, 81.602, 177.6932
30.400000, 81.573, 177.4795
30.700001, 81.549, 177.3170
31.100000, 81.519, 177.1063
31.500000, 81.495, 176.9052
32.000000, 81.469, 176.6671
32.500000, 81.440, 176.4653
33.000000, 81.403, 176.3444
33.500000, 81.367, 176.3102
34.000000, 81.346, 176.2791
34.500000, 81.339, 176.1281
35.000000, 81.332, 175.8182
35.500000, 81.308, 175.4449
36.000000, 81.268, 175.1424
36.500000, 81.228, 174.9525
37.000000, 81.197, 174.8020
37.500000, 81.170, 174.6178
38.200001, 81.122, 174.3602
38.700001, 81.084, 174.2454
39.500000, 81.035, 174.0203
40.000000, 80.998, 173.7270
40.599998, 80.931, 173.3381
41.200001, 80.867, 173.1487
41.799999, 80.850, 173.1618
42.500000, 80.878, 173.1489
43.099998, 80.885, 173.0452
43.700001, 80.854, 172.9670
44.400002, 80.797, 172.8675
45.000000, 80.743, 172.6501
45.500000, 80.694, 172.4274
46.200001, 80.635, 172.2666
46.799999, 80.612, 172.2804
