* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jul 19, 2025 12:03:09 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Pure (Stock Narrow Mid) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.944, -176.2122
20.600000, 81.929, -176.4029
20.900000, 81.910, -176.6418
21.200001, 81.893, -176.9283
21.400000, 81.881, -177.1468
21.799999, 81.858, -177.6246
22.000000, 81.846, -177.8642
22.400000, 81.821, -178.2973
22.700001, 81.802, -178.5625
23.000000, 81.786, -178.7827
23.299999, 81.773, -178.9828
23.600000, 81.760, -179.1931
24.000000, 81.742, -179.5237
24.299999, 81.725, -179.8107
24.700001, 81.698, 179.7858
25.000000, 81.677, 179.4960
25.400000, 81.653, 179.1539
25.799999, 81.634, 178.8628
26.200001, 81.617, 178.5993
26.500000, 81.603, 178.4045
26.900000, 81.576, 178.1392
27.200001, 81.552, 177.9372
27.600000, 81.516, 177.6699
28.000000, 81.482, 177.4104
28.500000, 81.448, 177.1007
29.000000, 81.422, 176.8092
29.500000, 81.397, 176.5339
30.000000, 81.366, 176.2622
30.400000, 81.337, 176.0369
30.700001, 81.313, 175.8622
31.100000, 81.283, 175.6282
31.500000, 81.256, 175.4048
32.000000, 81.227, 175.1545
32.500000, 81.202, 174.9348
33.000000, 81.171, 174.7301
33.500000, 81.133, 174.5244
34.000000, 81.092, 174.3085
34.500000, 81.056, 174.0824
35.000000, 81.028, 173.8607
35.500000, 81.006, 173.6657
36.000000, 80.982, 173.5047
36.500000, 80.952, 173.3578
37.000000, 80.914, 173.1986
37.500000, 80.871, 173.0255
38.200001, 80.819, 172.7988
38.700001, 80.794, 172.6543
39.500000, 80.764, 172.4077
40.000000, 80.737, 172.2446
40.599998, 80.695, 172.0658
41.200001, 80.653, 171.9017
41.799999, 80.614, 171.7370
42.500000, 80.568, 171.5636
43.099998, 80.528, 171.4363
43.700001, 80.492, 171.3033
44.400002, 80.455, 171.1787
45.000000, 80.431, 171.1640
45.500000, 80.419, 171.1828
46.200001, 80.400, 171.1043
46.799999, 80.359, 170.9133
47.500000, 80.289, 170.6973
48.200001, 80.232, 170.5801
48.700001, 80.207, 170.5125
49.400002, 80.176, 170.3920
50.000000, 80.141, 170.2919
50.799999, 80.091, 170.1898
51.500000, 80.053, 170.1008
52.200001, 80.017, 169.9930
53.000000, 79.970, 169.8629
53.799999, 79.917, 169.7900
54.500000, 79.877, 169.7978
55.200001, 79.840, 169.8262
56.000000, 79.785, 169.8552
57.000000, 79.716, 169.8748
58.000000, 79.679, 169.7375
59.000000, 79.642, 169.5673
60.000000, 79.598, 169.5309
60.799999, 79.566, 169.4962
61.500000, 79.539, 169.4567
62.200001, 79.509, 169.4497
63.000000, 79.469, 169.4682
64.000000, 79.411, 169.4698
65.000000, 79.355, 169.4577
66.000000, 79.311, 169.4204
67.000000, 79.270, 169.3849
68.000000, 79.232, 169.4377
69.000000, 79.189, 169.5119
70.000000, 79.135, 169.5262
71.000000, 79.084, 169.5105
72.000000, 79.041, 169.5391
73.000000, 78.999, 169.6489
74.000000, 78.960, 169.7447
75.000000, 78.925, 169.7526
76.199997, 78.878, 169.7593
77.500000, 78.821, 169.8477
78.800003, 78.771, 169.9231
80.000000, 78.722, 169.9227
81.199997, 78.672, 169.9424
82.500000, 78.623, 170.0472
83.800003, 78.573, 170.1497
85.000000, 78.522, 170.2028
86.199997, 78.486, 170.3065
87.500000, 78.457, 170.3658
88.500000, 78.430, 170.4855
90.000000, 78.399, 170.6383
91.199997, 78.352, 170.6773
92.500000, 78.301, 170.8241
93.800003, 78.263, 170.9911
95.000000, 78.224, 171.1152
96.199997, 78.183, 171.2188
97.500000, 78.135, 171.3038
98.800003, 78.090, 171.4237
100.000000, 78.065, 171.5172
101.500000, 78.031, 171.6721
103.000000, 77.995, 171.9210
104.400002, 77.953, 172.0699
106.000000, 77.841, 171.8844
107.500000, 77.766, 171.8961
109.000000, 77.782, 172.2439
110.599998, 77.775, 172.5491
112.000000, 77.740, 172.8096
113.800003, 77.679, 173.0908
115.000000, 77.654, 173.1514
117.199997, 77.630, 173.2890
118.000000, 77.618, 173.3669
120.599998, 77.550, 173.6335
122.000000, 77.508, 173.9675
124.099998, 77.460, 174.3783
125.000000, 77.446, 174.4243
126.500000, 77.426, 174.4446
128.000000, 77.396, 174.5629
131.500000, 77.296, 174.9874
132.000000, 77.283, 175.0294
134.000000, 77.243, 175.2370
136.000000, 77.201, 175.4853
138.000000, 77.148, 175.6981
140.000000, 77.109, 175.8815
143.000000, 77.047, 176.2457
145.000000, 76.995, 176.5273
147.500000, 76.935, 176.8773
150.000000, 76.887, 177.3079
152.500000, 76.832, 177.7436
155.000000, 76.776, 178.0853
157.500000, 76.721, 178.4955
160.000000, 76.670, 179.0318
162.500000, 76.633, 179.6562
165.000000, 76.614, -179.6486
167.500000, 76.613, -178.9523
170.000000, 76.634, -178.3273
172.500000, 76.660, -177.8789
175.000000, 76.694, -177.6168
177.500000, 76.723, -177.3996
180.000000, 76.731, -177.2407
182.500000, 76.735, -177.1865
185.000000, 76.735, -177.0897
187.500000, 76.724, -176.9501
190.000000, 76.709, -176.8658
192.500000, 76.693, -176.8279
195.000000, 76.672, -176.7446
197.500000, 76.650, -176.6054
200.000000, 76.625, -176.4547
203.000000, 76.592, -176.2664
206.000000, 76.557, -176.0542
209.000000, 76.521, -175.8423
212.000000, 76.484, -175.6024
214.000000, 76.460, -175.4268
218.000000, 76.421, -175.1280
220.000000, 76.402, -174.9545
