* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jul 19, 2025 12:29:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Pure (Stock Wide Mid) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.750, -176.6982
20.600000, 81.737, -176.9825
20.900000, 81.718, -177.2808
21.200001, 81.696, -177.5594
21.400000, 81.680, -177.7369
21.799999, 81.650, -178.0868
22.000000, 81.636, -178.2641
22.400000, 81.608, -178.6269
22.700001, 81.590, -178.9021
23.000000, 81.574, -179.1741
23.299999, 81.560, -179.4392
23.600000, 81.549, -179.6971
24.000000, 81.534, 179.9657
24.299999, 81.520, 179.7139
24.700001, 81.496, 179.3785
25.000000, 81.474, 179.1299
25.400000, 81.440, 178.8073
25.799999, 81.407, 178.4963
26.200001, 81.380, 178.1931
26.500000, 81.364, 177.9685
26.900000, 81.345, 177.6756
27.200001, 81.331, 177.4671
27.600000, 81.309, 177.2147
28.000000, 81.283, 176.9965
28.500000, 81.249, 176.7550
29.000000, 81.218, 176.5056
29.500000, 81.188, 176.2164
30.000000, 81.156, 175.9011
30.400000, 81.127, 175.6602
30.700001, 81.103, 175.4980
31.100000, 81.073, 175.3059
31.500000, 81.046, 175.1247
32.000000, 81.017, 174.8853
32.500000, 80.991, 174.6310
33.000000, 80.964, 174.4014
33.500000, 80.937, 174.2264
34.000000, 80.909, 174.0814
34.500000, 80.879, 173.9080
35.000000, 80.842, 173.6829
35.500000, 80.798, 173.4464
36.000000, 80.756, 173.2534
36.500000, 80.723, 173.1092
37.000000, 80.701, 172.9678
37.500000, 80.679, 172.7923
38.200001, 80.634, 172.5258
38.700001, 80.598, 172.3726
39.500000, 80.552, 172.1946
40.000000, 80.529, 172.0831
40.599998, 80.494, 171.9353
41.200001, 80.448, 171.7953
41.799999, 80.403, 171.6759
42.500000, 80.362, 171.5399
43.099998, 80.334, 171.4022
43.700001, 80.301, 171.2476
44.400002, 80.251, 171.0819
45.000000, 80.209, 170.9696
45.500000, 80.181, 170.8866
46.200001, 80.151, 170.7734
46.799999, 80.122, 170.6963
47.500000, 80.080, 170.6404
48.200001, 80.036, 170.5665
48.700001, 80.010, 170.4724
49.400002, 79.975, 170.3100
50.000000, 79.942, 170.1973
50.799999, 79.894, 170.1051
51.500000, 79.852, 170.0275
52.200001, 79.813, 169.9413
53.000000, 79.772, 169.8903
53.799999, 79.729, 169.8711
54.500000, 79.688, 169.8015
55.200001, 79.653, 169.6929
56.000000, 79.635, 169.5888
57.000000, 79.617, 169.4831
58.000000, 79.535, 169.4891
59.000000, 79.447, 169.6184
60.000000, 79.405, 169.6085
60.799999, 79.376, 169.5637
61.500000, 79.344, 169.5710
62.200001, 79.311, 169.5747
63.000000, 79.275, 169.5304
64.000000, 79.227, 169.5066
65.000000, 79.179, 169.5599
66.000000, 79.133, 169.5523
67.000000, 79.088, 169.5159
68.000000, 79.051, 169.5470
69.000000, 79.009, 169.6102
70.000000, 78.965, 169.6445
71.000000, 78.928, 169.6086
72.000000, 78.887, 169.5996
73.000000, 78.841, 169.6637
74.000000, 78.796, 169.7466
75.000000, 78.758, 169.8337
76.199997, 78.718, 169.8790
77.500000, 78.672, 169.8738
78.800003, 78.619, 169.9569
80.000000, 78.569, 170.0702
81.199997, 78.525, 170.1033
82.500000, 78.479, 170.2137
83.800003, 78.436, 170.3923
85.000000, 78.389, 170.4974
86.199997, 78.337, 170.5819
87.500000, 78.300, 170.6699
88.500000, 78.272, 170.7101
90.000000, 78.220, 170.8160
91.199997, 78.189, 170.9602
92.500000, 78.158, 171.1620
93.800003, 78.119, 171.2678
95.000000, 78.084, 171.3679
96.199997, 78.053, 171.5237
97.500000, 78.010, 171.6486
98.800003, 77.962, 171.7553
100.000000, 77.919, 171.8491
101.500000, 77.869, 171.9958
103.000000, 77.828, 172.2193
104.400002, 77.802, 172.4595
106.000000, 77.743, 172.9015
107.500000, 77.706, 173.0986
109.000000, 77.689, 172.9150
110.599998, 77.658, 172.9593
112.000000, 77.625, 173.0875
113.800003, 77.569, 173.3132
115.000000, 77.533, 173.4771
117.199997, 77.495, 173.6586
118.000000, 77.483, 173.6900
120.599998, 77.444, 173.8702
122.000000, 77.414, 174.0852
124.099998, 77.363, 174.4552
125.000000, 77.342, 174.5588
126.500000, 77.305, 174.6622
