* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jul 19, 2025 12:07:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Pure (Stock Wide) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.848, -176.2706
20.600000, 81.835, -176.5054
20.900000, 81.816, -176.7639
21.200001, 81.796, -177.0384
21.400000, 81.783, -177.2388
21.799999, 81.756, -177.6907
22.000000, 81.742, -177.9373
22.400000, 81.713, -178.4396
22.700001, 81.691, -178.7913
23.000000, 81.670, -179.0956
23.299999, 81.652, -179.3427
23.600000, 81.638, -179.5400
24.000000, 81.626, -179.7629
24.299999, 81.619, -179.9340
24.700001, 81.608, 179.7966
25.000000, 81.594, 179.5598
25.400000, 81.566, 179.2215
25.799999, 81.533, 178.8992
26.200001, 81.500, 178.6237
26.500000, 81.479, 178.4468
26.900000, 81.456, 178.2279
27.200001, 81.441, 178.0592
27.600000, 81.418, 177.8168
28.000000, 81.389, 177.5637
28.500000, 81.346, 177.2647
29.000000, 81.307, 177.0028
29.500000, 81.280, 176.7571
30.000000, 81.259, 176.5006
30.400000, 81.239, 176.2890
30.700001, 81.221, 176.1345
31.100000, 81.191, 175.9409
31.500000, 81.159, 175.7578
32.000000, 81.121, 175.5241
32.500000, 81.091, 175.2675
33.000000, 81.066, 174.9970
33.500000, 81.043, 174.7411
34.000000, 81.017, 174.5217
34.500000, 80.986, 174.3413
35.000000, 80.950, 174.1901
35.500000, 80.913, 174.0533
36.000000, 80.882, 173.9140
36.500000, 80.857, 173.7557
37.000000, 80.835, 173.5735
37.500000, 80.810, 173.3820
38.200001, 80.769, 173.1447
38.700001, 80.736, 173.0131
39.500000, 80.685, 172.8347
40.000000, 80.654, 172.7109
40.599998, 80.616, 172.5377
41.200001, 80.576, 172.3565
41.799999, 80.540, 172.1947
42.500000, 80.503, 172.0386
43.099998, 80.473, 171.9196
43.700001, 80.438, 171.8085
44.400002, 80.392, 171.6935
45.000000, 80.355, 171.5975
45.500000, 80.328, 171.5098
46.200001, 80.291, 171.3851
46.799999, 80.258, 171.2917
47.500000, 80.218, 171.1904
48.200001, 80.179, 171.0768
48.700001, 80.154, 170.9916
49.400002, 80.118, 170.8849
50.000000, 80.084, 170.8142
50.799999, 80.035, 170.7385
51.500000, 79.995, 170.6636
52.200001, 79.960, 170.5893
53.000000, 79.925, 170.5454
53.799999, 79.888, 170.4962
54.500000, 79.846, 170.4152
55.200001, 79.805, 170.3501
56.000000, 79.789, 170.2484
57.000000, 79.773, 169.9379
58.000000, 79.696, 169.8321
59.000000, 79.620, 170.0356
60.000000, 79.572, 170.1134
60.799999, 79.537, 170.1204
61.500000, 79.509, 170.1309
62.200001, 79.480, 170.1235
63.000000, 79.444, 170.0991
64.000000, 79.402, 170.0821
65.000000, 79.359, 170.0988
66.000000, 79.312, 170.1364
67.000000, 79.267, 170.1332
68.000000, 79.222, 170.1093
69.000000, 79.181, 170.1174
70.000000, 79.144, 170.1144
71.000000, 79.106, 170.1295
72.000000, 79.066, 170.2094
73.000000, 79.026, 170.2833
74.000000, 78.985, 170.3091
75.000000, 78.947, 170.3478
76.199997, 78.910, 170.4550
77.500000, 78.869, 170.5293
78.800003, 78.809, 170.5417
80.000000, 78.760, 170.6183
81.199997, 78.720, 170.6926
82.500000, 78.667, 170.7737
83.800003, 78.624, 170.8601
85.000000, 78.594, 170.9493
86.199997, 78.556, 171.0273
87.500000, 78.511, 171.1527
88.500000, 78.481, 171.2460
90.000000, 78.440, 171.3927
91.199997, 78.408, 171.5372
92.500000, 78.364, 171.6518
93.800003, 78.320, 171.6911
95.000000, 78.284, 171.7559
96.199997, 78.249, 171.8725
97.500000, 78.206, 172.0451
98.800003, 78.166, 172.1708
100.000000, 78.137, 172.2166
101.500000, 78.109, 172.2919
103.000000, 78.074, 172.4388
104.400002, 78.024, 172.6240
106.000000, 77.943, 172.7455
107.500000, 77.901, 172.9214
109.000000, 77.893, 173.2261
110.599998, 77.870, 173.4384
112.000000, 77.845, 173.5247
113.800003, 77.809, 173.7072
115.000000, 77.788, 173.8319
117.199997, 77.742, 173.9802
118.000000, 77.725, 174.0270
120.599998, 77.675, 174.2571
122.000000, 77.637, 174.4810
124.099998, 77.590, 174.7650
125.000000, 77.572, 174.8828
126.500000, 77.540, 175.0491
128.000000, 77.515, 175.1673
131.500000, 77.450, 175.5667
132.000000, 77.439, 175.6190
134.000000, 77.399, 175.8042
136.000000, 77.364, 176.0138
138.000000, 77.336, 176.2664
140.000000, 77.296, 176.5738
143.000000, 77.248, 176.8839
145.000000, 77.227, 177.0812
147.500000, 77.190, 177.3312
150.000000, 77.150, 177.5661
152.500000, 77.118, 177.8466
155.000000, 77.081, 178.1108
157.500000, 77.044, 178.3241
160.000000, 77.006, 178.6136
162.500000, 76.967, 178.8971
165.000000, 76.930, 179.1495
167.500000, 76.897, 179.4088
170.000000, 76.865, 179.6801
172.500000, 76.827, 179.9526
175.000000, 76.790, -179.7697
177.500000, 76.755, -179.4925
180.000000, 76.732, -179.2200
182.500000, 76.707, -178.9588
185.000000, 76.673, -178.7107
187.500000, 76.642, -178.4740
190.000000, 76.617, -178.2176
192.500000, 76.587, -177.9338
195.000000, 76.557, -177.6722
197.500000, 76.527, -177.4248
200.000000, 76.495, -177.1402
203.000000, 76.457, -176.7863
206.000000, 76.425, -176.4503
209.000000, 76.393, -176.1236
212.000000, 76.356, -175.8373
214.000000, 76.330, -175.6567
218.000000, 76.280, -175.2206
220.000000, 76.257, -174.9827
224.000000, 76.204, -174.5172
227.000000, 76.156, -174.1758
230.000000, 76.115, -173.7799
233.000000, 76.082, -173.2960
236.000000, 76.047, -172.7658
240.000000, 76.001, -172.0367
243.000000, 75.989, -171.3230
247.000000, 76.010, -170.3648
250.000000, 76.047, -169.7565
254.000000, 76.110, -169.2645
258.000000, 76.164, -169.0891
262.000000, 76.198, -169.0910
265.000000, 76.198, -169.0920
269.000000, 76.177, -169.0157
272.000000, 76.159, -168.9150
276.000000, 76.132, -168.7414
280.000000, 76.097, -168.5518
285.000000, 76.055, -168.2185
290.000000, 76.014, -167.8863
295.000000, 75.971, -167.5214
300.000000, 75.933, -167.0946
304.000000, 75.900, -166.7725
307.000000, 75.878, -166.5480
311.000000, 75.852, -166.2335
315.000000, 75.826, -165.8976
320.000000, 75.794, -165.4594
325.000000, 75.763, -165.0367
330.000000, 75.729, -164.6306
335.000000, 75.697, -164.2223
340.000000, 75.666, -163.8083
345.000000, 75.635, -163.3665
350.000000, 75.607, -162.9378
355.000000, 75.578, -162.5176
360.000000, 75.544, -162.1116
365.000000, 75.511, -161.6936
370.000000, 75.482, -161.2646
375.000000, 75.452, -160.8217
382.000000, 75.410, -160.1559
387.000000, 75.380, -159.7328
395.000000, 75.342, -159.0843
400.000000, 75.321, -158.6657
406.000000, 75.292, -158.1416
412.000000, 75.259, -157.5968
418.000000, 75.227, -157.0608
425.000000, 75.191, -156.4955
431.000000, 75.164, -156.0257
437.000000, 75.139, -155.5253
444.000000, 75.105, -154.9453
450.000000, 75.074, -154.4723
455.000000, 75.048, -154.0755
462.000000, 75.013, -153.5113
468.000000, 74.983, -153.0357
475.000000, 74.941, -152.4604
482.000000, 74.897, -151.8497
487.000000, 74.870, -151.4137
494.000000, 74.836, -150.7995
500.000000, 74.806, -150.2701
508.000000, 74.764, -149.5766
515.000000, 74.727, -148.9474
522.000000, 74.695, -148.3165
530.000000, 74.658, -147.6390
538.000000, 74.620, -146.9622
545.000000, 74.590, -146.3518
552.000000, 74.559, -145.7197
560.000000, 74.523, -144.9897
570.000000, 74.476, -144.1052
580.000000, 74.434, -143.1922
590.000000, 74.395, -142.2718
600.000000, 74.344, -141.4060
608.000000, 74.308, -140.6686
615.000000, 74.280, -140.0037
622.000000, 74.252, -139.3435
630.000000, 74.223, -138.5874
640.000000, 74.187, -137.6378
650.000000, 74.154, -136.6881
660.000000, 74.113, -135.7332
670.000000, 74.072, -134.7574
680.000000, 74.037, -133.7747
690.000000, 74.007, -132.7965
700.000000, 73.979, -131.8099
710.000000, 73.952, -130.8033
720.000000, 73.926, -129.8001
730.000000, 73.905, -128.7930
740.000000, 73.886, -127.7929
750.000000, 73.867, -126.7959
762.000000, 73.843, -125.5516
775.000000, 73.824, -124.2061
788.000000, 73.810, -122.8291
800.000000, 73.800, -121.5632
812.000000, 73.793, -120.3017
825.000000, 73.786, -118.8967
838.000000, 73.788, -117.5274
850.000000, 73.802, -116.2717
862.000000, 73.821, -114.9952
875.000000, 73.843, -113.5933
885.000000, 73.864, -112.5298
900.000000, 73.900, -110.9966
912.000000, 73.933, -109.7407
925.000000, 73.973, -108.4086
938.000000, 74.017, -107.0964
950.000000, 74.063, -105.9113
962.000000, 74.116, -104.7545
975.000000, 74.182, -103.5305
988.000000, 74.251, -102.3132
1000.000000, 74.319, -101.2231
1015.000000, 74.409, -99.9263
1030.000000, 74.501, -98.6577
1044.000000, 74.587, -97.5262
1060.000000, 74.686, -96.2878
1075.000000, 74.781, -95.1787
1090.000000, 74.881, -94.1470
1106.000000, 74.990, -93.0936
1120.000000, 75.084, -92.2023
1138.000000, 75.200, -91.1366
1150.000000, 75.275, -90.4705
1172.000000, 75.413, -89.2882
1180.000000, 75.465, -88.8761
1206.000000, 75.622, -87.6231
1220.000000, 75.699, -87.0014
1241.000000, 75.804, -86.0935
1250.000000, 75.847, -85.7058
1265.000000, 75.916, -85.0653
1280.000000, 75.984, -84.4494
1315.000000, 76.132, -83.0422
1320.000000, 76.151, -82.8449
1340.000000, 76.223, -82.0752
1360.000000, 76.293, -81.3165
1380.000000, 76.357, -80.5559
1400.000000, 76.416, -79.7778
