* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jul 19, 2025 12:10:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Pure (Velvet) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 82.161, -174.5865
20.600000, 82.037, -174.8294
20.900000, 81.916, -175.0345
21.200001, 81.849, -175.1702
21.400000, 81.843, -175.2442
21.799999, 81.910, -175.4610
22.000000, 81.965, -175.6480
22.400000, 82.058, -176.2050
22.700001, 82.075, -176.7130
23.000000, 82.032, -177.1793
23.299999, 81.943, -177.4985
23.600000, 81.845, -177.6302
24.000000, 81.764, -177.6409
24.299999, 81.771, -177.7289
24.700001, 81.848, -178.2282
25.000000, 81.908, -178.9193
25.400000, 81.921, 179.9456
25.799999, 81.825, 178.9352
26.200001, 81.656, 178.3263
26.500000, 81.529, 178.1252
26.900000, 81.420, 177.9694
27.200001, 81.396, 177.7727
27.600000, 81.416, 177.3498
28.000000, 81.445, 176.9418
28.500000, 81.444, 176.8618
29.000000, 81.409, 177.2397
29.500000, 81.370, 177.3937
30.000000, 81.335, 176.6541
30.400000, 81.308, 175.4634
30.700001, 81.290, 174.4735
31.100000, 81.266, 173.3903
31.500000, 81.234, 172.8701
32.000000, 81.156, 173.0376
32.500000, 81.026, 173.6455
33.000000, 80.889, 173.9377
33.500000, 80.828, 173.3892
34.000000, 80.899, 172.2002
34.500000, 81.079, 171.2907
35.000000, 81.292, 171.5045
35.500000, 81.468, 172.8234
36.000000, 81.555, 174.3525
36.500000, 81.504, 175.0426
37.000000, 81.296, 174.5246
37.500000, 80.984, 173.3513
38.200001, 80.605, 172.4832
38.700001, 80.528, 172.9213
39.500000, 80.719, 173.6674
40.000000, 80.883, 173.3532
