* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2024 12:33:43 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Quark 2 (Stock M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 78.795, 137.5746
20.600000, 78.721, 137.5123
20.900000, 78.636, 137.4516
21.200001, 78.550, 137.3903
21.400000, 78.494, 137.3460
21.799999, 78.388, 137.2477
22.000000, 78.336, 137.1956
22.400000, 78.237, 137.0944
22.700001, 78.164, 137.0292
23.000000, 78.092, 136.9773
23.299999, 78.022, 136.9385
23.600000, 77.953, 136.9094
24.000000, 77.864, 136.8768
24.299999, 77.797, 136.8519
24.700001, 77.710, 136.8156
25.000000, 77.646, 136.7875
25.400000, 77.562, 136.7532
25.799999, 77.480, 136.7258
26.200001, 77.399, 136.7066
26.500000, 77.340, 136.6973
26.900000, 77.262, 136.6911
27.200001, 77.205, 136.6909
27.600000, 77.130, 136.6949
28.000000, 77.057, 136.7000
28.500000, 76.969, 136.7012
29.000000, 76.884, 136.6954
29.500000, 76.800, 136.6927
30.000000, 76.717, 136.7052
30.400000, 76.652, 136.7261
30.700001, 76.605, 136.7438
31.100000, 76.543, 136.7636
31.500000, 76.483, 136.7751
32.000000, 76.409, 136.7810
32.500000, 76.336, 136.7891
33.000000, 76.265, 136.8080
33.500000, 76.196, 136.8363
34.000000, 76.130, 136.8676
34.500000, 76.064, 136.8964
35.000000, 76.000, 136.9198
35.500000, 75.937, 136.9361
36.000000, 75.875, 136.9460
36.500000, 75.814, 136.9552
37.000000, 75.753, 136.9711
37.500000, 75.693, 136.9972
38.200001, 75.613, 137.0414
38.700001, 75.559, 137.0667
39.500000, 75.475, 137.0872
40.000000, 75.423, 137.0964
40.599998, 75.360, 137.1179
41.200001, 75.299, 137.1526
41.799999, 75.241, 137.1876
42.500000, 75.173, 137.2127
43.099998, 75.115, 137.2231
43.700001, 75.058, 137.2309
44.400002, 74.993, 137.2376
45.000000, 74.940, 137.2393
45.500000, 74.896, 137.2416
46.200001, 74.835, 137.2544
46.799999, 74.784, 137.2742
47.500000, 74.728, 137.2950
48.200001, 74.673, 137.3017
48.700001, 74.633, 137.3004
49.400002, 74.577, 137.3033
50.000000, 74.529, 137.3163
50.799999, 74.470, 137.3340
51.500000, 74.419, 137.3361
52.200001, 74.367, 137.3311
53.000000, 74.309, 137.3280
53.799999, 74.251, 137.3305
54.500000, 74.201, 137.3405
55.200001, 74.153, 137.3509
56.000000, 74.100, 137.3435
57.000000, 74.033, 137.3088
58.000000, 73.964, 137.2869
59.000000, 73.899, 137.2864
60.000000, 73.840, 137.2713
60.799999, 73.793, 137.2387
61.500000, 73.750, 137.2107
62.200001, 73.707, 137.1913
63.000000, 73.657, 137.1751
64.000000, 73.595, 137.1577
65.000000, 73.534, 137.1409
66.000000, 73.474, 137.1284
67.000000, 73.418, 137.1273
68.000000, 73.366, 137.1011
69.000000, 73.311, 137.0418
70.000000, 73.252, 136.9975
71.000000, 73.195, 136.9632
72.000000, 73.140, 136.9220
73.000000, 73.086, 136.8851
74.000000, 73.032, 136.8550
75.000000, 72.980, 136.8290
76.199997, 72.918, 136.7817
77.500000, 72.848, 136.7242
78.800003, 72.780, 136.6959
80.000000, 72.720, 136.6593
81.199997, 72.658, 136.6258
82.500000, 72.591, 136.6027
83.800003, 72.527, 136.5947
85.000000, 72.472, 136.5900
86.199997, 72.415, 136.5501
87.500000, 72.350, 136.4812
88.500000, 72.302, 136.4386
90.000000, 72.232, 136.3903
91.199997, 72.174, 136.3582
92.500000, 72.113, 136.3334
93.800003, 72.055, 136.3164
95.000000, 72.002, 136.3105
96.199997, 71.945, 136.3102
97.500000, 71.883, 136.3070
98.800003, 71.824, 136.2840
100.000000, 71.772, 136.2626
101.500000, 71.710, 136.2644
103.000000, 71.649, 136.2691
104.400002, 71.591, 136.2677
106.000000, 71.526, 136.2609
107.500000, 71.466, 136.2437
109.000000, 71.407, 136.2281
110.599998, 71.347, 136.2072
112.000000, 71.292, 136.1808
113.800003, 71.219, 136.1369
115.000000, 71.170, 136.1101
117.199997, 71.078, 136.0708
118.000000, 71.044, 136.0564
120.599998, 70.933, 136.0374
122.000000, 70.873, 136.0435
124.099998, 70.787, 136.0776
125.000000, 70.751, 136.0855
126.500000, 70.688, 136.0957
128.000000, 70.624, 136.1221
131.500000, 70.485, 136.2281
132.000000, 70.466, 136.2446
134.000000, 70.389, 136.3180
136.000000, 70.314, 136.4167
138.000000, 70.237, 136.5435
140.000000, 70.158, 136.6639
143.000000, 70.045, 136.8231
145.000000, 69.974, 136.9475
147.500000, 69.887, 137.1134
150.000000, 69.804, 137.2963
152.500000, 69.717, 137.5016
155.000000, 69.630, 137.7479
157.500000, 69.551, 137.9921
160.000000, 69.481, 138.2393
162.500000, 69.411, 138.4822
165.000000, 69.342, 138.7578
167.500000, 69.278, 139.0326
170.000000, 69.218, 139.3085
172.500000, 69.156, 139.6041
175.000000, 69.100, 139.9158
177.500000, 69.050, 140.2337
180.000000, 69.001, 140.5424
182.500000, 68.952, 140.8610
185.000000, 68.906, 141.1602
187.500000, 68.865, 141.4564
190.000000, 68.827, 141.7662
192.500000, 68.794, 142.0574
195.000000, 68.763, 142.3407
197.500000, 68.734, 142.6288
200.000000, 68.709, 142.9277
203.000000, 68.683, 143.2776
206.000000, 68.658, 143.6136
209.000000, 68.638, 143.9314
212.000000, 68.622, 144.2582
214.000000, 68.612, 144.4625
218.000000, 68.596, 144.8200
220.000000, 68.590, 144.9914
