* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jun 2, 2025 12:01:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R6 (Azla Foamax M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.241, -148.1086
20.600000, 81.259, -148.5868
20.900000, 81.282, -149.1339
21.200001, 81.308, -149.6893
21.400000, 81.327, -150.0564
21.799999, 81.366, -150.7614
22.000000, 81.385, -151.0886
22.400000, 81.420, -151.6765
22.700001, 81.444, -152.0639
23.000000, 81.466, -152.4268
23.299999, 81.486, -152.7935
23.600000, 81.504, -153.1888
24.000000, 81.522, -153.7754
24.299999, 81.531, -154.2475
24.700001, 81.537, -154.8785
25.000000, 81.542, -155.3264
25.400000, 81.551, -155.8750
25.799999, 81.565, -156.3813
26.200001, 81.583, -156.8725
26.500000, 81.594, -157.2416
26.900000, 81.605, -157.7333
27.200001, 81.610, -158.0957
27.600000, 81.615, -158.5626
28.000000, 81.623, -159.0103
28.500000, 81.635, -159.5508
29.000000, 81.648, -160.0778
29.500000, 81.658, -160.5941
30.000000, 81.663, -161.1049
30.400000, 81.665, -161.5146
30.700001, 81.666, -161.8221
31.100000, 81.667, -162.2268
31.500000, 81.670, -162.6152
32.000000, 81.674, -163.0657
32.500000, 81.680, -163.4803
33.000000, 81.684, -163.8808
33.500000, 81.686, -164.2926
34.000000, 81.683, -164.7254
34.500000, 81.675, -165.1638
35.000000, 81.665, -165.5791
35.500000, 81.656, -165.9557
36.000000, 81.652, -166.3069
36.500000, 81.650, -166.6626
37.000000, 81.648, -167.0372
37.500000, 81.642, -167.4152
38.200001, 81.630, -167.9056
38.700001, 81.624, -168.2295
39.500000, 81.617, -168.7586
40.000000, 81.611, -169.0997
40.599998, 81.600, -169.4871
41.200001, 81.589, -169.8351
41.799999, 81.579, -170.1632
42.500000, 81.562, -170.5474
43.099998, 81.544, -170.8757
43.700001, 81.528, -171.1979
44.400002, 81.513, -171.5692
45.000000, 81.503, -171.8805
45.500000, 81.494, -172.1316
46.200001, 81.478, -172.4768
46.799999, 81.463, -172.7753
47.500000, 81.443, -173.1235
48.200001, 81.423, -173.4567
48.700001, 81.409, -173.6771
49.400002, 81.388, -173.9554
50.000000, 81.372, -174.1746
50.799999, 81.351, -174.4744
51.500000, 81.329, -174.7601
52.200001, 81.304, -175.0539
53.000000, 81.277, -175.3768
53.799999, 81.255, -175.6680
54.500000, 81.238, -175.8977
55.200001, 81.217, -176.1259
56.000000, 81.188, -176.4008
57.000000, 81.152, -176.7341
58.000000, 81.125, -177.0314
59.000000, 81.101, -177.3167
60.000000, 81.074, -177.6254
60.799999, 81.049, -177.8710
61.500000, 81.024, -178.0548
62.200001, 80.999, -178.2160
63.000000, 80.971, -178.4112
64.000000, 80.934, -178.6813
65.000000, 80.892, -178.9202
66.000000, 80.854, -179.1052
67.000000, 80.823, -179.2988
68.000000, 80.790, -179.5235
69.000000, 80.756, -179.7519
70.000000, 80.724, -179.9717
71.000000, 80.689, 179.8505
72.000000, 80.649, 179.6976
73.000000, 80.610, 179.5478
74.000000, 80.576, 179.4000
75.000000, 80.541, 179.2607
76.199997, 80.501, 179.1208
77.500000, 80.459, 178.9630
78.800003, 80.414, 178.8337
80.000000, 80.372, 178.6730
81.199997, 80.331, 178.5017
82.500000, 80.287, 178.3481
83.800003, 80.241, 178.2135
85.000000, 80.199, 178.0955
86.199997, 80.161, 178.0095
87.500000, 80.117, 177.9497
88.500000, 80.079, 177.9016
90.000000, 80.028, 177.7907
91.199997, 79.987, 177.7063
92.500000, 79.943, 177.6284
93.800003, 79.902, 177.5861
95.000000, 79.864, 177.5449
96.199997, 79.824, 177.4988
97.500000, 79.782, 177.4796
98.800003, 79.741, 177.4330
100.000000, 79.707, 177.3818
101.500000, 79.658, 177.3859
103.000000, 79.601, 177.3945
104.400002, 79.551, 177.3741
106.000000, 79.502, 177.3707
107.500000, 79.459, 177.3814
109.000000, 79.408, 177.4036
110.599998, 79.357, 177.4447
112.000000, 79.314, 177.4813
113.800003, 79.261, 177.4926
115.000000, 79.226, 177.5079
117.199997, 79.160, 177.5789
118.000000, 79.136, 177.6214
120.599998, 79.060, 177.7433
122.000000, 79.023, 177.8036
124.099998, 78.966, 177.9079
125.000000, 78.940, 177.9629
126.500000, 78.895, 178.0591
128.000000, 78.853, 178.1391
131.500000, 78.758, 178.3673
132.000000, 78.745, 178.4089
134.000000, 78.697, 178.5722
136.000000, 78.647, 178.7079
138.000000, 78.597, 178.8224
140.000000, 78.546, 178.9632
143.000000, 78.476, 179.1976
145.000000, 78.429, 179.3732
147.500000, 78.366, 179.5909
150.000000, 78.306, 179.7964
152.500000, 78.250, -179.9565
155.000000, 78.192, -179.7036
157.500000, 78.134, -179.4519
160.000000, 78.081, -179.2151
162.500000, 78.031, -178.9696
165.000000, 77.980, -178.7212
167.500000, 77.925, -178.4492
170.000000, 77.873, -178.1744
172.500000, 77.825, -177.8886
175.000000, 77.777, -177.5988
177.500000, 77.730, -177.3270
180.000000, 77.684, -177.0534
182.500000, 77.639, -176.7619
185.000000, 77.599, -176.4646
187.500000, 77.556, -176.1708
190.000000, 77.512, -175.8630
192.500000, 77.468, -175.5567
195.000000, 77.428, -175.2526
197.500000, 77.391, -174.9386
200.000000, 77.353, -174.6207
203.000000, 77.304, -174.2299
206.000000, 77.258, -173.8343
209.000000, 77.214, -173.4516
212.000000, 77.172, -173.0855
214.000000, 77.143, -172.8430
218.000000, 77.089, -172.3713
220.000000, 77.066, -172.1293
224.000000, 77.014, -171.6052
227.000000, 76.972, -171.1796
230.000000, 76.935, -170.7671
233.000000, 76.899, -170.3612
236.000000, 76.864, -169.9840
240.000000, 76.817, -169.4673
243.000000, 76.785, -169.0573
247.000000, 76.746, -168.5164
250.000000, 76.717, -168.1134
254.000000, 76.677, -167.5865
258.000000, 76.633, -167.0683
262.000000, 76.593, -166.5310
265.000000, 76.567, -166.1346
269.000000, 76.535, -165.5940
272.000000, 76.511, -165.1675
276.000000, 76.476, -164.6335
280.000000, 76.444, -164.1281
285.000000, 76.408, -163.4607
290.000000, 76.376, -162.7833
295.000000, 76.346, -162.1111
300.000000, 76.316, -161.4584
304.000000, 76.289, -160.8999
307.000000, 76.271, -160.5002
311.000000, 76.253, -159.9867
315.000000, 76.233, -159.4630
320.000000, 76.209, -158.8411
325.000000, 76.189, -158.2504
330.000000, 76.167, -157.6465
335.000000, 76.141, -157.0241
340.000000, 76.118, -156.4216
345.000000, 76.099, -155.8211
350.000000, 76.083, -155.2305
355.000000, 76.063, -154.6354
360.000000, 76.040, -154.0342
365.000000, 76.020, -153.4545
370.000000, 76.002, -152.8629
375.000000, 75.985, -152.2647
382.000000, 75.961, -151.4468
387.000000, 75.942, -150.8698
395.000000, 75.908, -149.9521
400.000000, 75.890, -149.3700
406.000000, 75.871, -148.6703
412.000000, 75.849, -147.9756
418.000000, 75.829, -147.2422
425.000000, 75.813, -146.4194
431.000000, 75.799, -145.7518
437.000000, 75.787, -145.0644
444.000000, 75.772, -144.2395
450.000000, 75.757, -143.5441
455.000000, 75.743, -142.9780
462.000000, 75.726, -142.1665
468.000000, 75.716, -141.4817
475.000000, 75.704, -140.7155
482.000000, 75.695, -139.9281
487.000000, 75.688, -139.3635
494.000000, 75.677, -138.5768
500.000000, 75.671, -137.8961
508.000000, 75.662, -136.9818
515.000000, 75.655, -136.2048
522.000000, 75.650, -135.4312
530.000000, 75.643, -134.5632
538.000000, 75.634, -133.6851
545.000000, 75.630, -132.9090
552.000000, 75.626, -132.1458
560.000000, 75.620, -131.2742
570.000000, 75.616, -130.1848
580.000000, 75.617, -129.1108
590.000000, 75.625, -128.0043
600.000000, 75.628, -126.8995
608.000000, 75.629, -126.0432
615.000000, 75.631, -125.2819
622.000000, 75.634, -124.5118
630.000000, 75.639, -123.6334
640.000000, 75.647, -122.5403
650.000000, 75.658, -121.4779
660.000000, 75.668, -120.4333
670.000000, 75.679, -119.3994
680.000000, 75.694, -118.3361
690.000000, 75.711, -117.2650
700.000000, 75.729, -116.1974
710.000000, 75.748, -115.1569
720.000000, 75.770, -114.1143
730.000000, 75.793, -113.0318
740.000000, 75.815, -111.9559
750.000000, 75.840, -110.9059
762.000000, 75.876, -109.6424
775.000000, 75.918, -108.2952
788.000000, 75.963, -106.9649
800.000000, 76.010, -105.7304
812.000000, 76.061, -104.5051
825.000000, 76.119, -103.2009
838.000000, 76.182, -101.9244
850.000000, 76.247, -100.7424
862.000000, 76.317, -99.5768
875.000000, 76.401, -98.3589
885.000000, 76.468, -97.4443
900.000000, 76.572, -96.1515
912.000000, 76.660, -95.1833
925.000000, 76.763, -94.2438
938.000000, 76.863, -93.4404
950.000000, 76.943, -92.8054
962.000000, 76.998, -92.2553
975.000000, 77.024, -91.6316
988.000000, 77.033, -90.7710
1000.000000, 77.064, -89.7193
1015.000000, 77.152, -88.4926
1030.000000, 77.229, -87.8792
1044.000000, 77.204, -87.4865
1060.000000, 77.089, -86.1848
1075.000000, 77.045, -83.9979
1090.000000, 77.122, -81.6965
1106.000000, 77.289, -79.6579
1120.000000, 77.458, -78.2313
1138.000000, 77.669, -76.7434
1150.000000, 77.802, -75.9076
1172.000000, 78.033, -74.5329
1180.000000, 78.113, -74.0655
1206.000000, 78.357, -72.6671
1220.000000, 78.480, -71.9605
1241.000000, 78.654, -70.9684
1250.000000, 78.726, -70.5620
1265.000000, 78.844, -69.9059
1280.000000, 78.959, -69.2829
1315.000000, 79.211, -67.8771
1320.000000, 79.246, -67.6805
1340.000000, 79.380, -66.9007
1360.000000, 79.509, -66.1561
1380.000000, 79.635, -65.4318
1400.000000, 79.757, -64.7237
1430.000000, 79.936, -63.6778
1450.000000, 80.050, -62.9778
1475.000000, 80.188, -62.1420
1500.000000, 80.326, -61.3323
1525.000000, 80.460, -60.5460
1550.000000, 80.591, -59.7684
1575.000000, 80.721, -59.0051
1600.000000, 80.848, -58.2466
