* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jun 1, 2025 11:49:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R6 (Stock M Deep) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 82.383, -147.0916
20.600000, 82.403, -147.5169
20.900000, 82.428, -148.0068
21.200001, 82.456, -148.5229
21.400000, 82.475, -148.8790
21.799999, 82.512, -149.5972
22.000000, 82.528, -149.9436
22.400000, 82.554, -150.5755
22.700001, 82.570, -150.9851
23.000000, 82.585, -151.3502
23.299999, 82.601, -151.6973
23.600000, 82.619, -152.0575
24.000000, 82.644, -152.5950
24.299999, 82.661, -153.0462
24.700001, 82.681, -153.6864
25.000000, 82.694, -154.1689
25.400000, 82.711, -154.7851
25.799999, 82.727, -155.3573
26.200001, 82.742, -155.8888
26.500000, 82.751, -156.2635
26.900000, 82.758, -156.7305
27.200001, 82.763, -157.0560
27.600000, 82.771, -157.4654
28.000000, 82.786, -157.8687
28.500000, 82.811, -158.4011
29.000000, 82.835, -158.9727
29.500000, 82.849, -159.5466
30.000000, 82.853, -160.0877
30.400000, 82.853, -160.5014
30.700001, 82.853, -160.8111
31.100000, 82.852, -161.2294
31.500000, 82.848, -161.6426
32.000000, 82.840, -162.1135
32.500000, 82.834, -162.5030
33.000000, 82.835, -162.8324
33.500000, 82.844, -163.1598
34.000000, 82.857, -163.5253
34.500000, 82.866, -163.9221
35.000000, 82.869, -164.3223
35.500000, 82.870, -164.7161
36.000000, 82.867, -165.1168
36.500000, 82.861, -165.5313
37.000000, 82.850, -165.9376
37.500000, 82.841, -166.3038
38.200001, 82.839, -166.7497
38.700001, 82.844, -167.0633
39.500000, 82.841, -167.5988
40.000000, 82.830, -167.9255
40.599998, 82.818, -168.2983
41.200001, 82.814, -168.6829
41.799999, 82.813, -169.0790
42.500000, 82.806, -169.4830
43.099998, 82.798, -169.7632
43.700001, 82.792, -170.0473
44.400002, 82.782, -170.4293
45.000000, 82.766, -170.7528
45.500000, 82.750, -170.9914
46.200001, 82.728, -171.3100
46.799999, 82.705, -171.6084
47.500000, 82.674, -171.9775
48.200001, 82.648, -172.3322
48.700001, 82.634, -172.5734
49.400002, 82.618, -172.9041
50.000000, 82.604, -173.1805
50.799999, 82.584, -173.5311
51.500000, 82.569, -173.8177
52.200001, 82.555, -174.0749
53.000000, 82.536, -174.3382
53.799999, 82.512, -174.6234
54.500000, 82.488, -174.9035
55.200001, 82.463, -175.1643
56.000000, 82.440, -175.4198
57.000000, 82.413, -175.7524
58.000000, 82.380, -176.0716
59.000000, 82.353, -176.3297
60.000000, 82.323, -176.6065
60.799999, 82.292, -176.8580
61.500000, 82.268, -177.0855
62.200001, 82.250, -177.3044
63.000000, 82.229, -177.5293
64.000000, 82.196, -177.7806
65.000000, 82.162, -178.0142
66.000000, 82.129, -178.1989
67.000000, 82.098, -178.3486
68.000000, 82.071, -178.5774
69.000000, 82.040, -178.8615
70.000000, 82.003, -179.0813
71.000000, 81.966, -179.2602
72.000000, 81.934, -179.4470
73.000000, 81.901, -179.6271
74.000000, 81.863, -179.7807
75.000000, 81.829, -179.9327
76.199997, 81.794, 179.8871
77.500000, 81.749, 179.7350
78.800003, 81.702, 179.5301
80.000000, 81.659, 179.3492
81.199997, 81.618, 179.2365
82.500000, 81.576, 179.0851
83.800003, 81.537, 178.9474
85.000000, 81.507, 178.8779
86.199997, 81.475, 178.8205
87.500000, 81.430, 178.7541
88.500000, 81.389, 178.6786
90.000000, 81.323, 178.5895
91.199997, 81.277, 178.5234
92.500000, 81.231, 178.4326
93.800003, 81.187, 178.3068
95.000000, 81.149, 178.1840
96.199997, 81.118, 178.1157
97.500000, 81.086, 178.0898
98.800003, 81.047, 178.0764
100.000000, 81.007, 178.0563
101.500000, 80.960, 178.0266
103.000000, 80.916, 177.9990
104.400002, 80.878, 177.9896
106.000000, 80.829, 177.9857
107.500000, 80.779, 177.9644
109.000000, 80.731, 177.9586
110.599998, 80.680, 177.9685
112.000000, 80.635, 177.9689
113.800003, 80.584, 178.0335
115.000000, 80.553, 178.0858
117.199997, 80.489, 178.1410
118.000000, 80.464, 178.1552
120.599998, 80.383, 178.2545
122.000000, 80.346, 178.3038
124.099998, 80.292, 178.3698
125.000000, 80.267, 178.4101
126.500000, 80.223, 178.4730
128.000000, 80.180, 178.5345
131.500000, 80.088, 178.6969
132.000000, 80.076, 178.7261
134.000000, 80.027, 178.8530
136.000000, 79.976, 178.9700
138.000000, 79.924, 179.1036
140.000000, 79.873, 179.2454
143.000000, 79.794, 179.4615
145.000000, 79.743, 179.5998
147.500000, 79.685, 179.7864
150.000000, 79.628, -179.9993
152.500000, 79.570, -179.7781
155.000000, 79.509, -179.5636
157.500000, 79.451, -179.3545
160.000000, 79.395, -179.1190
162.500000, 79.338, -178.8887
165.000000, 79.282, -178.6345
167.500000, 79.225, -178.3476
170.000000, 79.167, -178.0849
172.500000, 79.109, -177.8358
175.000000, 79.051, -177.5560
177.500000, 78.992, -177.2593
180.000000, 78.932, -176.9518
182.500000, 78.871, -176.6041
185.000000, 78.811, -176.2016
187.500000, 78.755, -175.7293
190.000000, 78.706, -175.1726
192.500000, 78.673, -174.5612
195.000000, 78.663, -173.9617
197.500000, 78.673, -173.4813
200.000000, 78.687, -173.1734
203.000000, 78.689, -172.9730
206.000000, 78.675, -172.8313
209.000000, 78.648, -172.6887
212.000000, 78.611, -172.4849
214.000000, 78.585, -172.3275
218.000000, 78.528, -171.9652
220.000000, 78.499, -171.7741
224.000000, 78.444, -171.3746
227.000000, 78.402, -171.0237
230.000000, 78.359, -170.6692
233.000000, 78.319, -170.3273
236.000000, 78.281, -170.0004
240.000000, 78.233, -169.5373
243.000000, 78.194, -169.1856
247.000000, 78.145, -168.6837
250.000000, 78.111, -168.3079
254.000000, 78.067, -167.8110
258.000000, 78.026, -167.3058
262.000000, 77.984, -166.8153
265.000000, 77.951, -166.4439
269.000000, 77.909, -165.9481
272.000000, 77.880, -165.5691
276.000000, 77.842, -165.0456
280.000000, 77.807, -164.5471
285.000000, 77.768, -163.9653
290.000000, 77.728, -163.3292
295.000000, 77.683, -162.6951
300.000000, 77.639, -162.0276
304.000000, 77.607, -161.5109
307.000000, 77.584, -161.1151
311.000000, 77.556, -160.5815
315.000000, 77.529, -160.0500
320.000000, 77.497, -159.3510
325.000000, 77.467, -158.6474
330.000000, 77.443, -157.9665
335.000000, 77.423, -157.2789
340.000000, 77.408, -156.5835
345.000000, 77.400, -155.9347
350.000000, 77.393, -155.3599
355.000000, 77.383, -154.8090
360.000000, 77.368, -154.2880
365.000000, 77.350, -153.7726
370.000000, 77.330, -153.2318
375.000000, 77.305, -152.6868
382.000000, 77.272, -151.9264
387.000000, 77.249, -151.3764
395.000000, 77.208, -150.4685
400.000000, 77.185, -149.8999
406.000000, 77.161, -149.2140
412.000000, 77.135, -148.5157
418.000000, 77.109, -147.7954
425.000000, 77.082, -146.9382
431.000000, 77.063, -146.1908
437.000000, 77.052, -145.4439
444.000000, 77.045, -144.6072
450.000000, 77.038, -143.9077
455.000000, 77.029, -143.3659
462.000000, 77.017, -142.6363
468.000000, 77.009, -141.9893
475.000000, 76.996, -141.2252
482.000000, 76.983, -140.4770
487.000000, 76.973, -139.9400
494.000000, 76.959, -139.1700
500.000000, 76.949, -138.4944
508.000000, 76.932, -137.6105
515.000000, 76.921, -136.8444
522.000000, 76.910, -136.0820
530.000000, 76.899, -135.2199
538.000000, 76.890, -134.3240
545.000000, 76.883, -133.5434
552.000000, 76.874, -132.7871
560.000000, 76.865, -131.9193
570.000000, 76.856, -130.8322
580.000000, 76.849, -129.7300
590.000000, 76.845, -128.6360
600.000000, 76.846, -127.5702
608.000000, 76.843, -126.7089
615.000000, 76.842, -125.9536
622.000000, 76.841, -125.1945
630.000000, 76.841, -124.3246
640.000000, 76.843, -123.2304
650.000000, 76.850, -122.1500
660.000000, 76.859, -121.0688
670.000000, 76.864, -119.9960
680.000000, 76.869, -118.9214
690.000000, 76.880, -117.8288
700.000000, 76.891, -116.7427
710.000000, 76.906, -115.6845
720.000000, 76.923, -114.6252
730.000000, 76.943, -113.5516
740.000000, 76.964, -112.4821
750.000000, 76.985, -111.4102
762.000000, 77.015, -110.1148
775.000000, 77.053, -108.7171
788.000000, 77.092, -107.3304
800.000000, 77.134, -106.0701
812.000000, 77.182, -104.7905
825.000000, 77.238, -103.4221
838.000000, 77.295, -102.0652
850.000000, 77.356, -100.8545
862.000000, 77.420, -99.6516
