* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jun 1, 2025 11:50:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R6 (Stock M Shallow) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 82.268, -148.7281
20.600000, 82.285, -149.1744
20.900000, 82.301, -149.6835
21.200001, 82.317, -150.2056
21.400000, 82.329, -150.5578
21.799999, 82.358, -151.2645
22.000000, 82.375, -151.6151
22.400000, 82.411, -152.3014
22.700001, 82.438, -152.7983
23.000000, 82.463, -153.2775
23.299999, 82.484, -153.7385
23.600000, 82.500, -154.1821
24.000000, 82.516, -154.7493
24.299999, 82.526, -155.1601
24.700001, 82.538, -155.6960
25.000000, 82.547, -156.0942
25.400000, 82.561, -156.6244
25.799999, 82.573, -157.1532
26.200001, 82.584, -157.6756
26.500000, 82.591, -158.0601
26.900000, 82.598, -158.5620
27.200001, 82.604, -158.9322
27.600000, 82.614, -159.4206
28.000000, 82.625, -159.9049
28.500000, 82.639, -160.4993
29.000000, 82.650, -161.0708
29.500000, 82.657, -161.6147
30.000000, 82.659, -162.1384
30.400000, 82.658, -162.5513
30.700001, 82.657, -162.8592
31.100000, 82.655, -163.2649
31.500000, 82.654, -163.6582
32.000000, 82.654, -164.1224
32.500000, 82.654, -164.5562
33.000000, 82.653, -164.9749
33.500000, 82.650, -165.3978
34.000000, 82.645, -165.8329
34.500000, 82.638, -166.2734
35.000000, 82.633, -166.7074
35.500000, 82.631, -167.1268
36.000000, 82.630, -167.5290
36.500000, 82.626, -167.9135
37.000000, 82.619, -168.2835
37.500000, 82.609, -168.6466
38.200001, 82.593, -169.1589
38.700001, 82.583, -169.5273
39.500000, 82.567, -170.1007
40.000000, 82.558, -170.4442
40.599998, 82.545, -170.8440
41.200001, 82.531, -171.2264
41.799999, 82.514, -171.5839
42.500000, 82.496, -171.9770
43.099998, 82.481, -172.3102
43.700001, 82.465, -172.6468
44.400002, 82.444, -173.0384
45.000000, 82.425, -173.3682
45.500000, 82.409, -173.6339
46.200001, 82.388, -173.9820
46.799999, 82.370, -174.2606
47.500000, 82.350, -174.5892
48.200001, 82.330, -174.9440
48.700001, 82.313, -175.2049
49.400002, 82.290, -175.5484
50.000000, 82.272, -175.8072
50.799999, 82.250, -176.1215
51.500000, 82.227, -176.4018
52.200001, 82.200, -176.6890
53.000000, 82.170, -176.9948
53.799999, 82.144, -177.2758
54.500000, 82.117, -177.5203
55.200001, 82.084, -177.7598
56.000000, 82.049, -178.0268
57.000000, 82.020, -178.3839
58.000000, 81.995, -178.7279
59.000000, 81.962, -179.0239
60.000000, 81.922, -179.3348
60.799999, 81.890, -179.5911
61.500000, 81.864, -179.8014
62.200001, 81.842, 179.9982
63.000000, 81.820, 179.7782
64.000000, 81.785, 179.5549
65.000000, 81.740, 179.3721
66.000000, 81.693, 179.1255
67.000000, 81.650, 178.8415
68.000000, 81.616, 178.6271
69.000000, 81.582, 178.4684
70.000000, 81.542, 178.2791
71.000000, 81.500, 178.0621
72.000000, 81.462, 177.8605
73.000000, 81.428, 177.6731
74.000000, 81.395, 177.4581
75.000000, 81.352, 177.2461
76.199997, 81.290, 177.1232
77.500000, 81.233, 177.0435
78.800003, 81.189, 176.8979
80.000000, 81.147, 176.7668
81.199997, 81.102, 176.6495
82.500000, 81.054, 176.5111
83.800003, 81.004, 176.3896
85.000000, 80.954, 176.3160
86.199997, 80.913, 176.2036
87.500000, 80.860, 176.0457
88.500000, 80.815, 175.9761
90.000000, 80.762, 175.8274
91.199997, 80.716, 175.7491
92.500000, 80.658, 175.7291
93.800003, 80.610, 175.6968
95.000000, 80.575, 175.6609
96.199997, 80.535, 175.5596
97.500000, 80.488, 175.4411
98.800003, 80.440, 175.4162
100.000000, 80.395, 175.4301
101.500000, 80.342, 175.4155
103.000000, 80.289, 175.4125
104.400002, 80.237, 175.4281
106.000000, 80.179, 175.4403
107.500000, 80.127, 175.4453
109.000000, 80.074, 175.4600
110.599998, 80.014, 175.5252
112.000000, 79.957, 175.5841
113.800003, 79.896, 175.5770
115.000000, 79.861, 175.5700
117.199997, 79.791, 175.6574
118.000000, 79.766, 175.7056
120.599998, 79.683, 175.8237
122.000000, 79.636, 175.8937
124.099998, 79.566, 175.9804
125.000000, 79.537, 176.0216
126.500000, 79.490, 176.1061
128.000000, 79.442, 176.2086
131.500000, 79.324, 176.4803
132.000000, 79.307, 176.5138
134.000000, 79.241, 176.6446
136.000000, 79.174, 176.8154
138.000000, 79.108, 176.9916
140.000000, 79.046, 177.1814
143.000000, 78.948, 177.5557
145.000000, 78.876, 177.8272
147.500000, 78.780, 178.2674
150.000000, 78.697, 178.8441
152.500000, 78.646, 179.4764
155.000000, 78.610, -179.8807
157.500000, 78.601, -179.2688
160.000000, 78.620, -178.8406
162.500000, 78.638, -178.6148
165.000000, 78.638, -178.5526
167.500000, 78.615, -178.5270
170.000000, 78.581, -178.4593
172.500000, 78.541, -178.3971
175.000000, 78.494, -178.2998
177.500000, 78.443, -178.1476
180.000000, 78.391, -177.9695
182.500000, 78.337, -177.7463
185.000000, 78.285, -177.4817
187.500000, 78.235, -177.2277
190.000000, 78.187, -176.9919
192.500000, 78.138, -176.7563
195.000000, 78.089, -176.4875
197.500000, 78.045, -176.1938
200.000000, 78.002, -175.9028
203.000000, 77.949, -175.5574
206.000000, 77.897, -175.1964
209.000000, 77.844, -174.8302
212.000000, 77.792, -174.4513
214.000000, 77.759, -174.1820
218.000000, 77.702, -173.6446
220.000000, 77.675, -173.4078
224.000000, 77.617, -172.9377
227.000000, 77.572, -172.5685
230.000000, 77.531, -172.1768
233.000000, 77.491, -171.7506
236.000000, 77.447, -171.3333
240.000000, 77.392, -170.7788
243.000000, 77.354, -170.3519
247.000000, 77.305, -169.7904
250.000000, 77.268, -169.3848
254.000000, 77.218, -168.8511
258.000000, 77.171, -168.2616
262.000000, 77.130, -167.6466
265.000000, 77.100, -167.1783
269.000000, 77.064, -166.5380
272.000000, 77.042, -166.0639
276.000000, 77.018, -165.4889
280.000000, 77.000, -164.9208
285.000000, 76.979, -164.2329
290.000000, 76.955, -163.5688
295.000000, 76.929, -162.9563
300.000000, 76.903, -162.3850
304.000000, 76.880, -161.9111
307.000000, 76.862, -161.5520
311.000000, 76.837, -161.0907
315.000000, 76.811, -160.6513
320.000000, 76.778, -160.0959
325.000000, 76.746, -159.5095
330.000000, 76.711, -158.9067
335.000000, 76.677, -158.2839
340.000000, 76.646, -157.6523
345.000000, 76.618, -157.0062
350.000000, 76.585, -156.3951
355.000000, 76.555, -155.7998
360.000000, 76.530, -155.1523
365.000000, 76.505, -154.4723
370.000000, 76.487, -153.8243
375.000000, 76.470, -153.2142
382.000000, 76.443, -152.3629
387.000000, 76.423, -151.7652
395.000000, 76.392, -150.8596
400.000000, 76.374, -150.2664
406.000000, 76.353, -149.5426
412.000000, 76.334, -148.8189
418.000000, 76.311, -148.1213
425.000000, 76.286, -147.2949
431.000000, 76.266, -146.5939
437.000000, 76.248, -145.8878
444.000000, 76.228, -145.0909
450.000000, 76.215, -144.3929
455.000000, 76.206, -143.8047
462.000000, 76.193, -142.9638
468.000000, 76.179, -142.2421
475.000000, 76.160, -141.4255
482.000000, 76.144, -140.6264
487.000000, 76.135, -140.0711
494.000000, 76.122, -139.2710
500.000000, 76.111, -138.5806
508.000000, 76.098, -137.6621
515.000000, 76.085, -136.8651
522.000000, 76.075, -136.0641
530.000000, 76.066, -135.1530
538.000000, 76.060, -134.2645
545.000000, 76.055, -133.4798
552.000000, 76.046, -132.6775
560.000000, 76.040, -131.7441
570.000000, 76.035, -130.5835
580.000000, 76.031, -129.4953
590.000000, 76.030, -128.4170
600.000000, 76.031, -127.3165
608.000000, 76.032, -126.4388
615.000000, 76.034, -125.6483
622.000000, 76.035, -124.8550
630.000000, 76.039, -123.9775
640.000000, 76.046, -122.9103
650.000000, 76.053, -121.8295
660.000000, 76.059, -120.7122
670.000000, 76.070, -119.6057
680.000000, 76.082, -118.5318
690.000000, 76.094, -117.4438
700.000000, 76.111, -116.3579
710.000000, 76.129, -115.2890
720.000000, 76.146, -114.1963
730.000000, 76.167, -113.0975
740.000000, 76.191, -112.0168
750.000000, 76.219, -110.9355
762.000000, 76.253, -109.6571
775.000000, 76.292, -108.2670
788.000000, 76.337, -106.8819
800.000000, 76.379, -105.6067
812.000000, 76.427, -104.3568
825.000000, 76.485, -103.0053
838.000000, 76.545, -101.6560
850.000000, 76.607, -100.4280
862.000000, 76.674, -99.2362
875.000000, 76.751, -97.9795
885.000000, 76.816, -97.0363
900.000000, 76.918, -95.6496
912.000000, 77.005, -94.5819
925.000000, 77.103, -93.5022
938.000000, 77.206, -92.5077
950.000000, 77.301, -91.6914
962.000000, 77.388, -90.9773
975.000000, 77.467, -90.3486
988.000000, 77.522, -89.7836
1000.000000, 77.541, -89.1395
1015.000000, 77.552, -88.0019
1030.000000, 77.612, -86.6892
1044.000000, 77.702, -85.8003
1060.000000, 77.739, -85.2390
1075.000000, 77.678, -84.3665
1090.000000, 77.621, -82.6405
1106.000000, 77.663, -80.3608
1120.000000, 77.778, -78.5277
1138.000000, 77.972, -76.6273
1150.000000, 78.110, -75.6004
1172.000000, 78.353, -74.0238
1180.000000, 78.437, -73.5080
1206.000000, 78.690, -71.9928
1220.000000, 78.816, -71.2568
1241.000000, 78.997, -70.2280
1250.000000, 79.070, -69.8127
1265.000000, 79.188, -69.1412
1280.000000, 79.303, -68.4736
1315.000000, 79.553, -66.9642
1320.000000, 79.588, -66.7591
1340.000000, 79.722, -65.9726
1360.000000, 79.852, -65.1995
1380.000000, 79.977, -64.4167
1400.000000, 80.097, -63.6582
1430.000000, 80.273, -62.5762
1450.000000, 80.387, -61.8516
1475.000000, 80.524, -60.9630
1500.000000, 80.658, -60.0994
1525.000000, 80.792, -59.2418
1550.000000, 80.923, -58.3959
1575.000000, 81.053, -57.5724
1600.000000, 81.180, -56.7744
1625.000000, 81.307, -55.9990
1650.000000, 81.433, -55.2454
1675.000000, 81.559, -54.5134
1700.000000, 81.681, -53.8040
1725.000000, 81.803, -53.1153
1750.000000, 81.926, -52.4538
1775.000000, 82.047, -51.8110
1800.000000, 82.166, -51.1914
1825.000000, 82.283, -50.6126
1850.000000, 82.400, -50.0648
1875.000000, 82.515, -49.5386
1900.000000, 82.627, -49.0390
1925.000000, 82.736, -48.5636
1950.000000, 82.843, -48.1219
1975.000000, 82.948, -47.7066
