* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 29, 2024 2:49:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Random DIY IEM
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 88.685, 156.3441
20.600000, 88.640, 155.8482
20.900000, 88.584, 155.4096
21.200001, 88.529, 155.0864
21.400000, 88.498, 154.9195
21.799999, 88.453, 154.6190
22.000000, 88.437, 154.4483
22.400000, 88.412, 154.0134
22.700001, 88.391, 153.6090
23.000000, 88.363, 153.1698
23.299999, 88.328, 152.7351
23.600000, 88.287, 152.3392
24.000000, 88.227, 151.9056
24.299999, 88.182, 151.6514
24.700001, 88.132, 151.3664
25.000000, 88.106, 151.1413
25.400000, 88.086, 150.7385
25.799999, 88.074, 150.1596
26.200001, 88.052, 149.4359
26.500000, 88.021, 148.8758
26.900000, 87.957, 148.2361
27.200001, 87.900, 147.8948
27.600000, 87.829, 147.6145
28.000000, 87.775, 147.4163
28.500000, 87.727, 147.0611
29.000000, 87.675, 146.5138
29.500000, 87.607, 145.9413
30.000000, 87.539, 145.5176
30.400000, 87.497, 145.2691
30.700001, 87.471, 145.0775
31.100000, 87.433, 144.7558
31.500000, 87.379, 144.3491
32.000000, 87.285, 143.7943
32.500000, 87.183, 143.2725
33.000000, 87.100, 142.7847
33.500000, 87.042, 142.2864
34.000000, 87.000, 141.7878
34.500000, 86.967, 141.3382
35.000000, 86.946, 140.9305
35.500000, 86.932, 140.4933
36.000000, 86.902, 140.0031
36.500000, 86.835, 139.5499
37.000000, 86.738, 139.2380
37.500000, 86.637, 139.0380
38.200001, 86.527, 138.6482
38.700001, 86.470, 138.2001
39.500000, 86.399, 137.5244
40.000000, 86.372, 137.2631
40.599998, 86.341, 136.9770
41.200001, 86.269, 136.5945
41.799999, 86.154, 136.1976
42.500000, 86.036, 135.8009
43.099998, 85.985, 135.3790
43.700001, 85.947, 134.8335
44.400002, 85.867, 134.2673
45.000000, 85.780, 133.9568
45.500000, 85.716, 133.7280
46.200001, 85.648, 133.2904
46.799999, 85.601, 132.8569
47.500000, 85.547, 132.4474
48.200001, 85.484, 132.1387
48.700001, 85.426, 131.9127
49.400002, 85.333, 131.5450
50.000000, 85.257, 131.2000
50.799999, 85.176, 130.7638
51.500000, 85.114, 130.4582
52.200001, 85.042, 130.2031
53.000000, 84.952, 129.8299
53.799999, 84.873, 129.3114
54.500000, 84.823, 128.8760
55.200001, 84.778, 128.5794
56.000000, 84.700, 128.3483
57.000000, 84.554, 128.0050
58.000000, 84.429, 127.6198
59.000000, 84.349, 127.2633
60.000000, 84.226, 126.9478
60.799999, 84.116, 126.7625
61.500000, 84.063, 126.5531
