* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 2, 2024 2:33:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Reecho Spring (Stock M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 76.668, -133.7696
20.600000, 76.672, -134.3143
20.900000, 76.684, -134.9201
21.200001, 76.719, -135.5370
21.400000, 76.755, -135.9431
21.799999, 76.853, -136.7049
22.000000, 76.905, -137.0435
22.400000, 76.997, -137.6160
22.700001, 77.042, -137.9698
23.000000, 77.067, -138.3009
23.299999, 77.076, -138.6601
23.600000, 77.082, -139.0928
24.000000, 77.112, -139.8228
24.299999, 77.166, -140.4750
24.700001, 77.282, -141.4206
25.000000, 77.387, -142.1280
25.400000, 77.515, -142.9798
25.799999, 77.586, -143.6476
26.200001, 77.586, -144.0978
26.500000, 77.555, -144.3318
26.900000, 77.513, -144.6466
27.200001, 77.509, -144.9991
27.600000, 77.554, -145.6995
28.000000, 77.638, -146.5275
28.500000, 77.742, -147.2629
29.000000, 77.815, -147.3511
29.500000, 77.861, -147.3192
30.000000, 77.848, -148.2451
30.400000, 77.754, -150.0168
30.700001, 77.631, -151.7358
31.100000, 77.433, -153.9093
31.500000, 77.289, -155.1717
32.000000, 77.333, -154.9660
32.500000, 77.635, -153.6737
33.000000, 77.985, -152.7117
33.500000, 78.163, -152.5603
34.000000, 78.140, -152.9006
34.500000, 78.044, -153.3961
35.000000, 78.009, -154.0053
35.500000, 78.059, -154.7341
36.000000, 78.126, -155.4065
36.500000, 78.155, -155.8313
37.000000, 78.146, -156.0569
37.500000, 78.131, -156.3283
38.200001, 78.140, -157.0446
38.700001, 78.170, -157.6435
39.500000, 78.229, -158.3469
40.000000, 78.251, -158.6750
40.599998, 78.255, -159.1742
41.200001, 78.245, -159.8400
41.799999, 78.237, -160.4717
42.500000, 78.244, -160.8930
43.099998, 78.258, -161.0760
43.700001, 78.265, -161.3472
44.400002, 78.258, -161.8943
45.000000, 78.252, -162.4633
45.500000, 78.250, -162.9361
46.200001, 78.238, -163.5257
46.799999, 78.220, -163.9223
47.500000, 78.220, -164.2953
48.200001, 78.247, -164.6585
48.700001, 78.264, -164.9020
49.400002, 78.266, -165.1944
50.000000, 78.256, -165.4688
50.799999, 78.240, -165.9823
51.500000, 78.227, -166.4598
52.200001, 78.218, -166.8240
53.000000, 78.215, -167.1760
53.799999, 78.222, -167.6097
54.500000, 78.231, -168.0446
55.200001, 78.228, -168.4421
56.000000, 78.211, -168.8232
57.000000, 78.199, -169.4130
58.000000, 78.177, -170.2080
59.000000, 78.124, -170.7175
60.000000, 78.122, -170.9306
60.799999, 78.146, -171.1308
61.500000, 78.138, -171.2763
62.200001, 78.099, -171.3724
63.000000, 78.053, -171.5559
64.000000, 78.045, -171.9860
65.000000, 78.063, -172.4547
66.000000, 78.047, -172.9122
