* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 17, 2024 10:11:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Studio 4 (Azla Max M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 78.774, 34.3268
20.600000, 78.803, 33.6695
20.900000, 78.833, 32.9667
21.200001, 78.860, 32.2791
21.400000, 78.878, 31.8338
21.799999, 78.911, 30.9783
22.000000, 78.927, 30.5680
22.400000, 78.955, 29.7781
22.700001, 78.973, 29.2052
23.000000, 78.989, 28.6400
23.299999, 79.004, 28.0745
23.600000, 79.018, 27.5029
24.000000, 79.036, 26.7289
24.299999, 79.048, 26.1434
24.700001, 79.065, 25.3673
25.000000, 79.077, 24.7954
25.400000, 79.091, 24.0522
25.799999, 79.104, 23.3312
26.200001, 79.115, 22.6300
26.500000, 79.121, 22.1163
26.900000, 79.127, 21.4484
27.200001, 79.131, 20.9601
27.600000, 79.137, 20.3228
28.000000, 79.144, 19.6948
28.500000, 79.153, 18.9156
29.000000, 79.157, 18.1467
29.500000, 79.156, 17.4027
30.000000, 79.151, 16.6882
30.400000, 79.148, 16.1283
30.700001, 79.145, 15.7084
31.100000, 79.141, 15.1457
31.500000, 79.136, 14.5859
32.000000, 79.126, 13.9109
32.500000, 79.117, 13.2806
33.000000, 79.109, 12.6886
33.500000, 79.101, 12.1111
34.000000, 79.092, 11.5315
34.500000, 79.077, 10.9506
35.000000, 79.060, 10.3745
35.500000, 79.043, 9.8017
36.000000, 79.030, 9.2270
36.500000, 79.016, 8.6579
37.000000, 79.000, 8.1182
37.500000, 78.979, 7.6297
38.200001, 78.947, 7.0186
38.700001, 78.926, 6.5884
39.500000, 78.892, 5.8467
40.000000, 78.870, 5.3678
40.599998, 78.843, 4.8223
41.200001, 78.816, 4.3224
41.799999, 78.787, 3.8470
42.500000, 78.748, 3.2916
43.099998, 78.714, 2.8077
43.700001, 78.684, 2.3190
44.400002, 78.652, 1.7483
45.000000, 78.623, 1.2719
45.500000, 78.594, 0.8968
46.200001, 78.548, 0.4168
46.799999, 78.509, 0.0400
47.500000, 78.469, -0.3928
48.200001, 78.436, -0.8519
48.700001, 78.412, -1.1936
49.400002, 78.374, -1.6537
50.000000, 78.338, -1.9980
50.799999, 78.289, -2.3910
51.500000, 78.246, -2.7307
52.200001, 78.199, -3.1041
53.000000, 78.142, -3.5379
53.799999, 78.088, -3.9314
54.500000, 78.046, -4.2581
55.200001, 78.001, -4.5927
56.000000, 77.945, -4.9750
57.000000, 77.882, -5.4483
58.000000, 77.821, -5.8774
59.000000, 77.755, -6.1676
60.000000, 77.696, -6.4851
60.799999, 77.644, -6.8248
61.500000, 77.594, -7.0919
62.200001, 77.545, -7.3096
63.000000, 77.490, -7.5684
64.000000, 77.419, -7.9305
65.000000, 77.354, -8.2350
