* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 2, 2025 10:48:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Studio 4 (BGVP Foam M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 76.377, 36.7316
20.600000, 76.398, 36.1306
20.900000, 76.421, 35.4447
21.200001, 76.444, 34.7442
21.400000, 76.460, 34.2743
21.799999, 76.498, 33.3357
22.000000, 76.518, 32.8712
22.400000, 76.557, 31.9617
22.700001, 76.582, 31.3029
23.000000, 76.602, 30.6678
23.299999, 76.617, 30.0575
23.600000, 76.628, 29.4697
24.000000, 76.642, 28.7119
24.299999, 76.655, 28.1532
24.700001, 76.677, 27.4071
25.000000, 76.697, 26.8418
25.400000, 76.724, 26.0853
25.799999, 76.747, 25.3428
26.200001, 76.763, 24.6350
26.500000, 76.771, 24.1323
26.900000, 76.779, 23.4901
27.200001, 76.785, 23.0153
27.600000, 76.792, 22.3718
28.000000, 76.797, 21.7097
28.500000, 76.797, 20.8829
29.000000, 76.793, 20.1067
29.500000, 76.792, 19.3924
30.000000, 76.800, 18.6915
30.400000, 76.809, 18.1075
30.700001, 76.814, 17.6580
31.100000, 76.815, 17.0674
31.500000, 76.809, 16.5188
32.000000, 76.801, 15.9014
32.500000, 76.797, 15.3048
33.000000, 76.795, 14.6575
33.500000, 76.788, 13.9607
34.000000, 76.773, 13.2886
34.500000, 76.757, 12.7032
35.000000, 76.748, 12.1872
35.500000, 76.742, 11.6709
36.000000, 76.733, 11.1130
36.500000, 76.715, 10.5339
37.000000, 76.692, 9.9807
37.500000, 76.669, 9.4776
38.200001, 76.642, 8.8312
38.700001, 76.620, 8.3732
39.500000, 76.579, 7.5846
40.000000, 76.555, 7.0475
40.599998, 76.533, 6.3927
41.200001, 76.514, 5.7947
41.799999, 76.495, 5.2993
42.500000, 76.465, 4.8082
43.099998, 76.435, 4.3715
43.700001, 76.401, 3.8799
44.400002, 76.362, 3.3030
45.000000, 76.338, 2.8619
45.500000, 76.324, 2.5075
46.200001, 76.303, 1.9553
46.799999, 76.269, 1.4517
47.500000, 76.212, 0.9562
48.200001, 76.157, 0.5930
48.700001, 76.125, 0.3392
49.400002, 76.083, -0.0992
50.000000, 76.043, -0.5165
50.799999, 75.991, -0.9948
51.500000, 75.954, -1.3235
52.200001, 75.921, -1.6568
53.000000, 75.876, -2.0918
53.799999, 75.833, -2.5451
54.500000, 75.795, -2.9391
55.200001, 75.747, -3.3051
56.000000, 75.684, -3.6523
57.000000, 75.620, -4.0464
58.000000, 75.554, -4.3751
59.000000, 75.482, -4.6591
60.000000, 75.414, -5.1668
60.799999, 75.368, -5.5812
61.500000, 75.333, -5.8389
62.200001, 75.287, -6.0331
63.000000, 75.214, -6.2136
64.000000, 75.146, -6.5063
65.000000, 75.105, -6.9556
66.000000, 75.052, -7.2526
67.000000, 75.000, -7.4259
68.000000, 74.938, -7.7118
69.000000, 74.857, -8.0015
70.000000, 74.795, -8.2570
71.000000, 74.759, -8.5721
72.000000, 74.697, -8.8307
73.000000, 74.599, -8.9347
74.000000, 74.502, -9.0857
75.000000, 74.426, -9.2760
76.199997, 74.360, -9.3701
77.500000, 74.300, -9.4710
78.800003, 74.237, -9.7397
80.000000, 74.155, -9.8538
81.199997, 74.073, -9.8373
82.500000, 73.990, -9.9749
83.800003, 73.913, -10.1117
85.000000, 73.852, -10.1732
86.199997, 73.788, -10.2103
87.500000, 73.700, -10.2623
