* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2024 12:58:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Studio 4 (E)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.549, 27.6174
20.600000, 80.576, 26.9580
20.900000, 80.604, 26.2439
21.200001, 80.630, 25.5215
21.400000, 80.647, 25.0361
21.799999, 80.679, 24.0601
22.000000, 80.694, 23.5740
22.400000, 80.722, 22.6188
22.700001, 80.742, 21.9249
23.000000, 80.760, 21.2527
23.299999, 80.777, 20.5998
23.600000, 80.792, 19.9616
24.000000, 80.809, 19.1250
24.299999, 80.820, 18.5040
24.700001, 80.833, 17.6819
25.000000, 80.842, 17.0695
25.400000, 80.853, 16.2593
25.799999, 80.864, 15.4581
26.200001, 80.875, 14.6700
26.500000, 80.882, 14.0913
26.900000, 80.890, 13.3398
27.200001, 80.895, 12.7920
27.600000, 80.900, 12.0802
28.000000, 80.904, 11.3836
28.500000, 80.906, 10.5268
29.000000, 80.905, 9.6843
29.500000, 80.903, 8.8597
30.000000, 80.899, 8.0521
30.400000, 80.895, 7.4137
30.700001, 80.893, 6.9369
31.100000, 80.888, 6.3042
31.500000, 80.882, 5.6785
32.000000, 80.871, 4.9159
32.500000, 80.860, 4.1817
33.000000, 80.849, 3.4715
33.500000, 80.838, 2.7716
34.000000, 80.828, 2.0720
34.500000, 80.814, 1.3765
35.000000, 80.798, 0.7001
35.500000, 80.780, 0.0523
36.000000, 80.762, -0.5727
36.500000, 80.745, -1.1908
37.000000, 80.727, -1.8117
37.500000, 80.707, -2.4313
38.200001, 80.678, -3.2785
38.700001, 80.659, -3.8637
39.500000, 80.626, -4.7670
40.000000, 80.603, -5.3094
40.599998, 80.572, -5.9396
41.200001, 80.540, -6.5602
41.799999, 80.510, -7.1831
42.500000, 80.475, -7.9084
43.099998, 80.446, -8.5118
43.700001, 80.416, -9.0895
44.400002, 80.379, -9.7467
45.000000, 80.346, -10.3179
45.500000, 80.315, -10.7990
46.200001, 80.271, -11.4487
46.799999, 80.236, -11.9628
47.500000, 80.197, -12.5304
48.200001, 80.157, -13.0938
48.700001, 80.124, -13.4950
49.400002, 80.077, -14.0527
50.000000, 80.039, -14.5365
50.799999, 79.992, -15.1926
51.500000, 79.950, -15.7494
52.200001, 79.905, -16.2645
53.000000, 79.849, -16.7930
53.799999, 79.793, -17.2813
54.500000, 79.749, -17.7285
55.200001, 79.705, -18.2134
56.000000, 79.652, -18.7592
57.000000, 79.588, -19.3719
58.000000, 79.522, -19.9524
59.000000, 79.453, -20.5243
60.000000, 79.383, -21.1008
60.799999, 79.329, -21.5381
61.500000, 79.286, -21.8949
62.200001, 79.244, -22.2511
63.000000, 79.193, -22.6592
64.000000, 79.126, -23.1523
65.000000, 79.058, -23.6473
66.000000, 78.986, -24.1085
67.000000, 78.920, -24.5285
68.000000, 78.858, -24.9414
69.000000, 78.796, -25.3526
70.000000, 78.727, -25.7766
71.000000, 78.652, -26.1752
72.000000, 78.580, -26.5319
73.000000, 78.512, -26.8768
74.000000, 78.446, -27.2212
75.000000, 78.381, -27.5678
76.199997, 78.304, -27.9716
77.500000, 78.223, -28.3905
78.800003, 78.141, -28.7781
80.000000, 78.065, -29.0646
81.199997, 77.992, -29.3551
82.500000, 77.909, -29.7190
83.800003, 77.828, -30.0547
85.000000, 77.755, -30.3226
86.199997, 77.679, -30.5460
87.500000, 77.603, -30.8005
88.500000, 77.547, -31.0153
90.000000, 77.460, -31.3124
91.199997, 77.388, -31.5295
92.500000, 77.312, -31.7485
93.800003, 77.239, -31.9453
95.000000, 77.172, -32.1213
96.199997, 77.110, -32.2973
97.500000, 77.044, -32.4759
98.800003, 76.974, -32.6384
100.000000, 76.912, -32.8017
101.500000, 76.837, -32.9773
103.000000, 76.759, -33.1008
104.400002, 76.685, -33.2400
106.000000, 76.608, -33.3976
107.500000, 76.531, -33.4769
109.000000, 76.455, -33.5674
110.599998, 76.379, -33.6929
112.000000, 76.316, -33.7674
113.800003, 76.236, -33.8764
115.000000, 76.184, -33.9444
117.199997, 76.089, -34.0474
118.000000, 76.055, -34.0918
120.599998, 75.956, -34.1607
122.000000, 75.903, -34.1694
124.099998, 75.825, -34.1954
125.000000, 75.790, -34.1936
126.500000, 75.729, -34.1940
128.000000, 75.667, -34.2085
131.500000, 75.541, -34.2825
132.000000, 75.524, -34.2931
134.000000, 75.461, -34.2933
136.000000, 75.398, -34.2600
138.000000, 75.339, -34.2096
140.000000, 75.274, -34.1605
143.000000, 75.165, -34.1205
145.000000, 75.110, -34.0985
147.500000, 75.042, -34.0626
150.000000, 74.976, -33.9862
152.500000, 74.920, -33.9392
155.000000, 74.853, -33.8550
157.500000, 74.789, -33.7348
160.000000, 74.738, -33.6667
162.500000, 74.687, -33.5817
165.000000, 74.637, -33.4955
167.500000, 74.587, -33.4427
170.000000, 74.539, -33.3516
172.500000, 74.500, -33.2657
175.000000, 74.465, -33.1493
177.500000, 74.428, -33.0214
180.000000, 74.383, -32.9035
182.500000, 74.339, -32.7992
185.000000, 74.299, -32.7515
187.500000, 74.264, -32.6960
190.000000, 74.234, -32.5371
192.500000, 74.203, -32.3912
195.000000, 74.171, -32.3395
197.500000, 74.137, -32.3047
200.000000, 74.105, -32.2319
203.000000, 74.072, -32.1650
206.000000, 74.048, -32.0419
209.000000, 74.026, -31.8953
212.000000, 74.000, -31.7442
214.000000, 73.986, -31.6401
218.000000, 73.963, -31.4293
220.000000, 73.950, -31.3218
224.000000, 73.928, -31.0909
227.000000, 73.928, -30.9385
230.000000, 73.937, -30.8487
233.000000, 73.943, -30.8689
236.000000, 73.945, -30.9308
240.000000, 73.951, -31.0046
243.000000, 73.952, -31.0797
247.000000, 73.935, -31.2084
250.000000, 73.919, -31.2905
254.000000, 73.901, -31.3710
258.000000, 73.881, -31.4072
262.000000, 73.856, -31.4325
265.000000, 73.840, -31.4243
269.000000, 73.822, -31.4258
272.000000, 73.812, -31.4718
276.000000, 73.800, -31.5135
280.000000, 73.787, -31.5253
285.000000, 73.768, -31.5242
290.000000, 73.757, -31.5568
295.000000, 73.746, -31.5916
300.000000, 73.738, -31.6227
304.000000, 73.733, -31.6667
307.000000, 73.729, -31.6975
311.000000, 73.727, -31.7576
315.000000, 73.724, -31.8266
320.000000, 73.714, -31.9219
325.000000, 73.700, -31.9588
330.000000, 73.691, -32.0214
335.000000, 73.684, -32.1186
340.000000, 73.679, -32.2460
345.000000, 73.673, -32.3321
350.000000, 73.671, -32.4105
355.000000, 73.668, -32.4896
360.000000, 73.663, -32.5498
365.000000, 73.656, -32.6233
370.000000, 73.648, -32.7115
375.000000, 73.642, -32.8264
382.000000, 73.648, -33.0358
387.000000, 73.654, -33.1900
395.000000, 73.652, -33.4276
400.000000, 73.649, -33.5844
406.000000, 73.646, -33.7926
412.000000, 73.641, -33.9576
418.000000, 73.629, -34.1014
425.000000, 73.619, -34.2875
431.000000, 73.612, -34.4773
437.000000, 73.606, -34.6726
444.000000, 73.597, -34.8137
450.000000, 73.591, -34.9149
455.000000, 73.588, -35.0351
462.000000, 73.584, -35.2286
468.000000, 73.580, -35.3958
475.000000, 73.573, -35.6032
482.000000, 73.562, -35.7869
487.000000, 73.554, -35.8924
494.000000, 73.546, -36.0294
500.000000, 73.539, -36.1939
508.000000, 73.533, -36.4037
515.000000, 73.527, -36.5521
522.000000, 73.519, -36.6875
530.000000, 73.511, -36.8707
538.000000, 73.503, -37.0773
545.000000, 73.496, -37.2542
552.000000, 73.490, -37.4175
560.000000, 73.481, -37.5680
570.000000, 73.469, -37.7914
580.000000, 73.460, -38.0097
590.000000, 73.446, -38.1623
600.000000, 73.427, -38.3493
608.000000, 73.418, -38.4951
615.000000, 73.415, -38.6368
622.000000, 73.412, -38.7743
630.000000, 73.408, -38.8980
640.000000, 73.399, -39.0156
650.000000, 73.388, -39.1325
660.000000, 73.379, -39.2666
670.000000, 73.373, -39.3974
680.000000, 73.362, -39.4973
690.000000, 73.353, -39.5723
700.000000, 73.349, -39.6304
710.000000, 73.343, -39.6181
720.000000, 73.338, -39.6043
730.000000, 73.340, -39.5523
740.000000, 73.349, -39.4808
750.000000, 73.363, -39.4015
762.000000, 73.399, -39.3029
775.000000, 73.454, -39.2866
788.000000, 73.509, -39.3785
800.000000, 73.551, -39.5188
812.000000, 73.581, -39.6814
825.000000, 73.611, -39.8223
838.000000, 73.643, -39.9379
850.000000, 73.676, -40.0034
862.000000, 73.709, -40.0503
875.000000, 73.749, -40.1093
885.000000, 73.784, -40.1674
900.000000, 73.844, -40.2218
912.000000, 73.893, -40.2265
925.000000, 73.950, -40.2428
938.000000, 74.014, -40.2997
