* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2024 1:46:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Studio 4 (H570)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.764, 25.4584
20.600000, 80.787, 24.7075
20.900000, 80.806, 23.9148
21.200001, 80.823, 23.1502
21.400000, 80.833, 22.6620
21.799999, 80.855, 21.7390
22.000000, 80.868, 21.3017
22.400000, 80.895, 20.4630
22.700001, 80.917, 19.8548
23.000000, 80.937, 19.2583
23.299999, 80.954, 18.6723
23.600000, 80.969, 18.0959
24.000000, 80.986, 17.3330
24.299999, 81.000, 16.7506
24.700001, 81.017, 15.9353
25.000000, 81.029, 15.2865
25.400000, 81.039, 14.3849
25.799999, 81.039, 13.4850
26.200001, 81.031, 12.6406
26.500000, 81.024, 12.0629
26.900000, 81.018, 11.3622
27.200001, 81.018, 10.8698
27.600000, 81.022, 10.2230
28.000000, 81.029, 9.5598
28.500000, 81.036, 8.6978
29.000000, 81.037, 7.8193
29.500000, 81.036, 6.9523
30.000000, 81.033, 6.1146
30.400000, 81.030, 5.4713
30.700001, 81.028, 5.0052
31.100000, 81.023, 4.4020
31.500000, 81.018, 3.8098
32.000000, 81.009, 3.0645
32.500000, 80.997, 2.2992
33.000000, 80.981, 1.5252
33.500000, 80.964, 0.7756
34.000000, 80.949, 0.0782
34.500000, 80.939, -0.5654
35.000000, 80.932, -1.1758
35.500000, 80.919, -1.7726
36.000000, 80.898, -2.3621
36.500000, 80.870, -2.9459
37.000000, 80.841, -3.5355
37.500000, 80.815, -4.1489
38.200001, 80.785, -5.0497
38.700001, 80.762, -5.6860
39.500000, 80.721, -6.6109
40.000000, 80.694, -7.1375
40.599998, 80.662, -7.7706
41.200001, 80.629, -8.4376
41.799999, 80.595, -9.1234
42.500000, 80.556, -9.9013
43.099998, 80.523, -10.5266
43.700001, 80.490, -11.1030
44.400002, 80.451, -11.7092
45.000000, 80.420, -12.1934
45.500000, 80.395, -12.5969
46.200001, 80.355, -13.1846
46.799999, 80.314, -13.7053
47.500000, 80.260, -14.3172
48.200001, 80.209, -14.9331
48.700001, 80.178, -15.3790
49.400002, 80.139, -15.9973
50.000000, 80.103, -16.4921
50.799999, 80.050, -17.0826
51.500000, 80.002, -17.5831
52.200001, 79.956, -18.1132
53.000000, 79.905, -18.7184
53.799999, 79.856, -19.2577
54.500000, 79.810, -19.6783
55.200001, 79.758, -20.0959
56.000000, 79.692, -20.6145
57.000000, 79.612, -21.2963
58.000000, 79.547, -21.9224
59.000000, 79.483, -22.4901
60.000000, 79.409, -23.0355
60.799999, 79.349, -23.4800
61.500000, 79.298, -23.8674
62.200001, 79.248, -24.2283
63.000000, 79.188, -24.6171
64.000000, 79.106, -25.1092
65.000000, 79.042, -25.6274
66.000000, 78.994, -26.2043
67.000000, 78.918, -26.6133
68.000000, 78.836, -26.8422
69.000000, 78.764, -27.2589
70.000000, 78.687, -27.7586
71.000000, 78.613, -28.1736
72.000000, 78.537, -28.5533
73.000000, 78.466, -28.8985
74.000000, 78.405, -29.2270
75.000000, 78.336, -29.5414
76.199997, 78.245, -29.9317
77.500000, 78.151, -30.3443
78.800003, 78.060, -30.6844
80.000000, 77.972, -31.0012
81.199997, 77.888, -31.3718
82.500000, 77.800, -31.7277
83.800003, 77.718, -32.0047
85.000000, 77.638, -32.2792
86.199997, 77.555, -32.5458
87.500000, 77.463, -32.7952
88.500000, 77.392, -32.9495
90.000000, 77.288, -33.1669
91.199997, 77.207, -33.3523
92.500000, 77.119, -33.5545
93.800003, 77.031, -33.6266
95.000000, 76.952, -33.5827
96.199997, 76.870, -33.6783
97.500000, 76.771, -33.9388
98.800003, 76.673, -34.1236
100.000000, 76.584, -34.1720
101.500000, 76.481, -34.0892
103.000000, 76.378, -33.9249
104.400002, 76.283, -33.7709
106.000000, 76.183, -33.5497
107.500000, 76.105, -33.1934
109.000000, 76.054, -32.7855
110.599998, 76.022, -32.3904
112.000000, 76.002, -32.1542
113.800003, 75.991, -31.8866
115.000000, 75.987, -31.7035
117.199997, 75.980, -31.5380
118.000000, 75.976, -31.5592
120.599998, 76.001, -31.4297
122.000000, 76.046, -31.3451
