* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2024 1:52:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Studio 4 (S&S)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.444, 25.7307
20.600000, 80.467, 25.0764
20.900000, 80.489, 24.3769
21.200001, 80.508, 23.6808
21.400000, 80.521, 23.2194
21.799999, 80.546, 22.3017
22.000000, 80.560, 21.8455
22.400000, 80.589, 20.9398
22.700001, 80.610, 20.2677
23.000000, 80.631, 19.6035
23.299999, 80.649, 18.9502
23.600000, 80.664, 18.3112
24.000000, 80.680, 17.4845
24.299999, 80.691, 16.8809
24.700001, 80.704, 16.0865
25.000000, 80.714, 15.4885
25.400000, 80.727, 14.6792
25.799999, 80.736, 13.8610
26.200001, 80.741, 13.0536
26.500000, 80.741, 12.4684
26.900000, 80.741, 11.7230
27.200001, 80.741, 11.1860
27.600000, 80.743, 10.4840
28.000000, 80.745, 9.7826
28.500000, 80.745, 8.9035
29.000000, 80.740, 8.0436
29.500000, 80.733, 7.2222
30.000000, 80.728, 6.4285
30.400000, 80.726, 5.7959
30.700001, 80.724, 5.3184
31.100000, 80.719, 4.6824
31.500000, 80.712, 4.0591
32.000000, 80.701, 3.3127
32.500000, 80.692, 2.6018
33.000000, 80.685, 1.9132
33.500000, 80.677, 1.2388
34.000000, 80.667, 0.5795
34.500000, 80.655, -0.0645
35.000000, 80.640, -0.6970
35.500000, 80.622, -1.3193
36.000000, 80.605, -1.9299
36.500000, 80.588, -2.5339
37.000000, 80.572, -3.1433
37.500000, 80.554, -3.7649
38.200001, 80.522, -4.6347
38.700001, 80.495, -5.2345
39.500000, 80.453, -6.1575
40.000000, 80.428, -6.7253
40.599998, 80.399, -7.4003
41.200001, 80.367, -8.0615
41.799999, 80.332, -8.7004
42.500000, 80.286, -9.4037
43.099998, 80.248, -9.9739
43.700001, 80.212, -10.5333
44.400002, 80.169, -11.1679
45.000000, 80.129, -11.6689
45.500000, 80.095, -12.0614
46.200001, 80.050, -12.6165
46.799999, 80.012, -13.0971
47.500000, 79.974, -13.6190
48.200001, 79.956, -14.1280
48.700001, 79.948, -14.5214
49.400002, 79.926, -15.0894
