* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2024 1:53:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Studio 4 (Sancai)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.036, 34.2751
20.600000, 80.070, 33.5206
20.900000, 80.103, 32.7128
21.200001, 80.133, 31.9154
21.400000, 80.153, 31.3933
21.799999, 80.194, 30.3737
22.000000, 80.215, 29.8758
22.400000, 80.258, 28.9008
22.700001, 80.290, 28.1832
23.000000, 80.320, 27.4725
23.299999, 80.347, 26.7652
23.600000, 80.370, 26.0594
24.000000, 80.395, 25.1212
24.299999, 80.409, 24.4220
24.700001, 80.426, 23.5006
25.000000, 80.438, 22.8199
25.400000, 80.456, 21.9264
25.799999, 80.475, 21.0465
26.200001, 80.495, 20.1785
26.500000, 80.509, 19.5368
26.900000, 80.526, 18.6991
27.200001, 80.535, 18.0882
27.600000, 80.547, 17.2996
28.000000, 80.557, 16.5372
28.500000, 80.570, 15.6089
29.000000, 80.582, 14.6985
29.500000, 80.590, 13.8076
30.000000, 80.596, 12.9384
30.400000, 80.600, 12.2511
30.700001, 80.602, 11.7335
31.100000, 80.604, 11.0367
31.500000, 80.603, 10.3379
32.000000, 80.598, 9.4855
32.500000, 80.593, 8.6801
33.000000, 80.591, 7.9172
33.500000, 80.591, 7.1667
34.000000, 80.590, 6.4062
34.500000, 80.582, 5.6412
35.000000, 80.569, 4.8916
35.500000, 80.555, 4.1662
36.000000, 80.545, 3.4567
36.500000, 80.537, 2.7534
37.000000, 80.527, 2.0590
37.500000, 80.514, 1.3845
38.200001, 80.489, 0.4839
38.700001, 80.469, -0.1370
39.500000, 80.436, -1.1220
40.000000, 80.416, -1.7395
40.599998, 80.392, -2.4727
41.200001, 80.369, -3.1787
41.799999, 80.345, -3.8473
42.500000, 80.317, -4.5944
43.099998, 80.291, -5.2293
43.700001, 80.262, -5.8654
44.400002, 80.224, -6.5938
45.000000, 80.191, -7.1976
45.500000, 80.165, -7.6925
46.200001, 80.132, -8.3844
46.799999, 80.103, -8.9685
47.500000, 80.066, -9.6175
48.200001, 80.029, -10.2377
48.700001, 80.002, -10.6791
49.400002, 79.962, -11.3003
50.000000, 79.926, -11.8275
50.799999, 79.884, -12.5264
51.500000, 79.849, -13.1451
52.200001, 79.811, -13.7468
53.000000, 79.762, -14.3765
53.799999, 79.713, -14.9631
54.500000, 79.671, -15.4672
55.200001, 79.627, -15.9600
56.000000, 79.579, -16.5109
57.000000, 79.518, -17.2044
58.000000, 79.455, -17.8929
59.000000, 79.393, -18.5635
60.000000, 79.329, -19.1782
60.799999, 79.277, -19.6277
61.500000, 79.232, -20.0379
62.200001, 79.186, -20.4702
63.000000, 79.134, -20.9562
64.000000, 79.075, -21.5404
65.000000, 79.011, -22.0819
66.000000, 78.946, -22.5643
67.000000, 78.886, -23.0461
68.000000, 78.828, -23.5209
69.000000, 78.767, -23.9979
70.000000, 78.698, -24.4690
71.000000, 78.627, -24.9179
72.000000, 78.559, -25.3620
73.000000, 78.493, -25.7838
74.000000, 78.432, -26.1822
75.000000, 78.374, -26.5709
76.199997, 78.302, -27.0192
77.500000, 78.220, -27.4638
78.800003, 78.142, -27.9003
80.000000, 78.072, -28.3089
81.199997, 78.001, -28.6669
82.500000, 77.922, -29.0390
83.800003, 77.846, -29.4355
85.000000, 77.775, -29.7905
86.199997, 77.701, -30.1040
87.500000, 77.622, -30.4187
88.500000, 77.566, -30.6480
90.000000, 77.484, -31.0259
91.199997, 77.415, -31.3088
92.500000, 77.340, -31.5743
93.800003, 77.266, -31.8200
95.000000, 77.202, -32.0628
96.199997, 77.138, -32.3054
97.500000, 77.068, -32.5279
98.800003, 77.000, -32.7199
100.000000, 76.938, -32.8989
101.500000, 76.863, -33.1641
103.000000, 76.791, -33.4068
104.400002, 76.726, -33.5703
106.000000, 76.653, -33.7467
107.500000, 76.580, -33.9152
109.000000, 76.506, -34.0865
110.599998, 76.439, -34.2507
112.000000, 76.383, -34.3625
113.800003, 76.302, -34.5170
115.000000, 76.245, -34.6293
117.199997, 76.144, -34.7826
118.000000, 76.112, -34.8443
120.599998, 76.008, -35.0650
122.000000, 75.950, -35.1692
124.099998, 75.867, -35.2653
