* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2024 1:48:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Studio 4 (Spinfit)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.354, 25.6086
20.600000, 80.375, 24.9459
20.900000, 80.397, 24.2391
21.200001, 80.418, 23.5325
21.400000, 80.434, 23.0594
21.799999, 80.465, 22.1049
22.000000, 80.481, 21.6264
22.400000, 80.511, 20.6813
22.700001, 80.530, 19.9957
23.000000, 80.548, 19.3368
23.299999, 80.563, 18.7033
23.600000, 80.577, 18.0880
24.000000, 80.592, 17.2795
24.299999, 80.600, 16.6734
24.700001, 80.608, 15.8624
25.000000, 80.611, 15.2554
25.400000, 80.614, 14.4542
25.799999, 80.618, 13.6646
26.200001, 80.625, 12.8829
26.500000, 80.632, 12.2994
26.900000, 80.640, 11.5264
27.200001, 80.645, 10.9551
27.600000, 80.649, 10.2141
28.000000, 80.650, 9.5055
28.500000, 80.647, 8.6654
29.000000, 80.642, 7.8559
29.500000, 80.635, 7.0437
30.000000, 80.624, 6.2080
30.400000, 80.612, 5.5289
30.700001, 80.602, 5.0259
31.100000, 80.588, 4.3804
31.500000, 80.577, 3.7748
32.000000, 80.572, 3.0667
32.500000, 80.574, 2.3817
33.000000, 80.575, 1.6918
33.500000, 80.568, 0.9948
34.000000, 80.553, 0.3006
34.500000, 80.533, -0.3890
35.000000, 80.512, -1.0799
35.500000, 80.490, -1.7680
36.000000, 80.468, -2.4359
36.500000, 80.446, -3.0688
37.000000, 80.424, -3.6697
37.500000, 80.401, -4.2566
38.200001, 80.366, -5.0835
38.700001, 80.338, -5.6793
39.500000, 80.293, -6.6167
40.000000, 80.267, -7.1824
40.599998, 80.237, -7.8394
41.200001, 80.206, -8.4693
41.799999, 80.172, -9.0657
42.500000, 80.129, -9.7333
43.099998, 80.092, -10.3127
43.700001, 80.052, -10.9118
44.400002, 80.007, -11.6187
45.000000, 79.972, -12.2153
45.500000, 79.943, -12.6947
46.200001, 79.900, -13.3106
46.799999, 79.860, -13.7835
47.500000, 79.811, -14.3300
48.200001, 79.754, -14.9267
48.700001, 79.711, -15.3703
49.400002, 79.653, -15.9759
50.000000, 79.611, -16.4705
50.799999, 79.559, -17.0989
51.500000, 79.511, -17.6127
52.200001, 79.457, -18.0969
53.000000, 79.394, -18.6412
53.799999, 79.335, -19.2118
54.500000, 79.281, -19.7371
55.200001, 79.221, -20.2379
56.000000, 79.148, -20.7365
57.000000, 79.061, -21.3311
58.000000, 78.971, -21.9480
59.000000, 78.888, -22.5265
60.000000, 78.808, -23.0761
60.799999, 78.733, -23.4569
61.500000, 78.662, -23.7595
62.200001, 78.589, -24.0910
63.000000, 78.508, -24.5166
64.000000, 78.416, -25.0471
65.000000, 78.303, -25.3535
66.000000, 78.172, -25.2296
67.000000, 78.070, -25.3026
68.000000, 77.940, -25.9662
69.000000, 77.780, -26.4956
70.000000, 77.653, -26.6656
71.000000, 77.521, -26.7620
72.000000, 77.347, -26.6488
73.000000, 77.165, -26.2535
74.000000, 76.987, -25.6491
75.000000, 76.807, -24.6812
76.199997, 76.625, -22.6615
77.500000, 76.613, -19.3690
78.800003, 76.952, -16.1387
80.000000, 77.497, -14.8209
81.199997, 78.031, -15.6124
82.500000, 78.428, -18.1380
83.800003, 78.607, -21.1541
85.000000, 78.627, -23.6077
86.199997, 78.570, -25.6046
87.500000, 78.464, -27.3373
88.500000, 78.359, -28.3674
90.000000, 78.197, -29.5077
91.199997, 78.073, -30.2580
92.500000, 77.949, -31.0036
93.800003, 77.844, -31.5215
95.000000, 77.764, -31.6314
96.199997, 77.676, -31.8882
97.500000, 77.553, -32.5664
98.800003, 77.447, -33.2597
100.000000, 77.369, -33.6908
101.500000, 77.278, -34.0174
103.000000, 77.183, -34.3771
104.400002, 77.086, -34.7203
106.000000, 76.980, -35.0677
107.500000, 76.890, -35.3673
109.000000, 76.798, -35.6503
110.599998, 76.696, -35.8546
112.000000, 76.611, -36.0328
113.800003, 76.512, -36.2724
115.000000, 76.450, -36.4245
117.199997, 76.334, -36.6489
118.000000, 76.292, -36.6891
120.599998, 76.158, -36.8580
122.000000, 76.089, -36.9926
124.099998, 75.989, -37.1139
125.000000, 75.945, -37.1247
126.500000, 75.872, -37.1372
128.000000, 75.800, -37.1702
131.500000, 75.658, -37.2440
132.000000, 75.640, -37.2429
134.000000, 75.566, -37.2206
136.000000, 75.503, -37.1883
138.000000, 75.447, -37.0998
140.000000, 75.357, -37.0150
143.000000, 75.276, -36.8579
145.000000, 75.249, -36.9114
147.500000, 75.203, -37.1147
150.000000, 75.142, -37.2559
152.500000, 75.071, -37.3095
155.000000, 75.001, -37.3441
157.500000, 74.932, -37.4019
160.000000, 74.872, -37.5487
162.500000, 74.816, -37.5360
165.000000, 74.746, -37.4762
167.500000, 74.681, -37.4005
170.000000, 74.615, -37.4069
172.500000, 74.563, -37.4655
175.000000, 74.518, -37.4675
177.500000, 74.471, -37.4229
180.000000, 74.424, -37.4241
182.500000, 74.380, -37.4571
185.000000, 74.340, -37.3765
187.500000, 74.302, -37.2654
190.000000, 74.259, -37.2214
192.500000, 74.216, -37.2526
195.000000, 74.178, -37.2920
197.500000, 74.139, -37.1927
200.000000, 74.101, -37.0509
203.000000, 74.055, -36.9327
206.000000, 74.013, -36.7979
209.000000, 73.977, -36.6106
212.000000, 73.948, -36.3286
214.000000, 73.939, -36.1497
218.000000, 73.958, -35.9021
220.000000, 73.975, -35.8538
224.000000, 74.006, -35.9403
227.000000, 74.019, -36.1525
230.000000, 74.022, -36.4227
233.000000, 74.010, -36.5863
236.000000, 73.986, -36.6522
240.000000, 73.958, -36.8044
243.000000, 73.938, -36.9446
247.000000, 73.914, -37.1203
250.000000, 73.899, -37.2311
254.000000, 73.880, -37.3717
258.000000, 73.860, -37.4184
262.000000, 73.835, -37.4821
265.000000, 73.817, -37.5942
269.000000, 73.801, -37.7277
272.000000, 73.792, -37.8001
276.000000, 73.779, -37.8958
280.000000, 73.769, -38.0249
285.000000, 73.754, -38.1395
290.000000, 73.739, -38.2598
295.000000, 73.728, -38.4610
300.000000, 73.722, -38.6378
304.000000, 73.713, -38.7462
307.000000, 73.702, -38.8586
311.000000, 73.687, -38.9856
315.000000, 73.679, -39.1054
320.000000, 73.675, -39.2842
325.000000, 73.668, -39.5027
330.000000, 73.660, -39.6814
335.000000, 73.652, -39.8611
340.000000, 73.643, -40.0719
345.000000, 73.632, -40.3001
350.000000, 73.628, -40.5174
355.000000, 73.629, -40.7234
360.000000, 73.627, -40.9247
365.000000, 73.620, -41.1189
370.000000, 73.618, -41.3329
375.000000, 73.613, -41.5332
382.000000, 73.602, -41.8282
387.000000, 73.595, -42.0740
395.000000, 73.586, -42.4887
400.000000, 73.585, -42.7499
406.000000, 73.584, -43.0679
412.000000, 73.574, -43.3235
418.000000, 73.559, -43.5811
425.000000, 73.552, -43.8865
431.000000, 73.553, -44.1463
437.000000, 73.550, -44.4427
444.000000, 73.540, -44.8284
450.000000, 73.533, -45.0994
455.000000, 73.529, -45.2905
462.000000, 73.524, -45.6147
468.000000, 73.519, -45.9078
475.000000, 73.514, -46.2518
