* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 27, 2024 6:48:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Studio 4 (Spinfit MS)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.364, 33.7728
20.600000, 81.236, 32.9411
20.900000, 81.059, 31.7495
21.200001, 80.881, 30.2938
21.400000, 80.782, 29.2335
21.799999, 80.669, 27.1013
22.000000, 80.658, 26.1308
22.400000, 80.709, 24.5872
22.700001, 80.784, 23.8517
23.000000, 80.867, 23.4470
23.299999, 80.941, 23.2616
23.600000, 80.994, 23.1446
24.000000, 81.021, 22.8502
24.299999, 81.008, 22.4188
24.700001, 80.960, 21.5601
25.000000, 80.914, 20.7893
25.400000, 80.868, 19.7646
25.799999, 80.857, 18.8789
26.200001, 80.880, 18.1594
26.500000, 80.907, 17.6889
26.900000, 80.935, 17.0876
27.200001, 80.941, 16.6316
27.600000, 80.929, 16.0158
28.000000, 80.909, 15.4129
28.500000, 80.900, 14.7075
29.000000, 80.917, 14.0578
29.500000, 80.937, 13.4415
30.000000, 80.930, 12.8407
30.400000, 80.897, 12.3727
30.700001, 80.864, 12.0311
31.100000, 80.825, 11.5783
31.500000, 80.812, 11.0958
32.000000, 80.836, 10.3884
32.500000, 80.871, 9.5796
33.000000, 80.868, 8.8498
33.500000, 80.815, 8.4421
34.000000, 80.754, 8.4124
34.500000, 80.738, 8.5076
35.000000, 80.777, 8.3620
35.500000, 80.835, 7.8311
36.000000, 80.871, 7.0431
36.500000, 80.874, 6.1835
37.000000, 80.848, 5.3246
37.500000, 80.802, 4.4740
38.200001, 80.719, 3.4360
38.700001, 80.675, 2.9494
39.500000, 80.677, 2.5242
40.000000, 80.705, 2.2451
40.599998, 80.715, 1.7674
41.200001, 80.675, 1.2337
41.799999, 80.602, 0.7921
42.500000, 80.527, 0.4245
43.099998, 80.492, 0.0943
43.700001, 80.473, -0.3890
44.400002, 80.431, -1.1100
45.000000, 80.370, -1.6771
45.500000, 80.320, -2.0363
46.200001, 80.278, -2.4436
46.799999, 80.263, -2.8231
47.500000, 80.237, -3.3120
48.200001, 80.188, -3.7495
48.700001, 80.146, -4.0059
49.400002, 80.095, -4.3283
50.000000, 80.063, -4.6194
50.799999, 80.021, -5.0552
51.500000, 79.972, -5.4591
52.200001, 79.913, -5.8601
53.000000, 79.851, -6.2836
53.799999, 79.804, -6.6427
54.500000, 79.764, -6.9454
55.200001, 79.713, -7.2913
56.000000, 79.648, -7.6860
57.000000, 79.596, -8.0294
58.000000, 79.560, -8.2692
59.000000, 79.490, -8.5412
60.000000, 79.402, -8.9249
60.799999, 79.338, -9.2866
61.500000, 79.290, -9.5762
62.200001, 79.250, -9.8379
63.000000, 79.197, -10.0982
64.000000, 79.111, -10.2627
65.000000, 79.039, -10.3787
66.000000, 78.977, -10.6671
67.000000, 78.896, -10.8932
68.000000, 78.835, -11.0275
69.000000, 78.784, -11.2952
70.000000, 78.660, -11.6183
71.000000, 78.466, -11.9887
72.000000, 78.355, -12.2565
73.000000, 78.415, -12.1888
74.000000, 78.466, -12.0051
75.000000, 78.379, -11.9736
76.199997, 78.248, -12.3685
77.500000, 78.162, -12.9101
78.800003, 78.096, -13.0010
80.000000, 78.038, -12.8453
81.199997, 77.944, -12.8982
82.500000, 77.869, -13.1084
83.800003, 77.815, -12.9418
85.000000, 77.728, -12.8988
86.199997, 77.652, -13.1080
87.500000, 77.569, -13.0217
88.500000, 77.482, -12.9901
90.000000, 77.370, -13.0170
91.199997, 77.293, -12.8640
92.500000, 77.210, -12.7819
93.800003, 77.140, -12.7980
95.000000, 77.070, -12.7665
96.199997, 77.002, -12.7196
97.500000, 76.931, -12.6173
98.800003, 76.854, -12.5842
100.000000, 76.796, -12.5247
101.500000, 76.727, -12.3376
103.000000, 76.662, -12.1100
104.400002, 76.583, -11.9040
106.000000, 76.477, -11.7105
