* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2024 1:56:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Studio 4 (Spring)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.056, 25.0193
20.600000, 80.050, 24.3742
20.900000, 80.037, 23.6784
21.200001, 80.021, 22.9748
21.400000, 80.014, 22.5006
21.799999, 80.011, 21.5402
22.000000, 80.016, 21.0579
22.400000, 80.038, 20.1057
22.700001, 80.060, 19.4193
23.000000, 80.082, 18.7705
23.299999, 80.102, 18.1656
23.600000, 80.118, 17.6015
24.000000, 80.135, 16.8878
24.299999, 80.147, 16.3529
24.700001, 80.161, 15.5995
25.000000, 80.170, 14.9908
25.400000, 80.179, 14.1319
25.799999, 80.184, 13.2594
26.200001, 80.187, 12.4207
26.500000, 80.190, 11.8285
26.900000, 80.197, 11.0823
27.200001, 80.203, 10.5416
27.600000, 80.211, 9.8270
28.000000, 80.217, 9.1123
28.500000, 80.218, 8.2287
29.000000, 80.216, 7.3730
29.500000, 80.212, 6.5488
30.000000, 80.205, 5.7490
30.400000, 80.195, 5.1230
30.700001, 80.187, 4.6603
31.100000, 80.174, 4.0491
31.500000, 80.161, 3.4393
32.000000, 80.148, 2.6740
32.500000, 80.137, 1.9116
33.000000, 80.126, 1.1698
33.500000, 80.112, 0.4625
34.000000, 80.097, -0.2132
34.500000, 80.080, -0.8750
35.000000, 80.061, -1.5399
35.500000, 80.040, -2.2079
36.000000, 80.016, -2.8608
36.500000, 79.989, -3.4771
37.000000, 79.961, -4.0526
37.500000, 79.933, -4.6063
38.200001, 79.893, -5.3968
38.700001, 79.864, -5.9873
39.500000, 79.816, -6.9347
40.000000, 79.788, -7.4944
40.599998, 79.759, -8.1240
41.200001, 79.731, -8.7314
41.799999, 79.697, -9.3421
42.500000, 79.647, -10.0547
43.099998, 79.600, -10.6419
43.700001, 79.556, -11.2115
44.400002, 79.510, -11.8905
45.000000, 79.467, -12.4745
