* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 17, 2024 9:54:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Studio 4 (Spring M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 78.619, 35.2373
20.600000, 78.637, 34.6309
20.900000, 78.632, 33.8671
21.200001, 78.606, 33.0356
21.400000, 78.589, 32.4813
21.799999, 78.589, 31.4254
22.000000, 78.622, 30.9163
22.400000, 78.768, 29.8450
22.700001, 78.927, 28.9225
23.000000, 79.087, 27.8970
23.299999, 79.208, 26.8553
23.600000, 79.262, 25.9403
24.000000, 79.221, 25.1637
24.299999, 79.131, 24.9992
24.700001, 78.997, 25.2045
25.000000, 78.926, 25.4245
25.400000, 78.895, 25.3879
25.799999, 78.914, 24.7589
26.200001, 78.945, 23.6930
26.500000, 78.962, 22.8424
26.900000, 78.977, 21.9172
27.200001, 78.990, 21.4508
27.600000, 79.012, 21.0515
28.000000, 79.036, 20.7110
28.500000, 79.048, 20.1251
29.000000, 79.040, 19.3207
29.500000, 79.032, 18.4190
30.000000, 79.043, 17.5320
30.400000, 79.058, 16.8702
30.700001, 79.064, 16.4119
31.100000, 79.059, 15.8552
31.500000, 79.042, 15.3490
32.000000, 79.022, 14.7380
32.500000, 79.022, 14.0896
33.000000, 79.042, 13.3824
33.500000, 79.064, 12.6572
34.000000, 79.057, 11.9894
34.500000, 79.013, 11.4463
35.000000, 78.948, 11.0380
35.500000, 78.899, 10.6883
36.000000, 78.887, 10.2823
36.500000, 78.901, 9.7703
37.000000, 78.914, 9.2083
37.500000, 78.906, 8.6821
38.200001, 78.870, 8.0145
38.700001, 78.847, 7.4953
39.500000, 78.830, 6.5475
40.000000, 78.823, 6.0119
40.599998, 78.808, 5.5681
41.200001, 78.787, 5.2917
41.799999, 78.770, 4.9568
42.500000, 78.747, 4.2580
43.099998, 78.703, 3.5027
43.700001, 78.632, 2.8594
44.400002, 78.547, 2.3506
45.000000, 78.494, 1.9388
45.500000, 78.462, 1.5132
46.200001, 78.421, 0.8751
46.799999, 78.389, 0.4216
47.500000, 78.364, -0.0200
48.200001, 78.343, -0.5013
48.700001, 78.325, -0.8620
49.400002, 78.295, -1.2983
50.000000, 78.267, -1.6001
50.799999, 78.212, -2.0091
51.500000, 78.151, -2.3836
52.200001, 78.105, -2.7098
53.000000, 78.085, -3.0754
53.799999, 78.058, -3.5176
54.500000, 78.006, -3.9012
55.200001, 77.952, -4.2218
56.000000, 77.913, -4.5631
57.000000, 77.862, -4.9893
58.000000, 77.784, -5.3818
59.000000, 77.715, -5.8275
60.000000, 77.654, -6.2483
60.799999, 77.604, -6.5364
61.500000, 77.557, -6.8045
62.200001, 77.511, -7.0776
63.000000, 77.466, -7.3651
64.000000, 77.408, -7.7190
65.000000, 77.336, -8.0401
66.000000, 77.264, -8.2741
67.000000, 77.195, -8.5489
68.000000, 77.115, -8.8529
69.000000, 77.040, -9.0703
70.000000, 76.966, -9.2514
71.000000, 76.897, -9.3907
72.000000, 76.854, -9.5567
73.000000, 76.806, -9.8056
74.000000, 76.735, -10.0240
75.000000, 76.671, -10.1743
76.199997, 76.601, -10.2814
77.500000, 76.509, -10.4162
78.800003, 76.421, -10.6663
80.000000, 76.349, -10.8502
81.199997, 76.265, -10.9625
82.500000, 76.178, -10.9664
83.800003, 76.107, -10.9791
85.000000, 76.041, -11.0574
86.199997, 75.968, -11.1111
87.500000, 75.890, -11.1638
88.500000, 75.837, -11.2580
90.000000, 75.748, -11.3515
91.199997, 75.674, -11.3941
92.500000, 75.597, -11.4141
93.800003, 75.528, -11.3324
95.000000, 75.466, -11.2741
96.199997, 75.395, -11.2674
97.500000, 75.317, -11.2497
98.800003, 75.251, -11.1875
100.000000, 75.189, -11.0706
101.500000, 75.102, -10.8810
103.000000, 75.021, -10.7717
104.400002, 74.955, -10.6949
106.000000, 74.884, -10.5995
107.500000, 74.817, -10.5008
109.000000, 74.746, -10.3661
110.599998, 74.666, -10.2304
112.000000, 74.590, -10.1309
113.800003, 74.502, -9.9810
115.000000, 74.447, -9.7948
117.199997, 74.348, -9.4781
118.000000, 74.311, -9.3836
120.599998, 74.202, -9.0410
122.000000, 74.149, -8.8121
124.099998, 74.059, -8.4965
