* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2024 1:55:31 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Studio 4 (Stock)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.807, 26.1471
20.600000, 80.928, 25.3250
20.900000, 81.015, 24.4543
21.200001, 81.046, 23.7527
21.400000, 81.041, 23.4295
21.799999, 80.992, 23.1078
22.000000, 80.958, 23.0490
22.400000, 80.886, 22.9240
22.700001, 80.834, 22.6756
23.000000, 80.789, 22.2141
23.299999, 80.760, 21.5204
23.600000, 80.756, 20.6051
24.000000, 80.805, 19.0890
24.299999, 80.879, 17.7916
24.700001, 81.002, 15.9979
25.000000, 81.090, 14.7394
25.400000, 81.175, 13.3708
25.799999, 81.213, 12.4754
26.200001, 81.208, 12.0218
26.500000, 81.179, 11.8713
26.900000, 81.111, 11.7650
27.200001, 81.038, 11.6817
27.600000, 80.918, 11.5270
28.000000, 80.791, 11.3284
28.500000, 80.657, 11.0141
29.000000, 80.579, 10.5555
29.500000, 80.554, 9.8578
30.000000, 80.568, 8.8555
30.400000, 80.600, 7.8077
30.700001, 80.631, 6.8788
31.100000, 80.679, 5.4873
31.500000, 80.729, 4.0100
32.000000, 80.789, 2.2459
32.500000, 80.835, 0.8129
33.000000, 80.852, -0.0850
33.500000, 80.836, -0.3473
34.000000, 80.807, -0.0788
34.500000, 80.795, 0.3394
35.000000, 80.802, 0.4156
35.500000, 80.800, -0.0881
36.000000, 80.769, -1.0074
36.500000, 80.727, -1.9842
37.000000, 80.714, -2.8002
37.500000, 80.746, -3.4968
38.200001, 80.809, -4.5364
38.700001, 80.806, -5.3561
39.500000, 80.679, -6.5088
40.000000, 80.561, -6.9836
40.599998, 80.451, -7.3495
41.200001, 80.412, -7.7231
41.799999, 80.427, -8.2899
42.500000, 80.448, -9.1353
43.099998, 80.435, -9.8185
43.700001, 80.393, -10.3257
44.400002, 80.336, -10.6854
45.000000, 80.311, -11.0049
45.500000, 80.301, -11.4850
46.200001, 80.252, -12.4975
46.799999, 80.156, -13.2896
47.500000, 80.058, -13.7131
48.200001, 80.056, -13.9825
48.700001, 80.083, -14.4317
49.400002, 80.074, -15.3364
50.000000, 80.012, -15.9569
50.799999, 79.950, -16.3096
51.500000, 79.965, -16.5895
52.200001, 79.988, -17.1738
53.000000, 79.944, -17.9833
53.799999, 79.839, -18.5780
54.500000, 79.764, -19.0082
55.200001, 79.720, -19.5638
56.000000, 79.673, -20.1681
57.000000, 79.627, -20.4885
58.000000, 79.597, -20.9759
59.000000, 79.511, -21.9017
60.000000, 79.424, -22.6307
60.799999, 79.381, -23.0103
61.500000, 79.338, -23.2251
62.200001, 79.289, -23.3614
63.000000, 79.240, -23.6089
64.000000, 79.178, -24.3396
65.000000, 79.087, -25.2482
66.000000, 79.001, -25.8395
67.000000, 78.940, -26.1551
68.000000, 78.865, -26.3785
69.000000, 78.775, -26.5565
70.000000, 78.713, -26.8478
71.000000, 78.658, -27.3262
72.000000, 78.581, -27.7027
73.000000, 78.517, -28.0770
74.000000, 78.469, -28.7237
75.000000, 78.422, -29.3609
76.199997, 78.367, -29.7408
77.500000, 78.294, -29.9057
78.800003, 78.206, -30.1298
80.000000, 78.120, -30.3224
81.199997, 78.036, -30.5148
82.500000, 77.972, -31.0563
83.800003, 77.903, -31.7122
85.000000, 77.810, -32.0865
86.199997, 77.709, -32.1952
87.500000, 77.651, -32.4141
88.500000, 77.605, -32.7533
90.000000, 77.508, -33.1292
91.199997, 77.441, -33.2974
92.500000, 77.373, -33.5710
93.800003, 77.286, -33.8627
95.000000, 77.225, -34.1005
96.199997, 77.169, -34.3119
97.500000, 77.090, -34.5090
98.800003, 76.999, -34.7585
100.000000, 76.932, -34.9270
101.500000, 76.878, -34.9219
103.000000, 76.817, -35.0333
104.400002, 76.743, -35.2448
106.000000, 76.660, -35.3806
107.500000, 76.566, -35.6188
109.000000, 76.484, -35.9160
110.599998, 76.422, -36.0920
112.000000, 76.361, -36.1657
113.800003, 76.274, -36.2570
115.000000, 76.216, -36.4051
117.199997, 76.127, -36.5478
118.000000, 76.105, -36.5376
120.599998, 76.007, -36.6742
122.000000, 75.952, -36.7730
124.099998, 75.899, -36.8521
125.000000, 75.865, -36.9217
126.500000, 75.796, -37.0568
128.000000, 75.737, -37.1310
131.500000, 75.622, -37.2324
132.000000, 75.607, -37.2182
134.000000, 75.543, -37.1612
136.000000, 75.471, -37.1773
138.000000, 75.400, -37.2792
140.000000, 75.337, -37.3238
143.000000, 75.245, -37.2333
145.000000, 75.194, -37.2299
147.500000, 75.121, -37.3248
150.000000, 75.050, -37.3139
152.500000, 74.987, -37.3517
155.000000, 74.933, -37.3326
157.500000, 74.892, -37.3149
160.000000, 74.844, -37.2863
162.500000, 74.786, -37.2841
165.000000, 74.735, -37.2578
167.500000, 74.694, -37.1464
170.000000, 74.646, -37.1041
172.500000, 74.595, -37.1203
175.000000, 74.556, -37.1066
177.500000, 74.518, -37.1083
180.000000, 74.480, -37.1240
182.500000, 74.446, -37.1024
185.000000, 74.413, -37.0318
187.500000, 74.380, -36.9861
190.000000, 74.346, -36.9985
192.500000, 74.310, -36.9965
195.000000, 74.280, -36.9864
197.500000, 74.251, -36.9946
200.000000, 74.220, -37.0046
203.000000, 74.183, -37.0184
206.000000, 74.150, -37.0055
209.000000, 74.119, -36.9552
212.000000, 74.092, -36.9071
214.000000, 74.076, -36.8935
218.000000, 74.042, -36.9548
220.000000, 74.029, -37.0114
224.000000, 74.013, -37.0957
227.000000, 73.992, -37.1227
230.000000, 73.967, -37.1373
233.000000, 73.946, -37.1223
236.000000, 73.930, -37.0784
240.000000, 73.914, -37.0742
243.000000, 73.908, -37.1163
247.000000, 73.902, -37.1917
250.000000, 73.892, -37.2754
254.000000, 73.885, -37.4069
258.000000, 73.881, -37.5288
262.000000, 73.881, -37.6095
265.000000, 73.880, -37.6577
269.000000, 73.871, -37.7505
272.000000, 73.864, -37.8247
276.000000, 73.854, -37.9227
280.000000, 73.841, -38.0478
285.000000, 73.829, -38.1920
290.000000, 73.822, -38.3498
295.000000, 73.805, -38.5320
300.000000, 73.792, -38.6343
304.000000, 73.788, -38.7480
307.000000, 73.782, -38.8712
311.000000, 73.768, -39.0452
315.000000, 73.754, -39.2434
320.000000, 73.737, -39.4695
325.000000, 73.729, -39.6438
330.000000, 73.723, -39.8014
335.000000, 73.715, -39.9728
340.000000, 73.709, -40.2177
345.000000, 73.709, -40.4787
350.000000, 73.708, -40.7545
355.000000, 73.704, -41.0067
360.000000, 73.708, -41.2367
365.000000, 73.716, -41.4442
370.000000, 73.713, -41.6520
375.000000, 73.704, -41.8587
382.000000, 73.701, -42.1750
387.000000, 73.700, -42.4029
395.000000, 73.693, -42.8165
400.000000, 73.687, -43.0612
406.000000, 73.678, -43.3597
412.000000, 73.666, -43.6496
418.000000, 73.662, -43.9585
425.000000, 73.651, -44.3091
431.000000, 73.637, -44.6018
437.000000, 73.625, -44.8865
444.000000, 73.609, -45.2222
450.000000, 73.592, -45.5187
455.000000, 73.579, -45.7562
462.000000, 73.567, -46.0941
