* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2024 1:51:10 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Studio 4 (Velvet)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.462, 26.5388
20.600000, 80.490, 25.9079
20.900000, 80.517, 25.2400
21.200001, 80.541, 24.5777
21.400000, 80.556, 24.1355
21.799999, 80.585, 23.2382
22.000000, 80.600, 22.7810
22.400000, 80.626, 21.8542
22.700001, 80.643, 21.1584
23.000000, 80.658, 20.4732
23.299999, 80.671, 19.8067
23.600000, 80.684, 19.1624
24.000000, 80.702, 18.3346
24.299999, 80.716, 17.7298
24.700001, 80.735, 16.9319
25.000000, 80.747, 16.3346
25.400000, 80.760, 15.5408
25.799999, 80.765, 14.7599
26.200001, 80.765, 14.0046
26.500000, 80.764, 13.4586
26.900000, 80.763, 12.7537
27.200001, 80.766, 12.2351
27.600000, 80.772, 11.5465
28.000000, 80.782, 10.8567
28.500000, 80.794, 10.0010
29.000000, 80.801, 9.1674
29.500000, 80.802, 8.3547
30.000000, 80.795, 7.5433
30.400000, 80.785, 6.8852
30.700001, 80.775, 6.3878
31.100000, 80.762, 5.7274
31.500000, 80.751, 5.0779
32.000000, 80.744, 4.2829
32.500000, 80.741, 3.4976
33.000000, 80.735, 2.7223
33.500000, 80.721, 1.9788
34.000000, 80.704, 1.2935
34.500000, 80.693, 0.6705
35.000000, 80.693, 0.0907
35.500000, 80.699, -0.4589
36.000000, 80.692, -0.9652
36.500000, 80.662, -1.4117
37.000000, 80.606, -1.8252
37.500000, 80.538, -2.2927
38.200001, 80.454, -3.2094
38.700001, 80.420, -4.0485
39.500000, 80.423, -5.3736
40.000000, 80.447, -5.9880
40.599998, 80.462, -6.4665
41.200001, 80.436, -6.8061
41.799999, 80.368, -7.2160
42.500000, 80.278, -7.9708
43.099998, 80.230, -8.7998
43.700001, 80.221, -9.5639
44.400002, 80.235, -10.1348
45.000000, 80.236, -10.4243
45.500000, 80.212, -10.6898
46.200001, 80.137, -11.2577
46.799999, 80.068, -11.8827
47.500000, 80.030, -12.6210
48.200001, 80.033, -13.2806
48.700001, 80.032, -13.6888
49.400002, 79.999, -14.1890
50.000000, 79.948, -14.6172
50.799999, 79.883, -15.3016
51.500000, 79.840, -15.9607
52.200001, 79.803, -16.5369
53.000000, 79.756, -17.0672
53.799999, 79.701, -17.5955
54.500000, 79.649, -18.1092
55.200001, 79.599, -18.6166
56.000000, 79.547, -19.1294
57.000000, 79.478, -19.7090
58.000000, 79.406, -20.3181
59.000000, 79.337, -20.9500
60.000000, 79.269, -21.5020
60.799999, 79.215, -21.8792
61.500000, 79.169, -22.2055
62.200001, 79.122, -22.5422
63.000000, 79.066, -22.9299
64.000000, 78.995, -23.4132
65.000000, 78.927, -23.8907
66.000000, 78.862, -24.3620
67.000000, 78.791, -24.8247
68.000000, 78.714, -25.2634
69.000000, 78.642, -25.6752
70.000000, 78.580, -26.0388
71.000000, 78.518, -26.3988
72.000000, 78.443, -26.7705
