* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 24, 2024 10:22:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Studio 4 (Velvet Wide)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.832, 26.5815
20.600000, 80.801, 26.0329
20.900000, 80.805, 25.4580
21.200001, 80.859, 24.7987
21.400000, 80.916, 24.2817
21.799999, 81.041, 23.1077
22.000000, 81.091, 22.5143
22.400000, 81.139, 21.5036
22.700001, 81.129, 20.9965
23.000000, 81.094, 20.6963
23.299999, 81.053, 20.4957
23.600000, 81.024, 20.2356
24.000000, 81.017, 19.5550
24.299999, 81.035, 18.7363
24.700001, 81.076, 17.3765
25.000000, 81.112, 16.3502
25.400000, 81.161, 15.2416
25.799999, 81.208, 14.5283
26.200001, 81.247, 14.0487
26.500000, 81.257, 13.6551
26.900000, 81.225, 12.8968
27.200001, 81.157, 12.1448
27.600000, 81.021, 11.0697
28.000000, 80.887, 10.1849
28.500000, 80.829, 9.5320
29.000000, 80.944, 8.9926
29.500000, 81.123, 7.9812
30.000000, 81.199, 6.5437
30.400000, 81.149, 5.5255
30.700001, 81.076, 5.0668
31.100000, 81.005, 4.9076
31.500000, 81.020, 5.0090
32.000000, 81.142, 4.8710
32.500000, 81.243, 4.1473
33.000000, 81.212, 3.1818
33.500000, 81.069, 2.4332
34.000000, 80.927, 1.9070
34.500000, 80.872, 1.2253
35.000000, 80.894, 0.1836
35.500000, 80.931, -0.9632
36.000000, 80.942, -1.8171
36.500000, 80.922, -2.2380
37.000000, 80.879, -2.3917
37.500000, 80.824, -2.5294
38.200001, 80.761, -2.9540
38.700001, 80.752, -3.4601
39.500000, 80.794, -4.4948
40.000000, 80.827, -5.0931
40.599998, 80.857, -5.5616
41.200001, 80.876, -5.7892
41.799999, 80.871, -6.0449
42.500000, 80.796, -6.7307
43.099998, 80.664, -7.6516
43.700001, 80.512, -8.6040
44.400002, 80.398, -9.3835
45.000000, 80.385, -9.7555
45.500000, 80.402, -10.0239
46.200001, 80.400, -10.5548
46.799999, 80.356, -11.1600
47.500000, 80.303, -11.8995
48.200001, 80.287, -12.5357
48.700001, 80.288, -12.8944
49.400002, 80.272, -13.2988
50.000000, 80.231, -13.6172
50.799999, 80.173, -14.0617
51.500000, 80.164, -14.5103
52.200001, 80.181, -15.0761
53.000000, 80.148, -15.7703
53.799999, 80.040, -16.2726
54.500000, 79.940, -16.5989
55.200001, 79.871, -17.0382
56.000000, 79.820, -17.6524
57.000000, 79.780, -18.2086
58.000000, 79.747, -18.6166
59.000000, 79.678, -19.1568
60.000000, 79.607, -19.7517
60.799999, 79.559, -20.2270
61.500000, 79.507, -20.5884
62.200001, 79.448, -20.8887
63.000000, 79.390, -21.2509
64.000000, 79.321, -21.7362
65.000000, 79.243, -22.0709
66.000000, 79.174, -22.4324
67.000000, 79.111, -22.9260
68.000000, 79.047, -23.3788
69.000000, 78.979, -23.7670
70.000000, 78.924, -24.0567
71.000000, 78.882, -24.3374
72.000000, 78.812, -24.7179
73.000000, 78.720, -25.0677
74.000000, 78.640, -25.2783
75.000000, 78.579, -25.4219
76.199997, 78.518, -25.7443
77.500000, 78.430, -26.1012
78.800003, 78.337, -26.3522
80.000000, 78.265, -26.6871
81.199997, 78.187, -26.9869
82.500000, 78.093, -27.2790
83.800003, 78.003, -27.5482
85.000000, 77.922, -27.7688
86.199997, 77.846, -27.9560
87.500000, 77.771, -28.1231
88.500000, 77.710, -28.2575
90.000000, 77.620, -28.4755
91.199997, 77.558, -28.6630
92.500000, 77.493, -28.8583
93.800003, 77.418, -29.0172
95.000000, 77.337, -29.1459
96.199997, 77.257, -29.2622
97.500000, 77.174, -29.3767
98.800003, 77.103, -29.4759
100.000000, 77.044, -29.5565
101.500000, 76.972, -29.6607
103.000000, 76.900, -29.7669
104.400002, 76.828, -29.8626
106.000000, 76.753, -29.9296
107.500000, 76.686, -29.9430
109.000000, 76.616, -29.9853
110.599998, 76.539, -30.0403
112.000000, 76.472, -30.0800
113.800003, 76.390, -30.0767
115.000000, 76.339, -30.0926
117.199997, 76.248, -30.1072
118.000000, 76.216, -30.1064
120.599998, 76.114, -30.1012
122.000000, 76.057, -30.0574
124.099998, 75.973, -30.0340
125.000000, 75.940, -30.0261
126.500000, 75.883, -30.0000
128.000000, 75.822, -29.9702
131.500000, 75.695, -29.8185
132.000000, 75.680, -29.7877
134.000000, 75.620, -29.6815
136.000000, 75.562, -29.6103
138.000000, 75.498, -29.5182
140.000000, 75.433, -29.4086
143.000000, 75.335, -29.2428
145.000000, 75.267, -29.1486
147.500000, 75.194, -29.0388
150.000000, 75.133, -28.8854
152.500000, 75.069, -28.6854
155.000000, 75.008, -28.4725
157.500000, 74.951, -28.2740
160.000000, 74.896, -28.1204
162.500000, 74.841, -27.9515
165.000000, 74.791, -27.8308
167.500000, 74.744, -27.6857
170.000000, 74.698, -27.5094
172.500000, 74.657, -27.3470
175.000000, 74.622, -27.1134
177.500000, 74.587, -26.8904
180.000000, 74.546, -26.7805
182.500000, 74.505, -26.6303
185.000000, 74.468, -26.4497
187.500000, 74.431, -26.2722
190.000000, 74.395, -26.0997
192.500000, 74.365, -25.9229
195.000000, 74.338, -25.7355
197.500000, 74.311, -25.5629
200.000000, 74.284, -25.3886
203.000000, 74.254, -25.1384
206.000000, 74.223, -24.9179
209.000000, 74.190, -24.7661
212.000000, 74.163, -24.6066
214.000000, 74.146, -24.5043
218.000000, 74.112, -24.3007
220.000000, 74.099, -24.1874
224.000000, 74.075, -23.9707
227.000000, 74.059, -23.8250
230.000000, 74.044, -23.6704
233.000000, 74.027, -23.5212
236.000000, 74.008, -23.3618
240.000000, 73.985, -23.1435
243.000000, 73.970, -22.9934
247.000000, 73.953, -22.7949
250.000000, 73.943, -22.6618
254.000000, 73.930, -22.4857
258.000000, 73.917, -22.3230
262.000000, 73.907, -22.1539
265.000000, 73.905, -22.0497
269.000000, 73.898, -21.9141
272.000000, 73.890, -21.8040
276.000000, 73.877, -21.6689
280.000000, 73.865, -21.5512
285.000000, 73.851, -21.4226
290.000000, 73.840, -21.2497
295.000000, 73.829, -21.0971
300.000000, 73.812, -20.9560
304.000000, 73.799, -20.8349
307.000000, 73.788, -20.7213
311.000000, 73.773, -20.5810
315.000000, 73.759, -20.4525
320.000000, 73.743, -20.3398
325.000000, 73.731, -20.2569
330.000000, 73.721, -20.1804
335.000000, 73.715, -20.1043
340.000000, 73.713, -19.9920
345.000000, 73.707, -19.8967
350.000000, 73.700, -19.8124
355.000000, 73.691, -19.7366
