* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 2, 2024 1:38:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Artti T10 (Stock M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 84.215, 176.5631
20.600000, 84.146, 176.2605
20.900000, 84.068, 175.9862
21.200001, 84.006, 175.7144
21.400000, 83.983, 175.5021
21.799999, 83.982, 174.9483
22.000000, 84.000, 174.6078
22.400000, 84.048, 173.8728
22.700001, 84.075, 173.3704
23.000000, 84.082, 172.9907
23.299999, 84.068, 172.7651
23.600000, 84.039, 172.6678
24.000000, 83.991, 172.5892
24.299999, 83.960, 172.4571
24.700001, 83.928, 172.0415
25.000000, 83.911, 171.5449
25.400000, 83.891, 170.7522
25.799999, 83.873, 169.9954
26.200001, 83.858, 169.4182
26.500000, 83.846, 169.1144
26.900000, 83.825, 168.8141
27.200001, 83.798, 168.6102
27.600000, 83.739, 168.3254
28.000000, 83.656, 168.0543
28.500000, 83.548, 167.8405
29.000000, 83.479, 167.7898
29.500000, 83.470, 167.7128
30.000000, 83.487, 167.3694
30.400000, 83.480, 166.8808
30.700001, 83.452, 166.4576
31.100000, 83.390, 165.9321
31.500000, 83.323, 165.5303
32.000000, 83.266, 165.1660
32.500000, 83.237, 164.8033
33.000000, 83.199, 164.4144
33.500000, 83.125, 164.1835
34.000000, 83.043, 164.2409
34.500000, 82.999, 164.4027
35.000000, 82.997, 164.2940
35.500000, 82.992, 163.7599
36.000000, 82.948, 163.0176
36.500000, 82.881, 162.4094
37.000000, 82.836, 162.0786
37.500000, 82.834, 161.9180
38.200001, 82.853, 161.7276
38.700001, 82.827, 161.6097
39.500000, 82.710, 161.4468
40.000000, 82.629, 161.2063
40.599998, 82.567, 160.6633
41.200001, 82.551, 159.9909
41.799999, 82.553, 159.4577
42.500000, 82.512, 159.1892
43.099998, 82.422, 159.1488
43.700001, 82.316, 159.0461
44.400002, 82.233, 158.6694
45.000000, 82.204, 158.2524
45.500000, 82.187, 158.0059
46.200001, 82.135, 157.9145
46.799999, 82.059, 157.9364
47.500000, 81.967, 157.8076
48.200001, 81.899, 157.4650
48.700001, 81.859, 157.2388
49.400002, 81.800, 157.1296
50.000000, 81.745, 157.1256
50.799999, 81.669, 156.8224
51.500000, 81.592, 156.2556
52.200001, 81.517, 155.7451
53.000000, 81.442, 155.4285
53.799999, 81.367, 155.3316
54.500000, 81.319, 155.3687
55.200001, 81.304, 155.3593
56.000000, 81.281, 155.1668
57.000000, 81.198, 154.8974
58.000000, 81.112, 154.6113
59.000000, 81.014, 154.1930
60.000000, 80.894, 154.0595
60.799999, 80.831, 154.1855
61.500000, 80.800, 154.2309
62.200001, 80.758, 154.1092
63.000000, 80.682, 153.8345
64.000000, 80.594, 153.4196
65.000000, 80.522, 153.1727
66.000000, 80.439, 153.3671
67.000000, 80.363, 153.5082
68.000000, 80.287, 153.2239
69.000000, 80.200, 152.8918
70.000000, 80.119, 152.7557
71.000000, 80.058, 152.7030
72.000000, 80.002, 152.6606
73.000000, 79.925, 152.6102
74.000000, 79.846, 152.5774
75.000000, 79.796, 152.5708
76.199997, 79.726, 152.5959
77.500000, 79.595, 152.5004
78.800003, 79.458, 152.2136
80.000000, 79.377, 152.2065
81.199997, 79.318, 152.3646
82.500000, 79.232, 152.3982
83.800003, 79.133, 152.3900
85.000000, 79.053, 152.4032
86.199997, 78.974, 152.3620
87.500000, 78.901, 152.3169
88.500000, 78.856, 152.3397
90.000000, 78.769, 152.4067
91.199997, 78.675, 152.5270
92.500000, 78.583, 152.5542
