* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 30, 2024 6:39:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Wyvern Qing (Final E M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.026, -163.7323
20.600000, 80.020, -164.1585
20.900000, 80.015, -164.6067
21.200001, 80.012, -165.0601
21.400000, 80.013, -165.3727
21.799999, 80.021, -166.0298
22.000000, 80.025, -166.3701
22.400000, 80.031, -167.0487
22.700001, 80.032, -167.5327
23.000000, 80.031, -167.9810
23.299999, 80.029, -168.3927
23.600000, 80.027, -168.7766
24.000000, 80.024, -169.2694
24.299999, 80.021, -169.6400
24.700001, 80.015, -170.1470
25.000000, 80.010, -170.5377
25.400000, 80.002, -171.0697
25.799999, 79.993, -171.6086
26.200001, 79.982, -172.1419
26.500000, 79.973, -172.5257
26.900000, 79.959, -172.9969
27.200001, 79.949, -173.3126
27.600000, 79.937, -173.6896
28.000000, 79.929, -174.0435
28.500000, 79.917, -174.5034
29.000000, 79.895, -175.0028
29.500000, 79.856, -175.5074
30.000000, 79.811, -175.9771
30.400000, 79.777, -176.3332
30.700001, 79.757, -176.6062
31.100000, 79.735, -176.9992
31.500000, 79.713, -177.4292
32.000000, 79.681, -177.9825
32.500000, 79.645, -178.4909
33.000000, 79.620, -178.9316
33.500000, 79.617, -179.3516
34.000000, 79.632, -179.8037
34.500000, 79.650, 179.7329
35.000000, 79.658, 179.3479
35.500000, 79.656, 179.0966
36.000000, 79.647, 178.9202
36.500000, 79.628, 178.6871
37.000000, 79.590, 178.3181
37.500000, 79.535, 177.8456
38.200001, 79.463, 177.1479
38.700001, 79.439, 176.6395
39.500000, 79.425, 175.7902
40.000000, 79.399, 175.3577
40.599998, 79.352, 175.0855
41.200001, 79.315, 174.9812
41.799999, 79.291, 174.7864
42.500000, 79.233, 174.4018
43.099998, 79.149, 174.2128
43.700001, 79.075, 174.2533
44.400002, 79.046, 174.2545
45.000000, 79.050, 173.9818
45.500000, 79.052, 173.6556
46.200001, 79.053, 173.2932
46.799999, 79.056, 173.0418
47.500000, 79.035, 172.6115
48.200001, 78.964, 172.0622
48.700001, 78.896, 171.7120
49.400002, 78.814, 171.3486
50.000000, 78.764, 171.1279
50.799999, 78.710, 170.8971
51.500000, 78.664, 170.6897
52.200001, 78.617, 170.4518
53.000000, 78.565, 170.2030
53.799999, 78.517, 169.9915
54.500000, 78.471, 169.8051
55.200001, 78.425, 169.6177
56.000000, 78.380, 169.3894
57.000000, 78.314, 169.1021
58.000000, 78.237, 168.8298
59.000000, 78.175, 168.4393
60.000000, 78.121, 168.1715
60.799999, 78.083, 168.1364
61.500000, 78.045, 168.0825
62.200001, 78.001, 167.9468
63.000000, 77.950, 167.7434
64.000000, 77.890, 167.5143
65.000000, 77.825, 167.3527
66.000000, 77.763, 167.1885
67.000000, 77.703, 167.0377
68.000000, 77.647, 166.9347
69.000000, 77.589, 166.7696
70.000000, 77.522, 166.5802
71.000000, 77.451, 166.4409
72.000000, 77.379, 166.3633
73.000000, 77.318, 166.3141
74.000000, 77.262, 166.2468
75.000000, 77.212, 166.1543
76.199997, 77.155, 165.9600
77.500000, 77.075, 165.8354
78.800003, 76.996, 165.8022
80.000000, 76.928, 165.7858
81.199997, 76.861, 165.7725
82.500000, 76.792, 165.7698
83.800003, 76.716, 165.7287
85.000000, 76.644, 165.7052
86.199997, 76.584, 165.5942
87.500000, 76.508, 165.5421
88.500000, 76.453, 165.5812
90.000000, 76.374, 165.6433
91.199997, 76.315, 165.6531
92.500000, 76.247, 165.6781
93.800003, 76.178, 165.7615
95.000000, 76.117, 165.7643
96.199997, 76.056, 165.7523
97.500000, 75.985, 165.7868
98.800003, 75.917, 165.8600
100.000000, 75.863, 165.9504
101.500000, 75.794, 166.0358
103.000000, 75.726, 166.1378
104.400002, 75.662, 166.2621
106.000000, 75.580, 166.3710
107.500000, 75.509, 166.4459
109.000000, 75.441, 166.5334
110.599998, 75.366, 166.7205
112.000000, 75.303, 166.8655
113.800003, 75.229, 167.0115
115.000000, 75.173, 167.0926
117.199997, 75.068, 167.3831
118.000000, 75.035, 167.5188
120.599998, 74.944, 167.7420
122.000000, 74.886, 167.8512
124.099998, 74.789, 168.1537
125.000000, 74.755, 168.2993
126.500000, 74.710, 168.5137
128.000000, 74.658, 168.6355
131.500000, 74.506, 169.0502
132.000000, 74.487, 169.1331
134.000000, 74.424, 169.4330
136.000000, 74.358, 169.6886
138.000000, 74.285, 169.9667
140.000000, 74.212, 170.2991
143.000000, 74.111, 170.6900
145.000000, 74.043, 170.9930
147.500000, 73.959, 171.3904
150.000000, 73.870, 171.7597
152.500000, 73.787, 172.1776
155.000000, 73.708, 172.6218
157.500000, 73.628, 173.0084
160.000000, 73.555, 173.3989
162.500000, 73.489, 173.8332
165.000000, 73.418, 174.2565
167.500000, 73.347, 174.6017
170.000000, 73.275, 175.0155
172.500000, 73.207, 175.4697
175.000000, 73.134, 175.9474
177.500000, 73.059, 176.3950
180.000000, 72.991, 176.7895
182.500000, 72.936, 177.1996
185.000000, 72.877, 177.6652
187.500000, 72.814, 178.1146
190.000000, 72.752, 178.5525
192.500000, 72.696, 179.0363
195.000000, 72.642, 179.5615
197.500000, 72.586, -179.9370
200.000000, 72.536, -179.4884
203.000000, 72.474, -178.9617
206.000000, 72.407, -178.3991
209.000000, 72.346, -177.7445
212.000000, 72.285, -177.1018
214.000000, 72.245, -176.7380
218.000000, 72.171, -176.0444
220.000000, 72.133, -175.6610
224.000000, 72.064, -174.8141
227.000000, 72.020, -174.1339
230.000000, 71.977, -173.5010
233.000000, 71.939, -172.8932
236.000000, 71.909, -172.2721
240.000000, 71.860, -171.5479
243.000000, 71.817, -170.9825
247.000000, 71.764, -170.2492
250.000000, 71.722, -169.7438
254.000000, 71.682, -169.0761
258.000000, 71.654, -168.4249
262.000000, 71.617, -167.7790
265.000000, 71.580, -167.2631
269.000000, 71.531, -166.5763
272.000000, 71.497, -166.1111
276.000000, 71.448, -165.4776
280.000000, 71.402, -164.8143
285.000000, 71.345, -163.9634
290.000000, 71.288, -163.0970
295.000000, 71.243, -162.2047
300.000000, 71.192, -161.3621
304.000000, 71.145, -160.6808
307.000000, 71.112, -160.1247
311.000000, 71.070, -159.4015
315.000000, 71.027, -158.7260
320.000000, 70.974, -157.8986
325.000000, 70.932, -157.0392
330.000000, 70.888, -156.1784
335.000000, 70.848, -155.2879
340.000000, 70.818, -154.3790
345.000000, 70.781, -153.4473
350.000000, 70.741, -152.5659
355.000000, 70.707, -151.7793
360.000000, 70.672, -150.9491
365.000000, 70.637, -150.1566
370.000000, 70.607, -149.3092
375.000000, 70.584, -148.4320
382.000000, 70.544, -147.2279
387.000000, 70.513, -146.3955
395.000000, 70.467, -145.1162
400.000000, 70.439, -144.2403
406.000000, 70.407, -143.2040
412.000000, 70.377, -142.1678
418.000000, 70.353, -141.1842
425.000000, 70.326, -140.0574
431.000000, 70.294, -139.0720
437.000000, 70.262, -138.0955
444.000000, 70.230, -137.0238
450.000000, 70.214, -136.0546
455.000000, 70.194, -135.2493
462.000000, 70.164, -134.1344
468.000000, 70.145, -133.1194
475.000000, 70.121, -131.9611
482.000000, 70.105, -130.8389
487.000000, 70.094, -130.0682
494.000000, 70.081, -128.9599
500.000000, 70.070, -128.0021
508.000000, 70.051, -126.7571
515.000000, 70.038, -125.6915
522.000000, 70.028, -124.5997
530.000000, 70.017, -123.2994
538.000000, 70.009, -121.9734
545.000000, 70.011, -120.9075
552.000000, 70.010, -119.8919
560.000000, 70.002, -118.7025
570.000000, 69.991, -117.2280
580.000000, 69.987, -115.6915
590.000000, 69.985, -114.1529
600.000000, 69.978, -112.6208
608.000000, 69.975, -111.4526
615.000000, 69.972, -110.4420
622.000000, 69.972, -109.3588
630.000000, 69.976, -108.1196
640.000000, 69.983, -106.6241
650.000000, 69.989, -105.1704
660.000000, 69.991, -103.7234
670.000000, 69.997, -102.2019
680.000000, 69.999, -100.7179
690.000000, 70.006, -99.2467
700.000000, 70.018, -97.7539
710.000000, 70.032, -96.2538
720.000000, 70.053, -94.7710
730.000000, 70.078, -93.2788
740.000000, 70.099, -91.7633
750.000000, 70.121, -90.2626
762.000000, 70.147, -88.4843
775.000000, 70.182, -86.5588
788.000000, 70.222, -84.5990
800.000000, 70.258, -82.8037
812.000000, 70.300, -81.0187
825.000000, 70.357, -79.0946
838.000000, 70.416, -77.1601
850.000000, 70.470, -75.4140
862.000000, 70.529, -73.6922
875.000000, 70.600, -71.7725
885.000000, 70.658, -70.2904
900.000000, 70.750, -68.1173
912.000000, 70.827, -66.3705
925.000000, 70.918, -64.4577
938.000000, 71.016, -62.6070
950.000000, 71.115, -60.9271
962.000000, 71.218, -59.1812
975.000000, 71.332, -57.3357
988.000000, 71.451, -55.6182
1000.000000, 71.566, -54.0329
1015.000000, 71.733, -51.9739
1030.000000, 71.914, -50.0221
1044.000000, 72.094, -48.3338
1060.000000, 72.312, -46.4946
1075.000000, 72.519, -44.8984
1090.000000, 72.725, -43.4381
1106.000000, 72.943, -42.0298
1120.000000, 73.126, -40.9329
1138.000000, 73.343, -39.6702
1150.000000, 73.479, -38.8982
1172.000000, 73.706, -37.5268
1180.000000, 73.783, -37.0332
1206.000000, 73.999, -35.4624
1220.000000, 74.093, -34.6182
1241.000000, 74.214, -33.1976
1250.000000, 74.265, -32.4795
1265.000000, 74.362, -31.1744
1280.000000, 74.481, -29.8616
