* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 30, 2024 6:37:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Wyvern Qing (Stock M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.509, -165.1690
20.600000, 80.509, -165.6282
20.900000, 80.509, -166.1469
21.200001, 80.507, -166.6903
21.400000, 80.505, -167.0571
21.799999, 80.497, -167.7688
22.000000, 80.493, -168.0993
22.400000, 80.484, -168.6940
22.700001, 80.479, -169.0932
23.000000, 80.476, -169.4783
23.299999, 80.473, -169.8754
23.600000, 80.469, -170.3017
24.000000, 80.459, -170.9176
24.299999, 80.449, -171.3992
24.700001, 80.438, -172.0356
25.000000, 80.433, -172.4927
25.400000, 80.434, -173.0655
25.799999, 80.438, -173.5943
26.200001, 80.440, -174.0767
26.500000, 80.435, -174.4080
26.900000, 80.423, -174.8203
27.200001, 80.410, -175.1246
27.600000, 80.391, -175.5547
28.000000, 80.369, -176.0312
28.500000, 80.339, -176.6670
29.000000, 80.309, -177.2725
29.500000, 80.287, -177.8046
30.000000, 80.275, -178.3024
30.400000, 80.266, -178.7138
30.700001, 80.256, -179.0297
31.100000, 80.235, -179.4359
31.500000, 80.211, -179.7960
32.000000, 80.187, 179.8169
32.500000, 80.173, 179.4325
33.000000, 80.156, 178.9901
33.500000, 80.122, 178.5206
34.000000, 80.072, 178.1082
34.500000, 80.027, 177.7771
35.000000, 80.004, 177.4415
35.500000, 79.997, 176.9961
36.000000, 79.985, 176.4436
36.500000, 79.950, 175.9162
37.000000, 79.900, 175.5512
37.500000, 79.860, 175.3459
38.200001, 79.839, 175.0156
38.700001, 79.828, 174.5680
39.500000, 79.752, 173.7169
40.000000, 79.683, 173.3708
40.599998, 79.625, 173.1752
41.200001, 79.610, 172.9709
41.799999, 79.609, 172.5970
42.500000, 79.582, 172.0784
43.099998, 79.539, 171.7068
43.700001, 79.491, 171.3853
44.400002, 79.429, 171.0355
45.000000, 79.378, 170.8446
45.500000, 79.352, 170.7882
46.200001, 79.351, 170.6593
46.799999, 79.354, 170.2516
47.500000, 79.298, 169.4620
48.200001, 79.169, 168.7991
48.700001, 79.072, 168.6198
49.400002, 78.985, 168.7220
50.000000, 78.968, 168.9035
50.799999, 78.997, 168.9452
51.500000, 79.033, 168.6327
52.200001, 79.041, 168.0027
53.000000, 78.989, 167.1517
53.799999, 78.887, 166.4646
54.500000, 78.779, 166.1179
55.200001, 78.674, 166.0105
56.000000, 78.577, 166.0554
57.000000, 78.497, 166.1224
58.000000, 78.453, 166.1108
59.000000, 78.418, 166.0123
60.000000, 78.378, 165.8485
60.799999, 78.350, 165.6145
61.500000, 78.320, 165.3600
62.200001, 78.282, 165.1655
63.000000, 78.237, 165.0320
64.000000, 78.183, 164.8215
65.000000, 78.118, 164.5702
66.000000, 78.048, 164.4317
67.000000, 77.980, 164.3694
68.000000, 77.916, 164.2958
69.000000, 77.856, 164.1564
70.000000, 77.786, 163.9478
71.000000, 77.707, 163.7578
72.000000, 77.624, 163.5720
73.000000, 77.530, 163.3515
74.000000, 77.440, 163.1324
75.000000, 77.376, 162.8830
76.199997, 77.322, 162.4949
77.500000, 77.263, 162.1103
78.800003, 77.206, 162.0325
80.000000, 77.147, 162.1384
81.199997, 77.072, 162.2804
82.500000, 76.988, 162.3813
83.800003, 76.901, 162.2758
85.000000, 76.828, 162.0496
86.199997, 76.775, 161.8876
87.500000, 76.724, 161.9221
88.500000, 76.672, 162.0096
90.000000, 76.575, 161.9582
91.199997, 76.509, 161.8565
92.500000, 76.448, 161.8326
93.800003, 76.365, 161.8674
95.000000, 76.290, 161.8387
96.199997, 76.232, 161.8203
97.500000, 76.168, 161.8915
98.800003, 76.097, 161.9726
100.000000, 76.041, 162.0157
101.500000, 75.972, 162.0705
103.000000, 75.895, 162.0924
104.400002, 75.823, 162.1295
106.000000, 75.742, 162.2016
107.500000, 75.672, 162.3032
109.000000, 75.607, 162.3896
110.599998, 75.546, 162.4189
112.000000, 75.483, 162.4825
113.800003, 75.397, 162.6543
115.000000, 75.338, 162.7537
117.199997, 75.235, 162.9313
118.000000, 75.205, 163.0212
120.599998, 75.092, 163.2487
122.000000, 75.029, 163.3773
124.099998, 74.950, 163.5604
125.000000, 74.918, 163.6341
126.500000, 74.865, 163.7856
128.000000, 74.812, 163.9336
131.500000, 74.668, 164.2947
132.000000, 74.646, 164.3542
134.000000, 74.562, 164.5569
136.000000, 74.488, 164.7845
138.000000, 74.420, 165.0686
140.000000, 74.350, 165.3140
143.000000, 74.238, 165.6738
145.000000, 74.162, 165.8699
147.500000, 74.083, 166.0891
150.000000, 74.000, 166.3934
152.500000, 73.922, 166.8056
155.000000, 73.848, 167.1930
157.500000, 73.769, 167.5298
160.000000, 73.684, 167.7972
162.500000, 73.600, 168.1323
165.000000, 73.524, 168.4845
167.500000, 73.456, 168.7957
170.000000, 73.387, 169.1700
172.500000, 73.313, 169.5944
175.000000, 73.247, 169.9834
177.500000, 73.188, 170.3395
180.000000, 73.129, 170.6856
182.500000, 73.069, 171.0405
185.000000, 73.006, 171.3723
187.500000, 72.935, 171.7202
190.000000, 72.871, 172.1031
192.500000, 72.815, 172.4899
195.000000, 72.763, 172.8846
197.500000, 72.707, 173.2751
200.000000, 72.647, 173.6346
203.000000, 72.582, 174.0482
206.000000, 72.520, 174.5270
209.000000, 72.459, 174.9937
212.000000, 72.395, 175.4803
214.000000, 72.355, 175.8038
218.000000, 72.276, 176.4156
220.000000, 72.240, 176.7191
224.000000, 72.170, 177.3681
227.000000, 72.111, 177.8272
230.000000, 72.052, 178.2975
233.000000, 71.993, 178.8173
236.000000, 71.938, 179.2775
240.000000, 71.866, 179.8420
243.000000, 71.816, -179.6645
247.000000, 71.751, -178.9944
250.000000, 71.703, -178.4974
254.000000, 71.652, -177.8356
258.000000, 71.595, -177.2501
262.000000, 71.526, -176.5781
265.000000, 71.476, -176.0662
269.000000, 71.422, -175.3904
272.000000, 71.382, -174.8525
276.000000, 71.325, -174.0997
280.000000, 71.280, -173.3886
285.000000, 71.229, -172.5239
290.000000, 71.174, -171.6335
295.000000, 71.124, -170.7049
300.000000, 71.078, -169.6685
304.000000, 71.063, -168.7275
307.000000, 71.052, -168.0295
311.000000, 71.037, -167.2312
315.000000, 71.032, -166.6542
320.000000, 71.038, -166.0839
325.000000, 71.034, -165.5998
330.000000, 71.014, -165.2460
335.000000, 70.992, -164.7619
340.000000, 70.950, -164.2107
345.000000, 70.895, -163.6279
350.000000, 70.853, -162.9885
355.000000, 70.819, -162.3603
360.000000, 70.780, -161.7375
365.000000, 70.741, -161.1247
370.000000, 70.704, -160.4799
375.000000, 70.659, -159.7680
382.000000, 70.603, -158.8182
387.000000, 70.574, -158.1461
395.000000, 70.532, -157.1240
400.000000, 70.510, -156.4637
406.000000, 70.481, -155.6089
412.000000, 70.440, -154.7669
418.000000, 70.393, -153.9158
425.000000, 70.352, -152.9612
431.000000, 70.328, -152.1990
437.000000, 70.307, -151.4144
444.000000, 70.285, -150.5569
450.000000, 70.260, -149.7889
455.000000, 70.238, -149.1288
462.000000, 70.206, -148.2095
468.000000, 70.182, -147.4271
475.000000, 70.161, -146.5565
482.000000, 70.135, -145.6442
487.000000, 70.116, -144.9741
494.000000, 70.088, -144.0385
500.000000, 70.069, -143.2280
508.000000, 70.053, -142.2182
515.000000, 70.036, -141.3612
522.000000, 70.005, -140.4908
530.000000, 69.980, -139.4478
538.000000, 69.960, -138.3886
545.000000, 69.939, -137.4951
552.000000, 69.920, -136.5574
560.000000, 69.904, -135.4018
