* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 30, 2024 6:40:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Wyvern Qing (Velvet M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.201, -165.3264
20.600000, 80.208, -165.7458
20.900000, 80.212, -166.2057
21.200001, 80.214, -166.6827
21.400000, 80.215, -167.0115
21.799999, 80.217, -167.6920
22.000000, 80.218, -168.0389
22.400000, 80.216, -168.7290
22.700001, 80.213, -169.2303
23.000000, 80.208, -169.7095
23.299999, 80.202, -170.1642
23.600000, 80.195, -170.5966
24.000000, 80.188, -171.1475
24.299999, 80.184, -171.5486
24.700001, 80.182, -172.0753
25.000000, 80.180, -172.4664
25.400000, 80.177, -172.9821
25.799999, 80.171, -173.4890
26.200001, 80.160, -173.9847
26.500000, 80.150, -174.3489
26.900000, 80.135, -174.8260
27.200001, 80.124, -175.1792
27.600000, 80.111, -175.6468
28.000000, 80.100, -176.1112
28.500000, 80.087, -176.6795
29.000000, 80.072, -177.2182
29.500000, 80.054, -177.7186
30.000000, 80.036, -178.1954
30.400000, 80.022, -178.5789
30.700001, 80.012, -178.8742
31.100000, 79.998, -179.2755
31.500000, 79.983, -179.6734
32.000000, 79.961, 179.8552
32.500000, 79.935, 179.4179
33.000000, 79.908, 178.9958
33.500000, 79.878, 178.5646
34.000000, 79.849, 178.1186
34.500000, 79.822, 177.6732
35.000000, 79.796, 177.2529
35.500000, 79.771, 176.8739
36.000000, 79.746, 176.5303
36.500000, 79.723, 176.1913
37.000000, 79.699, 175.8219
37.500000, 79.672, 175.4154
38.200001, 79.625, 174.8556
38.700001, 79.588, 174.5191
39.500000, 79.540, 174.0554
40.000000, 79.514, 173.7380
40.599998, 79.480, 173.3142
41.200001, 79.440, 172.9182
41.799999, 79.400, 172.6032
42.500000, 79.358, 172.2771
43.099998, 79.319, 171.9552
43.700001, 79.273, 171.6024
44.400002, 79.222, 171.2205
45.000000, 79.190, 170.9233
45.500000, 79.166, 170.6719
46.200001, 79.122, 170.3190
46.799999, 79.074, 170.0553
47.500000, 79.027, 169.7789
48.200001, 78.996, 169.4464
48.700001, 78.973, 169.1681
49.400002, 78.926, 168.8044
50.000000, 78.875, 168.5711
50.799999, 78.813, 168.3166
51.500000, 78.771, 168.0599
52.200001, 78.734, 167.7690
53.000000, 78.689, 167.4510
53.799999, 78.639, 167.1642
54.500000, 78.592, 166.9229
55.200001, 78.541, 166.6899
56.000000, 78.482, 166.4466
57.000000, 78.413, 166.1532
58.000000, 78.347, 165.8279
59.000000, 78.278, 165.5278
60.000000, 78.216, 165.2897
60.799999, 78.172, 165.0914
61.500000, 78.129, 164.9239
62.200001, 78.083, 164.8036
63.000000, 78.035, 164.7080
64.000000, 77.977, 164.5639
65.000000, 77.909, 164.3988
66.000000, 77.840, 164.2043
67.000000, 77.779, 163.9567
68.000000, 77.719, 163.7344
69.000000, 77.654, 163.5692
70.000000, 77.588, 163.4177
71.000000, 77.531, 163.2733
72.000000, 77.479, 163.1287
73.000000, 77.413, 163.0088
74.000000, 77.343, 162.9310
75.000000, 77.281, 162.8482
76.199997, 77.217, 162.7224
77.500000, 77.148, 162.5720
78.800003, 77.071, 162.4453
80.000000, 76.983, 162.3184
81.199997, 76.901, 162.2231
82.500000, 76.842, 162.1524
83.800003, 76.776, 162.1110
85.000000, 76.702, 162.0540
86.199997, 76.636, 161.9917
87.500000, 76.571, 161.9463
88.500000, 76.514, 161.9110
90.000000, 76.428, 161.8850
91.199997, 76.365, 161.9370
92.500000, 76.299, 161.9599
93.800003, 76.228, 161.9612
95.000000, 76.161, 161.9777
96.199997, 76.099, 161.9926
97.500000, 76.040, 162.0217
98.800003, 75.981, 162.0717
100.000000, 75.923, 162.1350
101.500000, 75.850, 162.1702
103.000000, 75.773, 162.1722
104.400002, 75.703, 162.2303
106.000000, 75.630, 162.3036
107.500000, 75.555, 162.3654
109.000000, 75.481, 162.4362
110.599998, 75.409, 162.5262
112.000000, 75.348, 162.6364
113.800003, 75.270, 162.8407
115.000000, 75.218, 162.9327
117.199997, 75.130, 163.0187
118.000000, 75.097, 163.0610
120.599998, 74.983, 163.3321
122.000000, 74.921, 163.5221
124.099998, 74.838, 163.6761
125.000000, 74.804, 163.7352
126.500000, 74.748, 163.8878
128.000000, 74.693, 164.0508
131.500000, 74.557, 164.3965
132.000000, 74.537, 164.4601
134.000000, 74.457, 164.7065
136.000000, 74.377, 164.9178
138.000000, 74.302, 165.1459
140.000000, 74.233, 165.4168
143.000000, 74.137, 165.7568
145.000000, 74.076, 165.9662
147.500000, 74.001, 166.2247
150.000000, 73.923, 166.5516
152.500000, 73.847, 166.9543
155.000000, 73.775, 167.2503
157.500000, 73.691, 167.5648
160.000000, 73.605, 167.9012
162.500000, 73.519, 168.2432
165.000000, 73.444, 168.5975
167.500000, 73.378, 168.9347
170.000000, 73.314, 169.2589
172.500000, 73.254, 169.5841
175.000000, 73.187, 169.9550
177.500000, 73.125, 170.3478
180.000000, 73.065, 170.7057
182.500000, 73.001, 171.0636
185.000000, 72.941, 171.4197
187.500000, 72.882, 171.8139
190.000000, 72.818, 172.2382
192.500000, 72.753, 172.5975
195.000000, 72.695, 172.9286
197.500000, 72.642, 173.2938
200.000000, 72.594, 173.6814
203.000000, 72.528, 174.1660
206.000000, 72.456, 174.6251
209.000000, 72.391, 175.0726
212.000000, 72.326, 175.5606
214.000000, 72.286, 175.8902
218.000000, 72.219, 176.4727
220.000000, 72.187, 176.7289
224.000000, 72.118, 177.3672
227.000000, 72.062, 177.9013
230.000000, 72.008, 178.3884
233.000000, 71.956, 178.8494
236.000000, 71.898, 179.3244
240.000000, 71.833, 179.9426
243.000000, 71.796, -179.5822
247.000000, 71.737, -178.9866
250.000000, 71.687, -178.5371
254.000000, 71.619, -177.9062
258.000000, 71.552, -177.2790
262.000000, 71.499, -176.6824
265.000000, 71.461, -176.2318
269.000000, 71.408, -175.6096
272.000000, 71.367, -175.0794
276.000000, 71.314, -174.4630
280.000000, 71.267, -173.9242
285.000000, 71.207, -173.1289
290.000000, 71.135, -172.2245
295.000000, 71.070, -171.3488
300.000000, 71.010, -170.5087
304.000000, 70.965, -169.7953
307.000000, 70.939, -169.2261
311.000000, 70.914, -168.4668
315.000000, 70.900, -167.7370
320.000000, 70.885, -166.9193
325.000000, 70.862, -166.2295
330.000000, 70.842, -165.5597
335.000000, 70.834, -164.8963
340.000000, 70.807, -164.2835
345.000000, 70.763, -163.6797
350.000000, 70.727, -163.0329
355.000000, 70.698, -162.3673
360.000000, 70.663, -161.7193
365.000000, 70.629, -161.0827
370.000000, 70.601, -160.3629
375.000000, 70.575, -159.6130
382.000000, 70.544, -158.6714
387.000000, 70.518, -158.0273
395.000000, 70.470, -157.0011
400.000000, 70.441, -156.3235
406.000000, 70.412, -155.5455
412.000000, 70.387, -154.7244
418.000000, 70.359, -153.9152
425.000000, 70.311, -152.9736
431.000000, 70.270, -152.2095
437.000000, 70.242, -151.4712
444.000000, 70.217, -150.5446
450.000000, 70.198, -149.7762
455.000000, 70.180, -149.1410
462.000000, 70.154, -148.2295
468.000000, 70.134, -147.4071
475.000000, 70.109, -146.4346
482.000000, 70.079, -145.5577
487.000000, 70.060, -144.8888
494.000000, 70.049, -144.0004
500.000000, 70.045, -143.2656
508.000000, 70.027, -142.2433
515.000000, 70.003, -141.3525
522.000000, 69.977, -140.4596
530.000000, 69.968, -139.4428
538.000000, 69.960, -138.4155
545.000000, 69.948, -137.5466
552.000000, 69.933, -136.6599
560.000000, 69.917, -135.6484
570.000000, 69.906, -134.4183
580.000000, 69.885, -133.1499
590.000000, 69.878, -131.8923
600.000000, 69.873, -130.6944
608.000000, 69.862, -129.6965
615.000000, 69.854, -128.8094
622.000000, 69.848, -127.9276
630.000000, 69.846, -126.9481
640.000000, 69.842, -125.6672
650.000000, 69.841, -124.3213
660.000000, 69.847, -123.0002
670.000000, 69.865, -121.6921
680.000000, 69.896, -120.4358
690.000000, 69.927, -119.2720
700.000000, 69.950, -118.2098
710.000000, 69.969, -117.0788
720.000000, 69.984, -115.8967
730.000000, 69.996, -114.7322
740.000000, 70.013, -113.5402
750.000000, 70.040, -112.3609
762.000000, 70.063, -110.9834
775.000000, 70.092, -109.4425
788.000000, 70.125, -107.9213
800.000000, 70.157, -106.5299
812.000000, 70.200, -105.1087
825.000000, 70.246, -103.6031
838.000000, 70.294, -102.0627
850.000000, 70.344, -100.6217
862.000000, 70.399, -99.1912
875.000000, 70.465, -97.6948
885.000000, 70.520, -96.5627
900.000000, 70.601, -94.8166
912.000000, 70.671, -93.3973
925.000000, 70.757, -91.8803
938.000000, 70.845, -90.4013
950.000000, 70.930, -89.0671
962.000000, 71.025, -87.7277
975.000000, 71.138, -86.2755
988.000000, 71.264, -84.8243
1000.000000, 71.383, -83.5020
1015.000000, 71.525, -81.9245
1030.000000, 71.688, -80.4095
1044.000000, 71.849, -79.0726
1060.000000, 72.046, -77.6822
1075.000000, 72.245, -76.4900
1090.000000, 72.448, -75.4426
1106.000000, 72.657, -74.5045
1120.000000, 72.828, -73.7780
1138.000000, 73.028, -72.9733
1150.000000, 73.153, -72.5001
1172.000000, 73.366, -71.6791
1180.000000, 73.438, -71.4038
1206.000000, 73.640, -70.5429
1220.000000, 73.729, -70.0464
1241.000000, 73.833, -69.1634
1250.000000, 73.875, -68.6771
1265.000000, 73.962, -67.7649
1280.000000, 74.076, -66.8514
1315.000000, 74.386, -65.0873
1320.000000, 74.430, -64.8840
1340.000000, 74.597, -64.1295
1360.000000, 74.757, -63.4335
1380.000000, 74.901, -62.7661
1400.000000, 75.036, -62.0785
1430.000000, 75.238, -60.9913
1450.000000, 75.368, -60.2652
1475.000000, 75.528, -59.3979
1500.000000, 75.690, -58.5594
1525.000000, 75.850, -57.7135
1550.000000, 76.008, -56.8799
1575.000000, 76.171, -56.0663
1600.000000, 76.337, -55.2789
1625.000000, 76.501, -54.4841
1650.000000, 76.666, -53.7462
1675.000000, 76.829, -53.0493
1700.000000, 76.993, -52.3652
1725.000000, 77.159, -51.7186
1750.000000, 77.327, -51.1107
1775.000000, 77.498, -50.5568
1800.000000, 77.668, -50.0535
1825.000000, 77.839, -49.5790
1850.000000, 78.006, -49.1426
1875.000000, 78.174, -48.7729
1900.000000, 78.342, -48.4394
1925.000000, 78.509, -48.1359
1950.000000, 78.675, -47.9067
1975.000000, 78.841, -47.7265
2000.000000, 79.005, -47.5941
2030.000000, 79.191, -47.4941
2060.000000, 79.370, -47.4601
2090.000000, 79.546, -47.4950
2120.000000, 79.718, -47.6047
2140.000000, 79.829, -47.7109
2180.000000, 80.039, -48.0003
2200.000000, 80.138, -48.1998
2240.000000, 80.321, -48.6702
2270.000000, 80.444, -49.0703
2300.000000, 80.557, -49.4889
2330.000000, 80.656, -49.9664
2360.000000, 80.745, -50.4868
2400.000000, 80.849, -51.2030
2430.000000, 80.912, -51.7435
