* Measurement data measured by REW V5.40 beta 102
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Feb 1, 2026 9:00:25 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: YU9 Que (Azla Foamax) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 84.350, -162.6878
20.600000, 84.364, -163.2311
20.900000, 84.381, -163.8280
21.200001, 84.401, -164.4313
21.400000, 84.417, -164.8427
21.799999, 84.451, -165.6948
22.000000, 84.468, -166.1309
22.400000, 84.500, -166.9999
22.700001, 84.520, -167.6324
23.000000, 84.537, -168.2426
23.299999, 84.553, -168.8358
23.600000, 84.569, -169.4228
24.000000, 84.587, -170.2112
24.299999, 84.598, -170.8086
24.700001, 84.610, -171.6017
25.000000, 84.618, -172.1828
25.400000, 84.629, -172.9300
25.799999, 84.643, -173.6493
26.200001, 84.658, -174.3536
26.500000, 84.670, -174.8784
26.900000, 84.683, -175.5747
27.200001, 84.691, -176.0909
27.600000, 84.700, -176.7656
28.000000, 84.708, -177.4228
28.500000, 84.718, -178.2269
29.000000, 84.729, -179.0289
29.500000, 84.738, -179.8416
30.000000, 84.742, 179.3391
30.400000, 84.743, 178.6939
30.700001, 84.742, 178.2253
31.100000, 84.742, 177.6269
31.500000, 84.743, 177.0548
32.000000, 84.748, 176.3528
32.500000, 84.752, 175.6354
33.000000, 84.750, 174.8961
33.500000, 84.742, 174.1565
34.000000, 84.732, 173.4371
34.500000, 84.727, 172.7334
35.000000, 84.728, 172.0276
35.500000, 84.728, 171.3191
36.000000, 84.724, 170.6332
36.500000, 84.715, 169.9948
37.000000, 84.706, 169.3987
37.500000, 84.701, 168.8090
38.200001, 84.697, 167.9307
38.700001, 84.690, 167.2633
39.500000, 84.667, 166.2037
40.000000, 84.649, 165.5868
40.599998, 84.631, 164.8906
41.200001, 84.620, 164.2026
41.799999, 84.611, 163.4933
42.500000, 84.595, 162.6608
43.099998, 84.578, 161.9784
43.700001, 84.561, 161.3224
44.400002, 84.543, 160.5534
45.000000, 84.526, 159.8861
45.500000, 84.509, 159.3402
46.200001, 84.486, 158.6037
46.799999, 84.469, 157.9881
47.500000, 84.448, 157.2780
48.200001, 84.425, 156.5769
48.700001, 84.407, 156.0743
49.400002, 84.383, 155.3510
50.000000, 84.363, 154.7170
50.799999, 84.335, 153.8906
51.500000, 84.309, 153.2088
52.200001, 84.283, 152.5555
53.000000, 84.254, 151.8140
53.799999, 84.226, 151.0547
54.500000, 84.200, 150.3888
55.200001, 84.171, 149.7498
56.000000, 84.139, 149.0466
57.000000, 84.099, 148.1605
58.000000, 84.057, 147.3188
59.000000, 84.021, 146.5215
60.000000, 83.985, 145.6610
60.799999, 83.951, 144.9484
61.500000, 83.921, 144.3465
62.200001, 83.894, 143.7755
63.000000, 83.862, 143.1602
64.000000, 83.819, 142.4240
65.000000, 83.770, 141.6642
66.000000, 83.718, 140.8688
67.000000, 83.672, 140.0844
68.000000, 83.634, 139.3178
69.000000, 83.595, 138.5637
70.000000, 83.553, 137.8209
71.000000, 83.509, 137.0844
72.000000, 83.467, 136.3586
73.000000, 83.425, 135.6580
74.000000, 83.381, 134.9821
75.000000, 83.336, 134.3164
76.199997, 83.285, 133.5144
77.500000, 83.230, 132.6617
78.800003, 83.172, 131.8718
80.000000, 83.118, 131.1243
