* Measurement data measured by REW V5.40 beta 102
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Feb 1, 2026 8:58:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: YU9 Que (BGVP Foam) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 84.745, -163.4278
20.600000, 84.761, -163.9926
20.900000, 84.780, -164.6375
21.200001, 84.800, -165.2959
21.400000, 84.814, -165.7369
21.799999, 84.843, -166.6132
22.000000, 84.858, -167.0436
22.400000, 84.885, -167.8806
22.700001, 84.903, -168.4868
23.000000, 84.919, -169.0788
23.299999, 84.933, -169.6633
23.600000, 84.945, -170.2457
24.000000, 84.960, -171.0224
24.299999, 84.971, -171.6024
24.700001, 84.987, -172.3654
25.000000, 84.999, -172.9267
25.400000, 85.015, -173.6600
25.799999, 85.028, -174.3787
26.200001, 85.036, -175.0847
26.500000, 85.040, -175.6059
26.900000, 85.045, -176.2908
27.200001, 85.051, -176.8002
27.600000, 85.063, -177.4794
28.000000, 85.077, -178.1595
28.500000, 85.090, -178.9931
29.000000, 85.092, -179.7756
29.500000, 85.087, 179.4967
30.000000, 85.083, 178.7710
30.400000, 85.086, 178.1468
30.700001, 85.089, 177.6463
31.100000, 85.095, 176.9548
31.500000, 85.099, 176.2773
32.000000, 85.102, 175.5040
32.500000, 85.105, 174.8164
33.000000, 85.105, 174.1616
33.500000, 85.101, 173.4918
34.000000, 85.090, 172.8060
34.500000, 85.079, 172.1290
35.000000, 85.073, 171.4681
35.500000, 85.072, 170.8058
36.000000, 85.068, 170.1295
36.500000, 85.058, 169.4505
37.000000, 85.043, 168.7888
37.500000, 85.030, 168.1508
38.200001, 85.018, 167.2820
38.700001, 85.010, 166.6705
39.500000, 84.994, 165.7031
40.000000, 84.982, 165.0968
40.599998, 84.968, 164.3665
41.200001, 84.954, 163.6542
41.799999, 84.940, 162.9774
42.500000, 84.923, 162.2161
43.099998, 84.905, 161.5570
43.700001, 84.889, 160.8752
44.400002, 84.872, 160.0643
45.000000, 84.857, 159.3897
45.500000, 84.843, 158.8591
46.200001, 84.821, 158.1428
46.799999, 84.800, 157.5172
47.500000, 84.773, 156.7733
48.200001, 84.749, 156.0457
48.700001, 84.735, 155.5327
49.400002, 84.714, 154.8112
50.000000, 84.691, 154.2101
50.799999, 84.661, 153.4506
51.500000, 84.639, 152.7819
52.200001, 84.612, 152.1078
53.000000, 84.576, 151.3918
53.799999, 84.546, 150.6965
54.500000, 84.523, 150.0449
55.200001, 84.496, 149.3931
56.000000, 84.464, 148.7028
57.000000, 84.428, 147.8446
58.000000, 84.384, 146.9904
59.000000, 84.345, 146.2086
60.000000, 84.314, 145.3321
60.799999, 84.274, 144.5809
61.500000, 84.237, 143.9776
62.200001, 84.207, 143.4164
63.000000, 84.180, 142.7751
64.000000, 84.138, 142.0044
65.000000, 84.093, 141.2895
66.000000, 84.053, 140.5641
67.000000, 84.011, 139.8075
68.000000, 83.962, 139.0342
69.000000, 83.914, 138.2828
70.000000, 83.876, 137.5704
71.000000, 83.837, 136.8741
72.000000, 83.788, 136.1832
73.000000, 83.738, 135.4828
74.000000, 83.693, 134.7786
75.000000, 83.648, 134.1165
76.199997, 83.598, 133.3522
77.500000, 83.545, 132.5028
78.800003, 83.489, 131.6776
80.000000, 83.435, 130.9154
81.199997, 83.383, 130.1388
82.500000, 83.325, 129.3561
83.800003, 83.265, 128.6402
85.000000, 83.213, 127.9539
86.199997, 83.164, 127.2485
87.500000, 83.107, 126.4992
88.500000, 83.062, 125.9259
90.000000, 82.996, 125.0790
91.199997, 82.941, 124.4251
92.500000, 82.884, 123.7524
93.800003, 82.827, 123.0824
95.000000, 82.774, 122.4691
96.199997, 82.726, 121.8934
97.500000, 82.676, 121.2798
98.800003, 82.621, 120.6249
