* Measurement data measured by REW V5.40 beta 102
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Feb 1, 2026 8:55:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: YU9 Que (FX12 M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 84.653, -164.2388
20.600000, 84.668, -164.7910
20.900000, 84.685, -165.4108
21.200001, 84.703, -166.0355
21.400000, 84.716, -166.4522
21.799999, 84.741, -167.2812
22.000000, 84.753, -167.6893
22.400000, 84.773, -168.4819
22.700001, 84.788, -169.0526
23.000000, 84.802, -169.6076
23.299999, 84.817, -170.1573
23.600000, 84.833, -170.7139
24.000000, 84.855, -171.4814
24.299999, 84.870, -172.0779
24.700001, 84.889, -172.8909
25.000000, 84.902, -173.5030
25.400000, 84.920, -174.3100
25.799999, 84.939, -175.1004
26.200001, 84.958, -175.8725
26.500000, 84.970, -176.4370
26.900000, 84.981, -177.1636
27.200001, 84.986, -177.6851
27.600000, 84.990, -178.3497
28.000000, 84.992, -178.9906
28.500000, 84.996, -179.7829
29.000000, 85.004, 179.4208
29.500000, 85.013, 178.6314
30.000000, 85.024, 177.8614
30.400000, 85.032, 177.2534
30.700001, 85.036, 176.7960
31.100000, 85.037, 176.1818
31.500000, 85.032, 175.5713
32.000000, 85.020, 174.8333
32.500000, 85.010, 174.1304
33.000000, 85.003, 173.4439
33.500000, 84.997, 172.7545
34.000000, 84.987, 172.0629
34.500000, 84.976, 171.3730
35.000000, 84.970, 170.6707
35.500000, 84.972, 169.9420
36.000000, 84.977, 169.2090
36.500000, 84.978, 168.5243
37.000000, 84.971, 167.9191
37.500000, 84.958, 167.3708
38.200001, 84.937, 166.5973
38.700001, 84.927, 165.9904
39.500000, 84.928, 164.9108
40.000000, 84.930, 164.2136
40.599998, 84.914, 163.4539
41.200001, 84.884, 162.8339
41.799999, 84.858, 162.2726
42.500000, 84.843, 161.5143
43.099998, 84.835, 160.7625
43.700001, 84.822, 160.0027
44.400002, 84.796, 159.1414
