* Measurement data measured by REW V5.40 beta 102
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Feb 1, 2026 8:54:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: YU9 Que (Final E M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 84.880, -163.3376
20.600000, 84.899, -163.9391
20.900000, 84.919, -164.6103
21.200001, 84.937, -165.2777
21.400000, 84.949, -165.7162
21.799999, 84.973, -166.5729
22.000000, 84.984, -166.9894
22.400000, 85.007, -167.7973
22.700001, 85.025, -168.3845
23.000000, 85.042, -168.9617
23.299999, 85.059, -169.5356
23.600000, 85.074, -170.1113
24.000000, 85.093, -170.8850
24.299999, 85.104, -171.4684
24.700001, 85.117, -172.2442
25.000000, 85.125, -172.8191
25.400000, 85.135, -173.5686
25.799999, 85.145, -174.2901
26.200001, 85.156, -174.9767
26.500000, 85.165, -175.4691
26.900000, 85.176, -176.1043
27.200001, 85.184, -176.5750
27.600000, 85.191, -177.2106
28.000000, 85.194, -177.8656
28.500000, 85.191, -178.7051
29.000000, 85.188, -179.5387
29.500000, 85.193, 179.6619
30.000000, 85.210, 178.9060
30.400000, 85.225, 178.3296
30.700001, 85.234, 177.9113
31.100000, 85.238, 177.3680
31.500000, 85.233, 176.8322
32.000000, 85.218, 176.1488
32.500000, 85.204, 175.4224
33.000000, 85.200, 174.6479
33.500000, 85.204, 173.8612
34.000000, 85.211, 173.1203
34.500000, 85.213, 172.4618
35.000000, 85.206, 171.8674
35.500000, 85.194, 171.2734
36.000000, 85.179, 170.6241
36.500000, 85.163, 169.9226
37.000000, 85.149, 169.2297
37.500000, 85.141, 168.6047
38.200001, 85.137, 167.8282
38.700001, 85.133, 167.2680
39.500000, 85.110, 166.2879
40.000000, 85.091, 165.6732
40.599998, 85.076, 164.9839
41.200001, 85.074, 164.3204
41.799999, 85.071, 163.6291
42.500000, 85.050, 162.7858
43.099998, 85.019, 162.0867
43.700001, 84.992, 161.4490
44.400002, 84.974, 160.7567
45.000000, 84.966, 160.1506
45.500000, 84.956, 159.6130
46.200001, 84.932, 158.8315
46.799999, 84.908, 158.1761
47.500000, 84.882, 157.4543
48.200001, 84.858, 156.7635
48.700001, 84.841, 156.2769
49.400002, 84.816, 155.6023
50.000000, 84.795, 155.0354
50.799999, 84.767, 154.2975
51.500000, 84.743, 153.6616
52.200001, 84.718, 153.0232
53.000000, 84.690, 152.2847
53.799999, 84.663, 151.5516
54.500000, 84.637, 150.9308
55.200001, 84.610, 150.3245
56.000000, 84.578, 149.6332
57.000000, 84.538, 148.7886
58.000000, 84.501, 147.9808
59.000000, 84.464, 147.1420
60.000000, 84.420, 146.2918
60.799999, 84.384, 145.6653
61.500000, 84.355, 145.1423
62.200001, 84.327, 144.6071
63.000000, 84.296, 143.9572
64.000000, 84.255, 143.1144
65.000000, 84.214, 142.3362
66.000000, 84.172, 141.6631
67.000000, 84.125, 141.0106
68.000000, 84.079, 140.3017
69.000000, 84.039, 139.5409
70.000000, 83.996, 138.8082
71.000000, 83.949, 138.1288
72.000000, 83.907, 137.4545
73.000000, 83.868, 136.7858
74.000000, 83.827, 136.1406
75.000000, 83.783, 135.4966
76.199997, 83.728, 134.7144
77.500000, 83.669, 133.9091
78.800003, 83.617, 133.1295
80.000000, 83.568, 132.3990
81.199997, 83.517, 131.6744
82.500000, 83.464, 130.9224
83.800003, 83.408, 130.1882
85.000000, 83.353, 129.4900
86.199997, 83.302, 128.8152
87.500000, 83.248, 128.1150
88.500000, 83.205, 127.5840
90.000000, 83.142, 126.8195
