* Measurement data measured by REW V5.40 beta 102
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jan 29, 2026 10:35:24 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: YU9 Que (Stock Clear M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 70.603, -162.4044
20.600000, 70.615, -162.9858
20.900000, 70.636, -163.6400
21.200001, 70.665, -164.3035
21.400000, 70.687, -164.7463
21.799999, 70.732, -165.6175
22.000000, 70.752, -166.0373
22.400000, 70.784, -166.8350
22.700001, 70.800, -167.4052
23.000000, 70.813, -167.9716
23.299999, 70.824, -168.5558
23.600000, 70.837, -169.1710
24.000000, 70.858, -170.0336
24.299999, 70.875, -170.6880
24.700001, 70.899, -171.5211
25.000000, 70.914, -172.0899
25.400000, 70.927, -172.7636
25.799999, 70.931, -173.3687
26.200001, 70.927, -173.9625
26.500000, 70.923, -174.4351
26.900000, 70.920, -175.1269
27.200001, 70.925, -175.6890
27.600000, 70.944, -176.4677
28.000000, 70.974, -177.2366
28.500000, 71.016, -178.1321
29.000000, 71.038, -178.9353
29.500000, 71.027, -179.6543
30.000000, 70.993, 179.6817
30.400000, 70.971, 179.1442
30.700001, 70.967, 178.7050
31.100000, 70.981, 178.0474
31.500000, 71.007, 177.3265
32.000000, 71.037, 176.4514
32.500000, 71.049, 175.7465
33.000000, 71.050, 175.2128
33.500000, 71.051, 174.6808
34.000000, 71.046, 173.9979
34.500000, 71.027, 173.1992
35.000000, 71.001, 172.4406
35.500000, 70.987, 171.7982
36.000000, 70.989, 171.1968
36.500000, 70.991, 170.5427
37.000000, 70.979, 169.8558
37.500000, 70.957, 169.2170
38.200001, 70.947, 168.3957
38.700001, 70.956, 167.7602
39.500000, 70.955, 166.6593
40.000000, 70.938, 166.0427
