* Measurement data measured by REW V5.40 beta 102
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Feb 1, 2026 8:59:24 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: YU9 Que (Velvet M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 84.763, -162.6877
20.600000, 84.781, -163.2682
20.900000, 84.801, -163.9311
21.200001, 84.820, -164.6117
21.400000, 84.833, -165.0704
21.799999, 84.858, -165.9843
22.000000, 84.870, -166.4306
22.400000, 84.894, -167.2844
22.700001, 84.911, -167.8885
23.000000, 84.928, -168.4701
23.299999, 84.945, -169.0429
23.600000, 84.962, -169.6193
24.000000, 84.984, -170.4000
24.299999, 84.998, -170.9881
24.700001, 85.017, -171.7563
25.000000, 85.031, -172.3097
25.400000, 85.050, -173.0146
25.799999, 85.068, -173.6941
26.200001, 85.083, -174.3678
26.500000, 85.091, -174.8787
26.900000, 85.098, -175.5728
27.200001, 85.101, -176.1030
27.600000, 85.105, -176.8178
28.000000, 85.112, -177.5297
28.500000, 85.121, -178.3867
29.000000, 85.130, -179.1724
29.500000, 85.137, -179.8766
30.000000, 85.141, 179.4658
30.400000, 85.143, 178.9313
30.700001, 85.143, 178.5067
31.100000, 85.141, 177.8999
31.500000, 85.136, 177.2544
32.000000, 85.126, 176.4298
32.500000, 85.114, 175.6342
33.000000, 85.108, 174.8929
33.500000, 85.108, 174.1913
34.000000, 85.113, 173.4991
34.500000, 85.117, 172.8062
35.000000, 85.114, 172.1311
35.500000, 85.107, 171.4888
36.000000, 85.101, 170.8600
36.500000, 85.097, 170.2059
37.000000, 85.094, 169.5165
37.500000, 85.088, 168.8286
38.200001, 85.079, 167.9432
38.700001, 85.076, 167.3554
39.500000, 85.066, 166.3888
40.000000, 85.051, 165.7636
40.599998, 85.026, 165.0400
41.200001, 85.006, 164.3616
41.799999, 84.993, 163.7018
42.500000, 84.979, 162.9321
43.099998, 84.963, 162.2723
43.700001, 84.948, 161.6009
44.400002, 84.930, 160.7980
45.000000, 84.911, 160.1326
45.500000, 84.893, 159.6219
46.200001, 84.872, 158.9524
46.799999, 84.856, 158.3666
47.500000, 84.835, 157.6423
48.200001, 84.809, 156.9113
48.700001, 84.789, 156.4034
49.400002, 84.762, 155.7028
50.000000, 84.740, 155.0984
50.799999, 84.711, 154.3020
51.500000, 84.686, 153.6424
52.200001, 84.662, 153.0108
53.000000, 84.635, 152.2834
53.799999, 84.603, 151.5406
54.500000, 84.575, 150.8933
55.200001, 84.548, 150.2470
56.000000, 84.520, 149.5054
57.000000, 84.485, 148.6099
58.000000, 84.445, 147.8170
59.000000, 84.405, 147.0823
60.000000, 84.373, 146.2134
60.799999, 84.343, 145.4735
61.500000, 84.314, 144.9020
62.200001, 84.284, 144.3842
63.000000, 84.247, 143.7776
64.000000, 84.203, 142.9895
65.000000, 84.169, 142.1607
66.000000, 84.128, 141.3480
67.000000, 84.083, 140.6643
68.000000, 84.045, 139.9881
69.000000, 83.999, 139.2507
70.000000, 83.949, 138.5186
71.000000, 83.907, 137.8077
72.000000, 83.868, 137.0970
73.000000, 83.826, 136.3868
74.000000, 83.785, 135.7106
75.000000, 83.746, 135.0739
76.199997, 83.694, 134.3112
77.500000, 83.635, 133.4576
78.800003, 83.581, 132.6316
80.000000, 83.534, 131.8936
81.199997, 83.489, 131.1519
82.500000, 83.435, 130.3571
83.800003, 83.376, 129.5938
85.000000, 83.323, 128.9217
86.199997, 83.272, 128.2238
87.500000, 83.215, 127.4669
88.500000, 83.173, 126.9217
90.000000, 83.110, 126.1327
91.199997, 83.055, 125.4935
92.500000, 82.992, 124.7656
93.800003, 82.937, 124.0498
95.000000, 82.894, 123.4620
96.199997, 82.847, 122.9177
97.500000, 82.790, 122.2831
98.800003, 82.731, 121.6385
100.000000, 82.678, 121.0562
101.500000, 82.616, 120.3392
103.000000, 82.558, 119.6150
104.400002, 82.501, 118.9605
106.000000, 82.438, 118.2377
107.500000, 82.382, 117.6165
109.000000, 82.325, 116.9875
110.599998, 82.264, 116.3235
112.000000, 82.207, 115.7248
113.800003, 82.129, 114.9526
115.000000, 82.080, 114.4787
117.199997, 81.994, 113.6239
118.000000, 81.960, 113.3066
120.599998, 81.858, 112.3215
122.000000, 81.812, 111.8105
124.099998, 81.741, 111.0683
125.000000, 81.709, 110.7486
126.500000, 81.654, 110.2310
128.000000, 81.595, 109.7555
131.500000, 81.456, 108.5973
132.000000, 81.438, 108.4186
134.000000, 81.361, 107.7384
136.000000, 81.286, 107.1185
138.000000, 81.208, 106.5219
140.000000, 81.132, 105.9437
143.000000, 81.020, 105.1251
145.000000, 80.947, 104.6321
147.500000, 80.857, 104.0382
150.000000, 80.772, 103.5500
152.500000, 80.685, 103.0812
155.000000, 80.589, 102.6448
157.500000, 80.512, 102.3180
160.000000, 80.459, 102.0866
162.500000, 80.421, 101.7858
165.000000, 80.389, 101.4602
167.500000, 80.359, 101.0737
170.000000, 80.332, 100.5928
172.500000, 80.302, 100.0492
175.000000, 80.269, 99.5295
177.500000, 80.234, 99.0064
180.000000, 80.199, 98.4550
182.500000, 80.159, 97.9700
185.000000, 80.115, 97.4717
187.500000, 80.068, 96.9985
190.000000, 80.024, 96.5891
192.500000, 79.985, 96.1713
195.000000, 79.948, 95.7363
197.500000, 79.909, 95.3372
200.000000, 79.865, 94.9532
203.000000, 79.809, 94.4774
206.000000, 79.757, 94.0245
209.000000, 79.716, 93.5869
212.000000, 79.679, 93.1674
214.000000, 79.647, 92.9297
218.000000, 79.578, 92.4413
220.000000, 79.551, 92.1940
224.000000, 79.504, 91.7678
227.000000, 79.464, 91.4307
230.000000, 79.425, 91.1028
233.000000, 79.384, 90.7980
236.000000, 79.346, 90.4922
240.000000, 79.301, 90.1102
243.000000, 79.271, 89.8365
247.000000, 79.228, 89.4832
250.000000, 79.194, 89.2359
254.000000, 79.154, 88.9243
258.000000, 79.118, 88.6113
262.000000, 79.083, 88.3256
265.000000, 79.057, 88.1184
269.000000, 79.021, 87.8403
272.000000, 78.996, 87.6438
276.000000, 78.966, 87.3881
280.000000, 78.940, 87.1550
285.000000, 78.905, 86.8843
290.000000, 78.867, 86.6230
295.000000, 78.835, 86.3642
300.000000, 78.802, 86.1401
304.000000, 78.775, 85.9642
307.000000, 78.757, 85.8225
311.000000, 78.735, 85.6381
315.000000, 78.714, 85.4854
320.000000, 78.687, 85.3187
325.000000, 78.659, 85.1598
330.000000, 78.629, 85.0208
335.000000, 78.602, 84.8729
340.000000, 78.579, 84.7370
345.000000, 78.557, 84.6396
350.000000, 78.534, 84.5464
355.000000, 78.508, 84.4475
360.000000, 78.482, 84.3494
365.000000, 78.457, 84.2825
370.000000, 78.432, 84.2542
375.000000, 78.406, 84.2222
382.000000, 78.369, 84.1962
387.000000, 78.343, 84.2232
395.000000, 78.303, 84.3704
400.000000, 78.278, 84.5139
406.000000, 78.261, 84.7263
412.000000, 78.258, 84.9752
418.000000, 78.267, 85.2390
425.000000, 78.294, 85.4657
431.000000, 78.324, 85.5265
437.000000, 78.346, 85.4982
444.000000, 78.360, 85.3998
450.000000, 78.361, 85.3063
455.000000, 78.356, 85.2530
462.000000, 78.344, 85.2228
468.000000, 78.330, 85.2380
475.000000, 78.310, 85.2894
482.000000, 78.290, 85.3654
487.000000, 78.276, 85.4243
494.000000, 78.256, 85.5249
500.000000, 78.239, 85.6454
508.000000, 78.217, 85.8382
515.000000, 78.198, 86.0303
522.000000, 78.180, 86.2316
530.000000, 78.161, 86.4750
538.000000, 78.142, 86.7436
545.000000, 78.123, 87.0076
552.000000, 78.106, 87.2846
560.000000, 78.092, 87.6141
570.000000, 78.075, 88.0309
