* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 10, 2025 8:40:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Zenith (Stock DDDD) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.085, -140.4781
20.600000, 83.060, -140.7091
20.900000, 83.047, -140.9197
21.200001, 83.063, -141.1909
21.400000, 83.092, -141.4610
21.799999, 83.179, -142.2736
22.000000, 83.227, -142.7945
22.400000, 83.310, -143.9196
22.700001, 83.355, -144.7015
23.000000, 83.387, -145.3369
23.299999, 83.413, -145.8011
23.600000, 83.442, -146.1277
24.000000, 83.490, -146.4657
24.299999, 83.530, -146.7286
24.700001, 83.579, -147.1474
25.000000, 83.608, -147.5013
25.400000, 83.636, -147.9766
25.799999, 83.659, -148.4211
26.200001, 83.686, -148.8523
26.500000, 83.709, -149.1966
26.900000, 83.741, -149.7075
27.200001, 83.763, -150.1180
27.600000, 83.787, -150.6534
28.000000, 83.808, -151.1190
28.500000, 83.836, -151.5775
29.000000, 83.864, -151.9655
29.500000, 83.886, -152.3729
30.000000, 83.901, -152.8378
30.400000, 83.915, -153.2506
30.700001, 83.931, -153.5813
31.100000, 83.960, -154.0413
31.500000, 83.991, -154.4942
32.000000, 84.020, -154.9837
32.500000, 84.037, -155.3530
33.000000, 84.050, -155.6799
33.500000, 84.064, -156.1017
34.000000, 84.076, -156.6543
34.500000, 84.081, -157.2077
35.000000, 84.087, -157.6022
35.500000, 84.104, -157.8262
36.000000, 84.132, -158.0301
36.500000, 84.158, -158.3695
37.000000, 84.170, -158.8662
37.500000, 84.172, -159.4274
38.200001, 84.171, -160.1334
38.700001, 84.163, -160.5021
39.500000, 84.124, -160.7327
40.000000, 84.109, -160.6684
40.599998, 84.140, -160.6334
41.200001, 84.214, -160.9725
41.799999, 84.261, -161.6979
42.500000, 84.229, -162.5250
43.099998, 84.171, -162.8397
43.700001, 84.165, -162.8761
44.400002, 84.243, -163.0480
45.000000, 84.326, -163.5390
45.500000, 84.359, -164.1449
46.200001, 84.322, -165.0195
46.799999, 84.246, -165.5253
47.500000, 84.187, -165.7410
48.200001, 84.191, -165.8164
48.700001, 84.204, -165.9199
49.400002, 84.207, -166.1113
50.000000, 84.208, -166.2960
50.799999, 84.228, -166.6968
51.500000, 84.234, -167.1787
52.200001, 84.212, -167.5865
53.000000, 84.187, -167.8716
53.799999, 84.196, -168.0857
54.500000, 84.207, -168.2527
55.200001, 84.194, -168.3936
56.000000, 84.171, -168.6787
57.000000, 84.179, -169.2756
58.000000, 84.240, -169.3065
59.000000, 84.317, -169.0743
60.000000, 84.280, -169.7374
60.799999, 84.178, -170.3180
61.500000, 84.117, -170.2422
62.200001, 84.111, -169.7931
63.000000, 84.124, -169.6373
64.000000, 84.073, -170.3104
65.000000, 84.032, -171.0445
66.000000, 84.076, -171.7846
67.000000, 84.089, -172.5251
68.000000, 84.077, -172.6637
69.000000, 84.081, -172.4916
70.000000, 84.060, -172.6477
71.000000, 84.018, -173.2767
72.000000, 83.980, -173.9649
73.000000, 83.937, -174.3248
