* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 10, 2025 8:37:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Zenith (Stock UDDD) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.804, -144.6379
20.600000, 83.830, -144.8926
20.900000, 83.855, -145.1874
21.200001, 83.872, -145.5517
21.400000, 83.880, -145.8562
21.799999, 83.889, -146.6538
22.000000, 83.893, -147.1560
22.400000, 83.901, -148.3501
22.700001, 83.904, -149.3473
23.000000, 83.901, -150.3188
23.299999, 83.889, -151.1290
23.600000, 83.874, -151.6503
24.000000, 83.868, -151.7983
24.299999, 83.888, -151.5661
24.700001, 83.954, -151.1063
25.000000, 84.018, -150.9002
25.400000, 84.082, -151.0556
25.799999, 84.083, -151.7163
26.200001, 84.015, -152.6575
26.500000, 83.938, -153.3605
26.900000, 83.852, -154.1121
27.200001, 83.830, -154.5127
27.600000, 83.875, -154.9237
28.000000, 83.982, -155.3506
28.500000, 84.129, -156.0258
29.000000, 84.224, -156.7609
29.500000, 84.259, -157.3892
30.000000, 84.275, -157.8862
30.400000, 84.293, -158.2527
30.700001, 84.307, -158.5239
31.100000, 84.317, -158.8462
31.500000, 84.314, -159.0610
32.000000, 84.305, -159.1922
32.500000, 84.319, -159.4318
33.000000, 84.358, -160.1250
33.500000, 84.388, -161.2659
34.000000, 84.383, -162.3924
34.500000, 84.359, -162.9817
35.000000, 84.357, -162.9652
35.500000, 84.382, -162.7806
36.000000, 84.395, -162.8636
36.500000, 84.361, -163.2311
37.000000, 84.308, -163.6064
37.500000, 84.293, -163.8373
38.200001, 84.349, -164.1817
38.700001, 84.371, -164.5855
39.500000, 84.296, -165.1934
40.000000, 84.250, -165.5084
40.599998, 84.264, -166.1320
41.200001, 84.308, -167.0296
41.799999, 84.318, -167.6604
42.500000, 84.318, -167.6796
43.099998, 84.348, -167.6221
43.700001, 84.367, -168.0237
44.400002, 84.322, -168.7053
45.000000, 84.276, -169.0143
45.500000, 84.280, -169.2180
46.200001, 84.323, -169.8919
46.799999, 84.332, -170.6802
47.500000, 84.307, -171.1782
48.200001, 84.292, -171.0926
48.700001, 84.283, -170.9747
49.400002, 84.241, -171.0362
50.000000, 84.196, -171.2650
50.799999, 84.179, -171.6775
51.500000, 84.195, -172.0952
52.200001, 84.182, -172.4807
53.000000, 84.136, -172.7397
53.799999, 84.118, -172.8370
54.500000, 84.113, -172.8680
55.200001, 84.087, -172.8879
56.000000, 84.064, -173.3149
57.000000, 84.063, -174.8452
58.000000, 84.091, -175.4397
59.000000, 84.220, -175.0446
60.000000, 84.170, -175.5521
60.799999, 83.990, -175.6599
61.500000, 83.869, -175.3015
62.200001, 83.793, -174.9333
63.000000, 83.752, -174.7620
64.000000, 83.847, -175.4601
65.000000, 83.947, -176.8396
66.000000, 83.932, -177.3074
67.000000, 83.908, -177.2221
68.000000, 83.852, -177.4059
69.000000, 83.750, -177.3955
70.000000, 83.694, -177.4516
71.000000, 83.679, -177.7945
72.000000, 83.672, -177.8391
73.000000, 83.641, -177.8594
74.000000, 83.559, -177.9694
75.000000, 83.506, -177.8797
76.199997, 83.484, -178.0921
77.500000, 83.432, -178.8787
78.800003, 83.423, -179.3921
80.000000, 83.410, -179.3994
81.199997, 83.354, -179.2992
82.500000, 83.343, -179.3863
83.800003, 83.337, -179.7274
85.000000, 83.289, -179.8448
86.199997, 83.265, -179.9152
87.500000, 83.247, -179.9847
88.500000, 83.204, -179.9714
90.000000, 83.128, 179.8357
91.199997, 83.084, 179.5262
92.500000, 83.051, 179.3558
93.800003, 83.025, 179.2565
95.000000, 82.988, 179.1398
96.199997, 82.946, 179.0742
97.500000, 82.912, 179.0042
98.800003, 82.880, 178.8972
100.000000, 82.841, 178.8677
101.500000, 82.796, 178.8843
103.000000, 82.758, 178.8140
104.400002, 82.720, 178.7403
106.000000, 82.665, 178.7588
107.500000, 82.624, 178.7326
109.000000, 82.585, 178.5960
110.599998, 82.553, 178.4899
112.000000, 82.537, 178.4211
113.800003, 82.476, 178.3527
115.000000, 82.430, 178.3073
117.199997, 82.371, 178.2933
118.000000, 82.344, 178.3164
120.599998, 82.233, 178.5119
122.000000, 82.200, 178.4872
124.099998, 82.167, 178.6125
125.000000, 82.148, 178.6682
126.500000, 82.108, 178.6932
128.000000, 82.060, 178.6902
131.500000, 81.978, 178.6585
132.000000, 81.966, 178.6503
134.000000, 81.911, 178.6371
136.000000, 81.855, 178.7387
138.000000, 81.800, 178.8320
140.000000, 81.724, 178.9513
143.000000, 81.642, 179.0464
145.000000, 81.618, 179.1772
147.500000, 81.563, 179.2711
150.000000, 81.474, 179.3080
152.500000, 81.387, 179.7173
155.000000, 81.306, -179.9356
157.500000, 81.223, -179.5893
160.000000, 81.154, -179.2932
162.500000, 81.089, -179.3298
165.000000, 81.010, -178.8596
167.500000, 80.921, -178.4656
170.000000, 80.862, -177.9692
172.500000, 80.902, -176.9366
175.000000, 80.972, -176.0743
177.500000, 81.020, -176.3844
180.000000, 81.055, -176.3569
182.500000, 81.055, -176.1990
185.000000, 81.023, -176.5876
187.500000, 80.973, -176.6913
190.000000, 80.916, -176.5103
192.500000, 80.842, -176.2971
195.000000, 80.779, -176.1849
197.500000, 80.734, -176.0643
200.000000, 80.692, -175.8975
203.000000, 80.631, -175.6750
206.000000, 80.566, -175.4083
209.000000, 80.506, -175.1154
212.000000, 80.461, -174.8535
214.000000, 80.432, -174.7007
218.000000, 80.362, -174.3294
220.000000, 80.323, -174.0739
224.000000, 80.262, -173.5851
227.000000, 80.224, -173.3235
230.000000, 80.182, -173.0299
233.000000, 80.141, -172.6946
236.000000, 80.106, -172.4299
240.000000, 80.057, -172.0231
243.000000, 80.017, -171.6933
247.000000, 79.968, -171.2338
250.000000, 79.923, -170.9678
254.000000, 79.853, -170.5721
258.000000, 79.801, -170.1217
262.000000, 79.758, -169.7101
265.000000, 79.721, -169.3968
269.000000, 79.671, -168.9128
272.000000, 79.634, -168.5468
276.000000, 79.585, -168.1378
280.000000, 79.539, -167.7191
285.000000, 79.481, -167.0948
290.000000, 79.423, -166.5051
295.000000, 79.369, -165.9424
300.000000, 79.319, -165.3588
304.000000, 79.276, -164.8518
307.000000, 79.243, -164.4825
311.000000, 79.203, -163.9933
315.000000, 79.168, -163.5022
320.000000, 79.124, -162.9010
325.000000, 79.080, -162.3305
330.000000, 79.036, -161.7307
335.000000, 78.995, -161.1192
340.000000, 78.957, -160.5225
345.000000, 78.919, -159.9438
350.000000, 78.878, -159.3603
355.000000, 78.839, -158.7573
360.000000, 78.803, -158.1307
365.000000, 78.770, -157.5146
370.000000, 78.739, -156.8859
375.000000, 78.712, -156.2595
382.000000, 78.664, -155.4258
387.000000, 78.629, -154.8301
395.000000, 78.579, -153.8207
400.000000, 78.552, -153.2096
406.000000, 78.522, -152.5016
412.000000, 78.490, -151.8056
418.000000, 78.460, -151.0570
425.000000, 78.428, -150.1917
431.000000, 78.399, -149.5108
437.000000, 78.365, -148.7959
444.000000, 78.335, -147.9805
450.000000, 78.311, -147.2476
455.000000, 78.286, -146.6450
462.000000, 78.254, -145.8468
468.000000, 78.236, -145.1178
475.000000, 78.214, -144.2730
482.000000, 78.190, -143.4548
487.000000, 78.175, -142.8754
494.000000, 78.154, -142.0416
500.000000, 78.132, -141.3034
508.000000, 78.104, -140.3438
515.000000, 78.082, -139.5294
522.000000, 78.061, -138.7177
530.000000, 78.044, -137.7745
538.000000, 78.032, -136.8309
545.000000, 78.015, -136.0047
552.000000, 77.998, -135.1655
560.000000, 77.988, -134.2006
570.000000, 77.970, -133.0685
580.000000, 77.949, -131.9268
590.000000, 77.936, -130.7660
600.000000, 77.925, -129.5805
608.000000, 77.920, -128.6551
615.000000, 77.917, -127.8519
622.000000, 77.913, -127.0461
630.000000, 77.908, -126.1254
640.000000, 77.907, -124.9567
650.000000, 77.909, -123.7988
660.000000, 77.910, -122.6813
670.000000, 77.910, -121.5343
680.000000, 77.913, -120.3864
690.000000, 77.921, -119.2606
700.000000, 77.932, -118.1521
710.000000, 77.951, -117.0142
720.000000, 77.968, -115.8605
730.000000, 77.988, -114.7199
740.000000, 78.013, -113.6435
750.000000, 78.043, -112.6199
762.000000, 78.082, -111.4019
775.000000, 78.129, -110.1775
788.000000, 78.172, -109.1356
800.000000, 78.192, -108.3763
812.000000, 78.155, -107.7836
825.000000, 78.034, -106.8227
838.000000, 77.886, -104.9787
850.000000, 77.825, -102.6615
862.000000, 77.862, -100.3664
875.000000, 77.963, -98.2144
885.000000, 78.049, -96.8027
900.000000, 78.182, -94.9068
912.000000, 78.286, -93.4596
925.000000, 78.393, -91.9623
938.000000, 78.499, -90.5460
950.000000, 78.602, -89.2879
962.000000, 78.707, -88.0629
975.000000, 78.819, -86.7543
988.000000, 78.933, -85.4948
1000.000000, 79.039, -84.3756
1015.000000, 79.175, -82.9751
1030.000000, 79.315, -81.6315
1044.000000, 79.449, -80.4212
1060.000000, 79.610, -79.0844
1075.000000, 79.761, -77.9131
1090.000000, 79.908, -76.8144
1106.000000, 80.063, -75.7151
1120.000000, 80.199, -74.8134
1138.000000, 80.376, -73.7114
1150.000000, 80.490, -73.0069
1172.000000, 80.691, -71.7908
1180.000000, 80.762, -71.3615
1206.000000, 80.982, -70.0228
1220.000000, 81.099, -69.3604
1241.000000, 81.271, -68.4137
1250.000000, 81.343, -68.0194
1265.000000, 81.461, -67.3758
1280.000000, 81.574, -66.7385
1315.000000, 81.825, -65.3003
1320.000000, 81.860, -65.1038
1340.000000, 81.995, -64.3202
1360.000000, 82.127, -63.5530
1380.000000, 82.255, -62.8010
1400.000000, 82.378, -62.0656
1430.000000, 82.559, -60.9397
1450.000000, 82.679, -60.2048
1475.000000, 82.826, -59.3209
1500.000000, 82.973, -58.4230
1525.000000, 83.116, -57.5574
1550.000000, 83.257, -56.7186
1575.000000, 83.401, -55.8724
1600.000000, 83.543, -55.0359
1625.000000, 83.685, -54.2183
1650.000000, 83.829, -53.4310
1675.000000, 83.973, -52.6753
1700.000000, 84.116, -51.9441
1725.000000, 84.259, -51.2363
1750.000000, 84.406, -50.5515
1775.000000, 84.552, -49.9024
1800.000000, 84.698, -49.2645
1825.000000, 84.846, -48.6634
1850.000000, 84.993, -48.1089
1875.000000, 85.141, -47.6054
1900.000000, 85.291, -47.1424
1925.000000, 85.438, -46.7120
1950.000000, 85.584, -46.3118
1975.000000, 85.728, -45.9392
2000.000000, 85.873, -45.6120
2030.000000, 86.046, -45.2917
2060.000000, 86.216, -45.0526
2090.000000, 86.382, -44.8731
2120.000000, 86.546, -44.7537
2140.000000, 86.653, -44.7133
2180.000000, 86.857, -44.7173
2200.000000, 86.955, -44.7610
2240.000000, 87.142, -44.9269
2270.000000, 87.274, -45.1213
2300.000000, 87.397, -45.3676
