* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 10, 2025 8:37:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Zenith (Stock UUDD) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 84.742, -146.9794
20.600000, 84.802, -147.3332
20.900000, 84.859, -147.7520
21.200001, 84.892, -148.2194
21.400000, 84.900, -148.5563
21.799999, 84.888, -149.2644
22.000000, 84.876, -149.6236
22.400000, 84.864, -150.3440
22.700001, 84.875, -150.8991
23.000000, 84.907, -151.4821
23.299999, 84.951, -152.0932
23.600000, 84.996, -152.7108
24.000000, 85.042, -153.4811
24.299999, 85.061, -153.9757
24.700001, 85.071, -154.5056
25.000000, 85.076, -154.8333
25.400000, 85.092, -155.2589
25.799999, 85.122, -155.7646
26.200001, 85.160, -156.4012
26.500000, 85.185, -156.9548
26.900000, 85.203, -157.7368
27.200001, 85.201, -158.3055
27.600000, 85.179, -158.9738
28.000000, 85.152, -159.5027
28.500000, 85.142, -160.0139
29.000000, 85.179, -160.5165
29.500000, 85.247, -161.1215
30.000000, 85.302, -161.7419
30.400000, 85.323, -162.1229
30.700001, 85.328, -162.3177
31.100000, 85.333, -162.5187
31.500000, 85.339, -162.7939
32.000000, 85.341, -163.3957
32.500000, 85.319, -164.1909
33.000000, 85.285, -164.8704
33.500000, 85.279, -165.2752
34.000000, 85.322, -165.5884
34.500000, 85.374, -166.0865
35.000000, 85.380, -166.7802
35.500000, 85.325, -167.4217
36.000000, 85.252, -167.8203
36.500000, 85.212, -168.0478
37.000000, 85.213, -168.3116
37.500000, 85.226, -168.6918
38.200001, 85.218, -169.2334
38.700001, 85.198, -169.5195
39.500000, 85.177, -169.9252
40.000000, 85.180, -170.2545
40.599998, 85.195, -170.7309
41.200001, 85.209, -171.2115
41.799999, 85.203, -171.6234
42.500000, 85.160, -172.0714
43.099998, 85.091, -172.5128
43.700001, 85.016, -172.9347
44.400002, 84.993, -173.3083
45.000000, 85.044, -173.7531
45.500000, 85.074, -174.3218
46.200001, 85.002, -174.9489
46.799999, 84.892, -174.8098
47.500000, 84.887, -174.2810
48.200001, 85.018, -174.5244
48.700001, 85.086, -175.1843
49.400002, 85.072, -175.9637
50.000000, 85.009, -176.1799
50.799999, 84.931, -176.3699
51.500000, 84.863, -176.7699
52.200001, 84.798, -177.1130
53.000000, 84.763, -177.3147
53.799999, 84.755, -177.6131
54.500000, 84.742, -178.0070
55.200001, 84.723, -178.3895
56.000000, 84.691, -178.7347
57.000000, 84.630, -179.0341
58.000000, 84.587, -179.4215
59.000000, 84.538, -179.8780
60.000000, 84.495, 179.8980
60.799999, 84.469, 179.6318
61.500000, 84.440, 179.5295
62.200001, 84.437, 179.6181
63.000000, 84.436, 179.5588
64.000000, 84.360, 179.3953
65.000000, 84.317, 179.0739
66.000000, 84.252, 178.3242
67.000000, 84.189, 178.1010
68.000000, 84.191, 177.8772
69.000000, 84.146, 177.8144
70.000000, 84.105, 177.8723
71.000000, 84.056, 177.6742
72.000000, 84.041, 177.5027
73.000000, 84.015, 177.1472
74.000000, 83.948, 176.9370
75.000000, 83.908, 176.6786
76.199997, 83.843, 176.3859
77.500000, 83.809, 176.3354
78.800003, 83.776, 176.0905
80.000000, 83.713, 175.9953
81.199997, 83.676, 175.9297
82.500000, 83.628, 175.7461
83.800003, 83.558, 175.6442
85.000000, 83.527, 175.4512
86.199997, 83.486, 175.2834
87.500000, 83.427, 175.2324
88.500000, 83.386, 175.2034
90.000000, 83.330, 175.0992
91.199997, 83.283, 174.9822
92.500000, 83.235, 174.9131
93.800003, 83.193, 174.8786
95.000000, 83.150, 174.8632
96.199997, 83.093, 174.8205
97.500000, 83.036, 174.7293
98.800003, 83.000, 174.7036
100.000000, 82.970, 174.6777
101.500000, 82.917, 174.6039
103.000000, 82.863, 174.5827
104.400002, 82.818, 174.6351
106.000000, 82.767, 174.6973
107.500000, 82.720, 174.7078
109.000000, 82.670, 174.7001
110.599998, 82.613, 174.6753
112.000000, 82.568, 174.7018
113.800003, 82.520, 174.8505
115.000000, 82.488, 174.9283
117.199997, 82.416, 174.8672
118.000000, 82.383, 174.8434
120.599998, 82.297, 174.9014
122.000000, 82.265, 174.9483
124.099998, 82.209, 174.9929
125.000000, 82.182, 175.0367
126.500000, 82.134, 175.1216
128.000000, 82.084, 175.2286
131.500000, 81.987, 175.4861
132.000000, 81.972, 175.5184
134.000000, 81.916, 175.6302
136.000000, 81.863, 175.6788
138.000000, 81.814, 175.7464
140.000000, 81.762, 175.8727
143.000000, 81.683, 176.1335
145.000000, 81.635, 176.3140
147.500000, 81.572, 176.5352
150.000000, 81.513, 176.7365
152.500000, 81.450, 176.9252
155.000000, 81.384, 177.1136
157.500000, 81.326, 177.3257
160.000000, 81.262, 177.5896
162.500000, 81.200, 177.9745
165.000000, 81.145, 178.1965
167.500000, 81.100, 178.3078
170.000000, 81.050, 178.5284
172.500000, 80.994, 178.7642
175.000000, 80.941, 178.9719
177.500000, 80.888, 179.1524
180.000000, 80.835, 179.3768
182.500000, 80.786, 179.6650
185.000000, 80.732, 179.9476
187.500000, 80.676, -179.8190
190.000000, 80.625, -179.5942
192.500000, 80.586, -179.2475
195.000000, 80.546, -178.9138
197.500000, 80.496, -178.6485
200.000000, 80.444, -178.3753
203.000000, 80.387, -177.9891
206.000000, 80.327, -177.6195
209.000000, 80.266, -177.3510
212.000000, 80.211, -176.9900
214.000000, 80.177, -176.7245
218.000000, 80.109, -176.2767
220.000000, 80.071, -176.0375
224.000000, 79.980, -175.3823
227.000000, 79.915, -174.8470
230.000000, 79.847, -174.5033
233.000000, 79.775, -174.0962
236.000000, 79.752, -173.5744
240.000000, 79.800, -172.8524
243.000000, 79.812, -171.9949
247.000000, 79.798, -171.0242
250.000000, 79.804, -170.6905
254.000000, 79.803, -170.7157
258.000000, 79.754, -170.5298
262.000000, 79.708, -170.2014
265.000000, 79.676, -169.9473
269.000000, 79.626, -169.5810
272.000000, 79.588, -169.2592
276.000000, 79.536, -168.8351
280.000000, 79.485, -168.3880
285.000000, 79.424, -167.8509
290.000000, 79.366, -167.2569
295.000000, 79.308, -166.5654
300.000000, 79.257, -165.9414
304.000000, 79.220, -165.4710
307.000000, 79.193, -165.1203
311.000000, 79.158, -164.6631
315.000000, 79.126, -164.1621
320.000000, 79.086, -163.5286
325.000000, 79.045, -162.9448
330.000000, 78.998, -162.3406
335.000000, 78.956, -161.7017
340.000000, 78.916, -161.0603
345.000000, 78.876, -160.4518
350.000000, 78.842, -159.8735
355.000000, 78.805, -159.2462
360.000000, 78.766, -158.6171
365.000000, 78.735, -157.9812
370.000000, 78.704, -157.3633
375.000000, 78.672, -156.7489
382.000000, 78.633, -155.8737
387.000000, 78.608, -155.2871
395.000000, 78.562, -154.3184
400.000000, 78.539, -153.7089
406.000000, 78.514, -152.9768
412.000000, 78.486, -152.2356
418.000000, 78.455, -151.4881
425.000000, 78.421, -150.6423
431.000000, 78.388, -149.9402
437.000000, 78.359, -149.2200
444.000000, 78.334, -148.3366
450.000000, 78.311, -147.5990
455.000000, 78.290, -146.9777
462.000000, 78.262, -146.1635
468.000000, 78.241, -145.4594
475.000000, 78.215, -144.6085
482.000000, 78.192, -143.7788
487.000000, 78.179, -143.1981
494.000000, 78.159, -142.3945
500.000000, 78.139, -141.6833
508.000000, 78.116, -140.7205
515.000000, 78.097, -139.8633
522.000000, 78.078, -139.0323
530.000000, 78.059, -138.1094
538.000000, 78.043, -137.1447
545.000000, 78.030, -136.3231
552.000000, 78.016, -135.5085
560.000000, 77.997, -134.5483
570.000000, 77.978, -133.3799
580.000000, 77.972, -132.2336
590.000000, 77.960, -131.0730
600.000000, 77.951, -129.9287
608.000000, 77.945, -129.0023
615.000000, 77.941, -128.1999
622.000000, 77.938, -127.4033
630.000000, 77.932, -126.4649
640.000000, 77.932, -125.2784
650.000000, 77.932, -124.1425
660.000000, 77.930, -122.9869
670.000000, 77.934, -121.8470
680.000000, 77.938, -120.7046
690.000000, 77.946, -119.5442
700.000000, 77.960, -118.3729
710.000000, 77.978, -117.2401
720.000000, 77.998, -116.1418
730.000000, 78.022, -115.0442
740.000000, 78.048, -113.9559
750.000000, 78.077, -112.9059
762.000000, 78.115, -111.7157
775.000000, 78.164, -110.4975
788.000000, 78.210, -109.4480
800.000000, 78.230, -108.6705
812.000000, 78.202, -108.0295
825.000000, 78.075, -107.1121
838.000000, 77.921, -105.3219
850.000000, 77.859, -102.9994
862.000000, 77.894, -100.6868
875.000000, 77.991, -98.5314
885.000000, 78.078, -97.0734
900.000000, 78.211, -95.1146
912.000000, 78.318, -93.6947
925.000000, 78.429, -92.2350
938.000000, 78.540, -90.8274
950.000000, 78.643, -89.5585
962.000000, 78.745, -88.3326
975.000000, 78.858, -87.0218
988.000000, 78.972, -85.7115
1000.000000, 79.078, -84.5435
1015.000000, 79.215, -83.1554
1030.000000, 79.360, -81.8145
1044.000000, 79.498, -80.5997
1060.000000, 79.660, -79.2946
1075.000000, 79.811, -78.1598
1090.000000, 79.962, -77.0636
1106.000000, 80.120, -75.9507
1120.000000, 80.258, -75.0293
1138.000000, 80.434, -73.9193
1150.000000, 80.550, -73.2127
1172.000000, 80.752, -71.9889
1180.000000, 80.824, -71.5742
1206.000000, 81.057, -70.2935
1220.000000, 81.178, -69.6185
1241.000000, 81.351, -68.6422
1250.000000, 81.422, -68.2428
1265.000000, 81.539, -67.5951
1280.000000, 81.652, -66.9619
1315.000000, 81.904, -65.5813
1320.000000, 81.939, -65.3906
1340.000000, 82.075, -64.6094
1360.000000, 82.209, -63.8467
1380.000000, 82.339, -63.0966
1400.000000, 82.466, -62.3524
1430.000000, 82.650, -61.2444
1450.000000, 82.771, -60.5353
1475.000000, 82.919, -59.6831
1500.000000, 83.063, -58.8266
1525.000000, 83.210, -57.9657
1550.000000, 83.354, -57.1179
1575.000000, 83.494, -56.2861
1600.000000, 83.636, -55.4700
1625.000000, 83.779, -54.6824
1650.000000, 83.924, -53.9133
1675.000000, 84.071, -53.1586
1700.000000, 84.215, -52.4346
1725.000000, 84.360, -51.7391
1750.000000, 84.505, -51.0635
1775.000000, 84.650, -50.4212
1800.000000, 84.796, -49.8117
1825.000000, 84.944, -49.2224
1850.000000, 85.092, -48.6580
1875.000000, 85.239, -48.1380
1900.000000, 85.388, -47.6597
1925.000000, 85.537, -47.2343
1950.000000, 85.685, -46.8513
1975.000000, 85.831, -46.5017
2000.000000, 85.977, -46.2042
2030.000000, 86.151, -45.8981
2060.000000, 86.323, -45.6453
2090.000000, 86.491, -45.4627
2120.000000, 86.654, -45.3515
2140.000000, 86.761, -45.3200
2180.000000, 86.968, -45.3285
2200.000000, 87.069, -45.3769
2240.000000, 87.260, -45.5706
2270.000000, 87.396, -45.7818
2300.000000, 87.523, -46.0495
2330.000000, 87.641, -46.3675
2360.000000, 87.749, -46.7373
2400.000000, 87.876, -47.3235
2430.000000, 87.958, -47.8051
2470.000000, 88.050, -48.4907
2500.000000, 88.106, -49.0353
2540.000000, 88.161, -49.7936
2580.000000, 88.194, -50.5713
2620.000000, 88.205, -51.3490
2650.000000, 88.200, -51.9201
2690.000000, 88.175, -52.6557
2720.000000, 88.144, -53.1839
2760.000000, 88.086, -53.8440
2800.000000, 88.012, -54.4464
2850.000000, 87.897, -55.1044
2900.000000, 87.762, -55.6538
2950.000000, 87.613, -56.0785
3000.000000, 87.453, -56.3695
3040.000000, 87.317, -56.5229
3070.000000, 87.210, -56.5834
3110.000000, 87.064, -56.5965
3150.000000, 86.915, -56.5319
3200.000000, 86.728, -56.3486
3250.000000, 86.540, -56.0621
3300.000000, 86.353, -55.6811
3350.000000, 86.167, -55.2214
3400.000000, 85.985, -54.6685
3450.000000, 85.807, -54.0413
3500.000000, 85.631, -53.3526
3550.000000, 85.462, -52.6080
3600.000000, 85.296, -51.8206
3650.000000, 85.135, -50.9850
3700.000000, 84.979, -50.0995
3750.000000, 84.829, -49.1846
3820.000000, 84.625, -47.8545
3870.000000, 84.485, -46.8740
3950.000000, 84.271, -45.2827
4000.000000, 84.144, -44.2719
4060.000000, 83.997, -43.0216
4120.000000, 83.856, -41.7580
4180.000000, 83.721, -40.4832
4250.000000, 83.570, -38.9795
4310.000000, 83.447, -37.6931
4370.000000, 83.329, -36.3878
4440.000000, 83.198, -34.8604
4500.000000, 83.093, -33.5411
4550.000000, 83.008, -32.4660
4620.000000, 82.895, -30.9777
4680.000000, 82.802, -29.7057
4750.000000, 82.698, -28.2571
4820.000000, 82.596, -26.8598
4870.000000, 82.524, -25.8680
4940.000000, 82.422, -24.4846
5000.000000, 82.331, -23.3098
5080.000000, 82.209, -21.7768
5150.000000, 82.101, -20.4266
5220.000000, 81.988, -19.0795
5300.000000, 81.860, -17.5334
5380.000000, 81.729, -15.9488
5450.000000, 81.610, -14.5527
5520.000000, 81.489, -13.1310
5600.000000, 81.350, -11.4491
5700.000000, 81.180, -9.2689
5800.000000, 81.012, -7.0135
5900.000000, 80.854, -4.6633
6000.000000, 80.706, -2.2212
6080.000000, 80.597, -0.2278
6150.000000, 80.509, 1.5250
6220.000000, 80.425, 3.2834
6300.000000, 80.332, 5.3297
6400.000000, 80.224, 7.9424
6500.000000, 80.128, 10.6062
6600.000000, 80.035, 13.3820
6700.000000, 79.959, 16.4767
6800.000000, 79.968, 19.7430
6900.000000, 80.014, 22.4746
7000.000000, 80.035, 25.1722
7100.000000, 80.074, 28.0439
7200.000000, 80.147, 30.9769
7300.000000, 80.250, 33.9116
7400.000000, 80.386, 36.8263
7500.000000, 80.558, 39.7095
7620.000000, 80.818, 43.1144
7750.000000, 81.173, 46.7179
7880.000000, 81.609, 50.1429
8000.000000, 82.092, 53.1017
8120.000000, 82.658, 55.7935
8250.000000, 83.384, 58.2790
8380.000000, 84.241, 60.1259
8500.000000, 85.162, 61.0492
8620.000000, 86.216, 60.8868
8750.000000, 87.495, 58.9286
8850.000000, 88.539, 55.6883
9000.000000, 90.028, 47.1908
9120.000000, 90.912, 37.1197
9250.000000, 91.285, 23.9953
9380.000000, 90.934, 10.7544
9500.000000, 90.066, 0.3569
9620.000000, 88.892, -7.3593
9750.000000, 87.520, -12.7205
9880.000000, 86.211, -15.6217
10000.000000, 85.125, -16.7782
10150.000000, 83.952, -16.9303
10300.000000, 82.972, -16.2633
10440.000000, 82.208, -15.2668
10600.000000, 81.489, -13.9717
10750.000000, 80.936, -12.7987
10900.000000, 80.474, -11.8304
11060.000000, 80.060, -11.1602
11200.000000, 79.741, -10.9506
11380.000000, 79.351, -11.2615
11500.000000, 79.085, -11.8160
11720.000000, 78.536, -13.4492
11800.000000, 78.308, -14.2066
12060.000000, 77.418, -16.8743
12200.000000, 76.839, -18.2181
12410.000000, 75.857, -19.7288
12500.000000, 75.403, -20.1320
12650.000000, 74.611, -20.4496
12800.000000, 73.793, -20.2782
13150.000000, 71.864, -18.0473
13200.000000, 71.593, -17.5632
13400.000000, 70.523, -15.2094
13600.000000, 69.461, -12.1571
13800.000000, 68.389, -8.4342
14000.000000, 67.263, -3.3694
14300.000000, 65.821, 11.9458
14500.000000, 66.277, 27.0492
14750.000000, 67.953, 32.2459
15000.000000, 68.526, 28.4053
15250.000000, 68.384, 26.9966
15500.000000, 68.290, 28.1608
15750.000000, 68.475, 29.8590
16000.000000, 68.933, 30.6470
16250.000000, 69.607, 29.6102
16500.000000, 70.426, 25.9032
16750.000000, 71.184, 18.5436
17000.000000, 71.575, 7.4946
17250.000000, 71.302, -5.8247
17500.000000, 70.252, -19.2344
17750.000000, 68.557, -30.8002
18000.000000, 66.473, -40.0874
18250.000000, 64.151, -48.0978
18500.000000, 61.584, -55.9584
18750.000000, 58.606, -63.7320
19000.000000, 54.968, -70.1997
19250.000000, 50.621, -73.3166
19500.000000, 45.837, -71.6317
19750.000000, 41.309, -64.1073
