* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 10, 2025 8:55:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Zenith (Stock UUUD Shall) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 86.901, -151.7681
20.600000, 86.983, -152.3471
20.900000, 87.066, -153.1646
21.200001, 87.118, -154.1074
21.400000, 87.130, -154.7413
21.799999, 87.111, -155.8627
22.000000, 87.092, -156.3064
22.400000, 87.065, -156.9574
22.700001, 87.068, -157.3060
23.000000, 87.093, -157.6152
23.299999, 87.132, -157.9390
23.600000, 87.174, -158.3036
24.000000, 87.224, -158.8685
24.299999, 87.251, -159.3600
24.700001, 87.273, -160.1178
25.000000, 87.278, -160.7552
25.400000, 87.272, -161.6431
25.799999, 87.254, -162.4763
26.200001, 87.228, -163.1615
26.500000, 87.206, -163.5544
26.900000, 87.175, -163.9326
27.200001, 87.154, -164.1373
27.600000, 87.139, -164.3686
28.000000, 87.157, -164.6499
28.500000, 87.238, -165.2388
29.000000, 87.350, -166.1503
29.500000, 87.426, -167.1668
30.000000, 87.422, -167.9360
30.400000, 87.374, -168.2854
30.700001, 87.329, -168.4718
31.100000, 87.276, -168.7861
31.500000, 87.239, -169.3075
32.000000, 87.211, -170.1695
32.500000, 87.207, -170.9255
33.000000, 87.234, -171.3584
33.500000, 87.272, -171.6377
34.000000, 87.281, -172.0863
34.500000, 87.235, -172.8397
35.000000, 87.155, -173.7729
35.500000, 87.085, -174.6320
36.000000, 87.051, -175.1964
36.500000, 87.048, -175.4083
37.000000, 87.058, -175.4484
37.500000, 87.060, -175.6386
38.200001, 87.027, -176.4382
38.700001, 86.990, -177.1523
39.500000, 86.979, -177.8962
40.000000, 86.993, -178.1756
40.599998, 86.966, -178.5311
41.200001, 86.877, -178.8440
41.799999, 86.799, -179.0341
42.500000, 86.775, -179.2910
43.099998, 86.755, -179.6176
43.700001, 86.692, -179.9232
44.400002, 86.622, 179.6615
45.000000, 86.615, 179.0179
45.500000, 86.636, 178.2929
46.200001, 86.649, 177.3031
46.799999, 86.612, 176.6945
47.500000, 86.538, 176.3069
48.200001, 86.489, 176.1667
48.700001, 86.470, 176.1530
49.400002, 86.415, 176.2349
50.000000, 86.329, 176.3486
50.799999, 86.240, 176.1790
51.500000, 86.230, 175.5948
52.200001, 86.236, 175.1522
53.000000, 86.221, 175.1024
53.799999, 86.176, 174.7065
54.500000, 86.113, 174.0156
55.200001, 86.067, 173.7191
56.000000, 86.034, 173.7368
57.000000, 85.964, 172.6438
58.000000, 86.137, 169.8864
59.000000, 86.317, 167.3349
60.000000, 85.927, 168.6327
60.799999, 85.649, 171.4473
61.500000, 85.632, 172.1674
62.200001, 85.585, 171.5297
63.000000, 85.326, 171.4263
64.000000, 85.032, 171.4526
65.000000, 85.159, 170.1755
66.000000, 85.553, 170.1076
67.000000, 85.553, 171.0142
68.000000, 85.153, 171.3981
69.000000, 85.074, 170.5068
70.000000, 85.200, 169.5582
71.000000, 85.161, 169.8712
72.000000, 85.127, 169.3651
73.000000, 85.079, 167.7496
74.000000, 84.960, 167.4792
75.000000, 84.885, 168.0908
76.199997, 84.856, 168.0923
77.500000, 84.782, 167.9377
78.800003, 84.620, 168.7717
80.000000, 84.509, 168.9907
81.199997, 84.402, 167.7953
82.500000, 84.320, 167.1531
83.800003, 84.291, 167.4098
85.000000, 84.281, 167.2526
86.199997, 84.175, 166.6554
87.500000, 84.005, 166.4913
88.500000, 83.925, 166.4736
90.000000, 83.816, 166.3225
91.199997, 83.751, 166.4788
92.500000, 83.720, 166.8351
93.800003, 83.656, 167.1645
95.000000, 83.516, 167.6065
96.199997, 83.377, 168.1669
97.500000, 83.336, 168.8718
98.800003, 83.349, 169.8856
100.000000, 83.361, 170.7830
101.500000, 83.428, 171.6921
103.000000, 83.444, 171.8157
104.400002, 83.393, 171.3605
106.000000, 83.438, 170.9495
107.500000, 83.536, 170.6799
109.000000, 83.533, 170.6175
110.599998, 83.475, 170.1897
112.000000, 83.391, 169.6953
113.800003, 83.285, 169.1384
115.000000, 83.266, 168.8691
117.199997, 83.199, 168.6260
118.000000, 83.178, 168.5391
120.599998, 83.056, 168.3161
122.000000, 82.936, 168.4695
124.099998, 82.818, 168.6322
125.000000, 82.793, 168.7198
126.500000, 82.743, 168.9357
128.000000, 82.684, 169.2672
131.500000, 82.531, 169.4680
