* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 10, 2025 8:38:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Zenith (Stock UUUD) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 86.121, -148.2012
20.600000, 86.144, -148.9227
20.900000, 86.163, -149.6384
21.200001, 86.183, -150.2382
21.400000, 86.199, -150.5874
21.799999, 86.239, -151.2497
22.000000, 86.259, -151.5960
22.400000, 86.285, -152.3450
22.700001, 86.289, -152.9309
23.000000, 86.283, -153.4979
23.299999, 86.276, -154.0220
23.600000, 86.277, -154.5060
24.000000, 86.299, -155.1333
24.299999, 86.328, -155.6252
24.700001, 86.371, -156.3230
25.000000, 86.397, -156.8564
25.400000, 86.420, -157.5363
25.799999, 86.436, -158.1588
26.200001, 86.453, -158.7499
26.500000, 86.469, -159.2003
26.900000, 86.494, -159.8247
27.200001, 86.512, -160.2948
27.600000, 86.529, -160.8793
28.000000, 86.538, -161.3765
28.500000, 86.540, -161.8873
29.000000, 86.533, -162.3730
29.500000, 86.520, -162.9276
30.000000, 86.505, -163.5644
30.400000, 86.502, -164.1041
30.700001, 86.507, -164.5101
31.100000, 86.523, -165.0369
31.500000, 86.541, -165.5276
32.000000, 86.555, -166.0621
32.500000, 86.555, -166.5151
33.000000, 86.551, -166.9715
33.500000, 86.545, -167.5446
34.000000, 86.531, -168.2508
34.500000, 86.503, -168.9547
35.000000, 86.468, -169.4885
35.500000, 86.446, -169.8268
36.000000, 86.446, -170.1215
36.500000, 86.455, -170.5391
37.000000, 86.453, -171.0840
37.500000, 86.434, -171.6151
38.200001, 86.403, -172.1386
38.700001, 86.389, -172.4108
39.500000, 86.359, -172.9471
40.000000, 86.329, -173.3766
40.599998, 86.297, -173.9050
41.200001, 86.288, -174.3733
41.799999, 86.298, -174.7756
42.500000, 86.297, -175.2418
43.099998, 86.262, -175.6874
43.700001, 86.207, -176.1193
44.400002, 86.163, -176.4930
45.000000, 86.165, -176.7204
45.500000, 86.177, -176.9135
46.200001, 86.171, -177.2661
46.799999, 86.137, -177.6921
47.500000, 86.084, -178.3499
48.200001, 86.037, -179.0174
48.700001, 86.010, -179.3510
49.400002, 85.981, -179.5891
50.000000, 85.958, -179.7574
50.799999, 85.915, 179.8564
51.500000, 85.876, 179.4752
52.200001, 85.859, 179.1851
53.000000, 85.860, 178.8585
53.799999, 85.843, 178.4955
54.500000, 85.822, 178.2909
55.200001, 85.818, 178.1011
56.000000, 85.788, 177.6286
57.000000, 85.636, 177.0175
58.000000, 85.508, 176.9380
59.000000, 85.492, 176.7400
60.000000, 85.472, 176.2126
60.799999, 85.433, 175.7937
61.500000, 85.386, 175.5356
62.200001, 85.338, 175.4036
63.000000, 85.313, 175.1646
64.000000, 85.316, 174.3384
65.000000, 85.269, 173.8217
66.000000, 85.212, 174.3125
67.000000, 85.170, 174.3776
68.000000, 85.084, 173.7118
69.000000, 85.016, 173.2841
70.000000, 84.967, 173.1475
71.000000, 84.904, 173.1482
72.000000, 84.866, 173.0427
73.000000, 84.843, 172.6851
74.000000, 84.818, 172.2823
75.000000, 84.786, 172.0176
76.199997, 84.741, 171.9553
77.500000, 84.692, 171.8574
78.800003, 84.604, 171.6627
80.000000, 84.505, 171.4192
81.199997, 84.436, 171.2848
82.500000, 84.393, 171.2819
83.800003, 84.338, 170.9995
85.000000, 84.276, 170.7002
86.199997, 84.214, 170.6149
87.500000, 84.156, 170.5558
88.500000, 84.109, 170.4878
90.000000, 84.039, 170.4160
91.199997, 83.988, 170.3627
92.500000, 83.922, 170.2560
93.800003, 83.857, 170.1255
95.000000, 83.818, 170.0734
96.199997, 83.772, 170.0179
97.500000, 83.704, 169.9471
98.800003, 83.646, 169.9277
100.000000, 83.599, 169.9327
101.500000, 83.531, 169.9133
103.000000, 83.469, 169.8514
104.400002, 83.418, 169.8857
106.000000, 83.350, 169.9676
107.500000, 83.281, 169.9545
109.000000, 83.215, 169.9731
110.599998, 83.133, 170.0394
112.000000, 83.048, 169.9579
113.800003, 82.984, 169.9534
115.000000, 82.964, 170.0217
117.199997, 82.904, 170.1292
118.000000, 82.873, 170.2155
120.599998, 82.774, 170.2732
122.000000, 82.720, 170.2674
124.099998, 82.642, 170.2778
125.000000, 82.616, 170.3037
126.500000, 82.570, 170.4421
128.000000, 82.516, 170.6234
131.500000, 82.385, 170.8442
132.000000, 82.366, 170.8831
134.000000, 82.300, 171.0680
136.000000, 82.233, 171.1601
138.000000, 82.165, 171.2371
140.000000, 82.110, 171.4310
143.000000, 82.036, 171.6895
145.000000, 81.971, 171.8817
147.500000, 81.871, 172.1367
150.000000, 81.793, 172.4426
152.500000, 81.724, 172.6040
155.000000, 81.651, 172.7992
157.500000, 81.572, 173.0882
160.000000, 81.501, 173.3625
162.500000, 81.438, 173.7157
165.000000, 81.358, 173.9963
167.500000, 81.290, 174.2153
170.000000, 81.230, 174.4940
172.500000, 81.172, 174.7787
175.000000, 81.104, 175.0950
177.500000, 81.035, 175.4694
180.000000, 80.969, 175.7572
182.500000, 80.903, 175.9852
185.000000, 80.851, 176.1799
187.500000, 80.804, 176.4272
190.000000, 80.747, 176.7832
192.500000, 80.686, 177.1513
195.000000, 80.628, 177.5532
197.500000, 80.572, 177.9359
200.000000, 80.506, 178.2565
203.000000, 80.420, 178.6638
206.000000, 80.344, 179.1431
209.000000, 80.263, 179.7851
212.000000, 80.182, -179.4454
214.000000, 80.152, -178.9334
218.000000, 80.141, -177.7176
220.000000, 80.150, -177.1203
224.000000, 80.194, -176.4846
227.000000, 80.232, -176.5069
230.000000, 80.251, -176.5598
233.000000, 80.223, -176.3253
236.000000, 80.145, -175.9090
240.000000, 80.043, -175.5388
243.000000, 79.981, -175.2825
247.000000, 79.916, -174.9410
250.000000, 79.873, -174.5985
254.000000, 79.813, -174.0351
258.000000, 79.752, -173.5366
262.000000, 79.692, -173.0279
265.000000, 79.649, -172.6109
269.000000, 79.602, -172.0956
272.000000, 79.565, -171.7051
276.000000, 79.509, -171.1954
280.000000, 79.459, -170.6804
285.000000, 79.403, -169.9651
290.000000, 79.352, -169.2354
295.000000, 79.304, -168.6046
300.000000, 79.250, -167.9555
304.000000, 79.210, -167.3888
307.000000, 79.181, -166.9889
311.000000, 79.143, -166.4699
315.000000, 79.107, -165.9330
320.000000, 79.061, -165.2452
325.000000, 79.021, -164.5685
330.000000, 78.983, -163.9610
335.000000, 78.939, -163.3190
340.000000, 78.897, -162.6675
345.000000, 78.859, -162.0076
350.000000, 78.826, -161.2938
355.000000, 78.794, -160.6297
360.000000, 78.759, -159.9735
365.000000, 78.720, -159.3288
370.000000, 78.684, -158.7163
375.000000, 78.654, -158.0753
382.000000, 78.613, -157.1580
387.000000, 78.583, -156.4787
395.000000, 78.542, -155.4556
400.000000, 78.519, -154.8435
406.000000, 78.491, -154.0652
412.000000, 78.464, -153.2755
418.000000, 78.439, -152.5068
425.000000, 78.406, -151.6031
431.000000, 78.373, -150.8091
437.000000, 78.343, -150.0619
444.000000, 78.312, -149.2555
450.000000, 78.292, -148.5349
455.000000, 78.276, -147.8923
462.000000, 78.253, -146.9701
468.000000, 78.232, -146.1983
475.000000, 78.207, -145.3401
482.000000, 78.184, -144.5262
487.000000, 78.169, -143.9720
494.000000, 78.147, -143.1691
500.000000, 78.129, -142.4153
508.000000, 78.111, -141.3854
515.000000, 78.097, -140.5119
522.000000, 78.082, -139.6516
530.000000, 78.065, -138.6866
538.000000, 78.050, -137.7180
545.000000, 78.037, -136.8575
552.000000, 78.023, -136.0175
560.000000, 78.012, -135.0771
570.000000, 78.001, -133.8822
580.000000, 77.989, -132.6619
590.000000, 77.975, -131.4990
600.000000, 77.964, -130.3466
608.000000, 77.959, -129.4140
615.000000, 77.957, -128.5939
622.000000, 77.956, -127.7709
630.000000, 77.956, -126.7968
640.000000, 77.955, -125.6269
650.000000, 77.954, -124.5045
660.000000, 77.956, -123.3295
670.000000, 77.958, -122.1596
680.000000, 77.967, -121.0155
690.000000, 77.977, -119.8668
700.000000, 77.992, -118.7162
710.000000, 78.014, -117.5762
720.000000, 78.036, -116.4613
730.000000, 78.057, -115.3450
740.000000, 78.083, -114.2545
750.000000, 78.116, -113.1908
762.000000, 78.161, -111.9477
775.000000, 78.208, -110.6890
788.000000, 78.258, -109.6389
800.000000, 78.285, -108.8971
812.000000, 78.252, -108.2716
825.000000, 78.125, -107.3277
838.000000, 77.975, -105.4901
850.000000, 77.917, -103.1858
862.000000, 77.953, -100.8835
875.000000, 78.048, -98.7004
885.000000, 78.132, -97.2414
900.000000, 78.263, -95.2931
912.000000, 78.369, -93.8658
925.000000, 78.481, -92.3869
938.000000, 78.593, -90.9820
