* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 10, 2025 8:34:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Zenith (Stock UUUU) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 85.823, -147.8145
20.600000, 85.828, -148.3148
20.900000, 85.834, -148.9020
21.200001, 85.847, -149.5214
21.400000, 85.859, -149.9450
21.799999, 85.893, -150.7896
22.000000, 85.911, -151.1939
22.400000, 85.945, -151.9313
22.700001, 85.966, -152.4128
23.000000, 85.983, -152.8462
23.299999, 85.999, -153.2618
23.600000, 86.015, -153.6958
24.000000, 86.038, -154.3476
24.299999, 86.057, -154.8969
24.700001, 86.081, -155.6710
25.000000, 86.098, -156.2402
25.400000, 86.120, -156.9316
25.799999, 86.141, -157.5304
26.200001, 86.161, -158.0700
26.500000, 86.173, -158.4690
26.900000, 86.185, -159.0253
27.200001, 86.191, -159.4641
27.600000, 86.197, -160.0614
28.000000, 86.208, -160.6462
28.500000, 86.228, -161.3352
29.000000, 86.247, -161.9745
29.500000, 86.252, -162.5661
30.000000, 86.238, -163.1187
30.400000, 86.224, -163.5630
30.700001, 86.218, -163.9235
31.100000, 86.217, -164.4622
31.500000, 86.223, -165.0536
32.000000, 86.230, -165.7680
32.500000, 86.232, -166.3146
33.000000, 86.234, -166.6600
33.500000, 86.242, -166.9472
34.000000, 86.248, -167.3719
34.500000, 86.236, -167.9962
35.000000, 86.202, -168.7018
35.500000, 86.165, -169.3154
36.000000, 86.147, -169.7692
36.500000, 86.149, -170.1260
37.000000, 86.154, -170.4731
37.500000, 86.142, -170.8317
38.200001, 86.101, -171.3229
38.700001, 86.076, -171.6994
39.500000, 86.065, -172.4537
40.000000, 86.060, -172.9540
40.599998, 86.045, -173.4462
41.200001, 86.021, -173.8240
41.799999, 85.992, -174.2170
42.500000, 85.955, -174.7627
43.099998, 85.934, -175.2300
43.700001, 85.926, -175.6514
44.400002, 85.912, -176.0784
45.000000, 85.881, -176.3286
45.500000, 85.859, -176.4489
46.200001, 85.864, -176.6717
46.799999, 85.882, -177.0765
47.500000, 85.863, -177.6811
48.200001, 85.792, -178.1473
48.700001, 85.740, -178.3930
49.400002, 85.696, -178.7934
50.000000, 85.678, -179.2180
50.799999, 85.652, -179.6909
51.500000, 85.620, -179.9460
52.200001, 85.586, 179.7918
53.000000, 85.553, 179.3570
53.799999, 85.519, 178.9029
54.500000, 85.484, 178.5999
55.200001, 85.445, 178.3390
56.000000, 85.401, 178.0223
57.000000, 85.357, 177.6525
58.000000, 85.297, 177.2526
59.000000, 85.222, 176.8687
60.000000, 85.217, 176.6437
60.799999, 85.225, 176.5454
61.500000, 85.202, 176.4777
62.200001, 85.166, 176.2272
63.000000, 85.120, 175.5921
64.000000, 85.046, 175.0107
65.000000, 84.981, 175.0234
66.000000, 84.917, 174.8553
67.000000, 84.879, 174.5582
68.000000, 84.882, 174.3484
69.000000, 84.817, 174.2101
70.000000, 84.701, 174.2266
71.000000, 84.634, 173.9998
72.000000, 84.586, 173.5089
73.000000, 84.537, 173.2595
74.000000, 84.501, 173.1687
75.000000, 84.458, 173.0538
76.199997, 84.402, 172.8568
77.500000, 84.333, 172.5587
78.800003, 84.272, 172.2734
80.000000, 84.218, 172.1968
81.199997, 84.154, 172.2188
82.500000, 84.091, 172.0558
83.800003, 84.045, 171.8160
85.000000, 83.989, 171.6468
86.199997, 83.933, 171.5372
87.500000, 83.880, 171.4837
88.500000, 83.835, 171.4299
90.000000, 83.766, 171.2739
91.199997, 83.709, 171.1859
92.500000, 83.651, 171.1092
93.800003, 83.591, 171.0529
95.000000, 83.533, 171.0219
96.199997, 83.482, 170.9805
97.500000, 83.428, 170.9459
98.800003, 83.369, 170.8888
100.000000, 83.317, 170.8428
101.500000, 83.253, 170.8248
103.000000, 83.190, 170.8294
104.400002, 83.128, 170.8504
106.000000, 83.052, 170.8453
107.500000, 82.996, 170.8463
109.000000, 82.947, 170.8525
110.599998, 82.892, 170.9031
112.000000, 82.836, 170.9485
113.800003, 82.755, 170.9980
115.000000, 82.704, 171.0239
117.199997, 82.619, 171.0843
118.000000, 82.589, 171.1189
120.599998, 82.502, 171.2046
122.000000, 82.451, 171.2718
124.099998, 82.373, 171.4568
125.000000, 82.341, 171.5354
126.500000, 82.290, 171.6360
128.000000, 82.241, 171.7217
131.500000, 82.109, 172.0207
132.000000, 82.091, 172.0617
134.000000, 82.023, 172.1996
136.000000, 81.955, 172.3428
138.000000, 81.895, 172.4915
140.000000, 81.833, 172.5959
143.000000, 81.746, 172.9112
145.000000, 81.682, 173.1147
147.500000, 81.601, 173.3378
150.000000, 81.528, 173.6125
152.500000, 81.453, 173.9297
155.000000, 81.378, 174.1872
157.500000, 81.309, 174.4542
160.000000, 81.240, 174.7834
162.500000, 81.166, 175.0753
165.000000, 81.089, 175.3824
167.500000, 81.024, 175.6737
170.000000, 80.956, 175.9665
172.500000, 80.875, 176.3049
175.000000, 80.798, 176.6490
177.500000, 80.724, 177.0352
180.000000, 80.648, 177.5853
182.500000, 80.589, 178.1290
185.000000, 80.541, 178.5552
187.500000, 80.492, 178.9951
190.000000, 80.462, 179.4932
192.500000, 80.454, 179.9543
195.000000, 80.442, -179.6376
197.500000, 80.421, -179.2771
200.000000, 80.403, -179.0205
203.000000, 80.373, -178.7104
206.000000, 80.337, -178.3348
209.000000, 80.298, -177.9628
212.000000, 80.255, -177.6557
214.000000, 80.222, -177.4668
218.000000, 80.151, -177.0774
220.000000, 80.122, -176.9177
224.000000, 80.062, -176.5737
227.000000, 80.017, -176.2285
230.000000, 79.973, -175.8398
