* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 2, 2024 1:59:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Zero 2 (Stock M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 84.264, -176.1145
20.600000, 84.243, -176.6715
20.900000, 84.205, -177.4512
21.200001, 84.148, -178.4019
21.400000, 84.104, -179.0826
21.799999, 84.012, 179.6262
22.000000, 83.973, 179.0991
22.400000, 83.933, 178.4175
22.700001, 83.941, 178.2466
23.000000, 83.975, 178.3079
23.299999, 84.020, 178.5128
23.600000, 84.056, 178.7747
24.000000, 84.070, 179.0905
24.299999, 84.050, 179.2307
24.700001, 84.000, 179.1965
25.000000, 83.962, 178.9639
25.400000, 83.936, 178.3858
25.799999, 83.951, 177.6216
26.200001, 84.004, 176.8802
26.500000, 84.055, 176.4550
26.900000, 84.108, 176.1370
27.200001, 84.122, 176.0746
27.600000, 84.088, 176.1405
28.000000, 84.006, 176.2241
28.500000, 83.886, 176.0393
29.000000, 83.830, 175.1960
29.500000, 83.867, 173.6564
30.000000, 83.944, 171.9121
30.400000, 83.979, 170.8698
30.700001, 83.973, 170.4805
31.100000, 83.930, 170.4891
31.500000, 83.867, 170.8483
32.000000, 83.786, 171.1222
32.500000, 83.696, 170.6617
33.000000, 83.582, 169.6097
33.500000, 83.462, 168.6815
34.000000, 83.385, 168.4607
34.500000, 83.381, 168.8754
35.000000, 83.423, 169.3372
35.500000, 83.443, 169.3650
36.000000, 83.400, 168.9470
36.500000, 83.314, 168.4124
37.000000, 83.240, 168.0629
37.500000, 83.222, 167.9265
38.200001, 83.266, 167.7200
38.700001, 83.299, 167.3749
39.500000, 83.316, 166.6433
40.000000, 83.318, 166.2326
40.599998, 83.290, 165.8468
41.200001, 83.179, 165.6699
41.799999, 82.990, 165.8587
42.500000, 82.821, 166.3058
43.099998, 82.817, 166.1714
43.700001, 82.873, 165.2797
44.400002, 82.845, 164.0749
45.000000, 82.720, 163.6835
45.500000, 82.600, 163.8057
46.200001, 82.472, 164.0567
46.799999, 82.402, 164.0729
47.500000, 82.371, 163.9500
48.200001, 82.386, 163.4944
48.700001, 82.378, 162.8435
49.400002, 82.283, 161.8846
50.000000, 82.159, 161.6367
50.799999, 82.067, 162.2593
51.500000, 82.066, 162.7971
52.200001, 82.053, 162.7515
53.000000, 82.009, 162.2522
53.799999, 81.981, 161.6005
54.500000, 81.926, 161.0306
55.200001, 81.813, 160.6582
56.000000, 81.691, 160.4474
57.000000, 81.636, 160.0838
58.000000, 81.600, 160.0837
59.000000, 81.567, 160.4577
60.000000, 81.497, 160.1508
60.799999, 81.401, 159.6711
61.500000, 81.331, 159.3115
62.200001, 81.273, 158.9879
63.000000, 81.206, 158.7318
64.000000, 81.094, 158.5749
65.000000, 80.927, 158.7229
66.000000, 80.853, 159.0485
67.000000, 80.849, 158.8597
68.000000, 80.790, 158.7954
69.000000, 80.781, 158.8392
70.000000, 80.824, 158.5595
71.000000, 80.815, 158.5379
72.000000, 80.718, 158.5726
73.000000, 80.580, 158.2375
74.000000, 80.501, 157.8763
75.000000, 80.446, 157.7184
76.199997, 80.347, 157.8033
77.500000, 80.332, 157.6611
78.800003, 80.288, 157.4929
80.000000, 80.186, 157.7365
81.199997, 80.088, 157.9705
82.500000, 80.007, 157.8824
83.800003, 79.913, 157.7106
85.000000, 79.844, 157.9738
86.199997, 79.777, 158.1606
87.500000, 79.708, 158.0210
88.500000, 79.660, 157.8414
90.000000, 79.573, 157.8139
91.199997, 79.522, 157.9772
92.500000, 79.482, 158.2159
93.800003, 79.411, 158.3384
95.000000, 79.331, 158.3384
96.199997, 79.252, 158.3578
97.500000, 79.170, 158.3574
98.800003, 79.097, 158.3745
100.000000, 79.036, 158.5869
101.500000, 78.953, 158.7313
103.000000, 78.878, 158.6465
104.400002, 78.815, 158.6737
106.000000, 78.758, 158.5971
107.500000, 78.692, 158.8495
109.000000, 78.612, 159.3327
110.599998, 78.529, 159.6279
112.000000, 78.439, 159.7447
113.800003, 78.339, 159.9611
115.000000, 78.286, 160.0018
117.199997, 78.184, 160.0422
118.000000, 78.153, 160.0483
120.599998, 78.086, 160.2701
122.000000, 78.036, 160.4102
124.099998, 77.937, 160.5584
125.000000, 77.891, 160.7328
126.500000, 77.816, 161.0240
128.000000, 77.751, 161.1700
131.500000, 77.628, 161.5123
132.000000, 77.608, 161.5391
134.000000, 77.550, 161.6622
