* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: May 24, 2025 3:30:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Zero Blue 2 (5ohm, Foam) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 79.952, -172.7657
20.600000, 79.939, -173.2782
20.900000, 79.921, -173.8386
21.200001, 79.904, -174.3808
21.400000, 79.896, -174.7312
21.799999, 79.891, -175.4144
22.000000, 79.891, -175.7489
22.400000, 79.893, -176.3986
22.700001, 79.890, -176.8612
23.000000, 79.882, -177.2999
23.299999, 79.870, -177.7229
23.600000, 79.855, -178.1476
24.000000, 79.836, -178.7502
24.299999, 79.824, -179.2437
24.700001, 79.811, -179.9467
25.000000, 79.802, 179.5185
25.400000, 79.792, 178.8404
25.799999, 79.783, 178.2338
26.200001, 79.773, 177.6954
26.500000, 79.763, 177.3169
26.900000, 79.745, 176.8157
27.200001, 79.728, 176.4299
27.600000, 79.701, 175.9000
28.000000, 79.674, 175.3648
28.500000, 79.645, 174.7134
29.000000, 79.622, 174.0970
29.500000, 79.599, 173.5099
30.000000, 79.570, 172.9328
30.400000, 79.543, 172.4656
30.700001, 79.520, 172.1085
31.100000, 79.491, 171.6245
31.500000, 79.463, 171.1385
32.000000, 79.432, 170.5469
32.500000, 79.400, 169.9928
33.000000, 79.366, 169.4799
33.500000, 79.330, 168.9861
34.000000, 79.296, 168.4767
34.500000, 79.265, 167.9350
35.000000, 79.234, 167.3820
35.500000, 79.202, 166.8609
36.000000, 79.168, 166.3948
36.500000, 79.132, 165.9641
37.000000, 79.096, 165.5269
37.500000, 79.060, 165.0605
38.200001, 79.011, 164.3859
38.700001, 78.977, 163.9226
39.500000, 78.916, 163.2311
40.000000, 78.873, 162.8167
40.599998, 78.818, 162.3247
41.200001, 78.768, 161.8308
41.799999, 78.723, 161.3340
42.500000, 78.668, 160.7698
43.099998, 78.613, 160.3155
43.700001, 78.557, 159.8751
44.400002, 78.496, 159.3433
45.000000, 78.446, 158.8759
45.500000, 78.405, 158.5057
46.200001, 78.346, 158.0361
46.799999, 78.297, 157.6441
47.500000, 78.241, 157.1451
48.200001, 78.180, 156.6254
48.700001, 78.134, 156.2872
49.400002, 78.068, 155.8853
50.000000, 78.015, 155.5718
50.799999, 77.947, 155.1313
51.500000, 77.885, 154.7271
52.200001, 77.819, 154.3348
53.000000, 77.745, 153.8845
53.799999, 77.677, 153.3879
54.500000, 77.617, 152.9365
55.200001, 77.551, 152.5238
56.000000, 77.468, 152.1223
57.000000, 77.367, 151.6645
58.000000, 77.278, 151.1888
59.000000, 77.187, 150.7019
60.000000, 77.091, 150.2119
60.799999, 77.015, 149.8225
61.500000, 76.950, 149.4998
62.200001, 76.884, 149.1935
63.000000, 76.808, 148.8518
64.000000, 76.712, 148.4520
65.000000, 76.613, 148.0978
66.000000, 76.508, 147.7545
67.000000, 76.411, 147.3885
68.000000, 76.323, 147.0185
69.000000, 76.227, 146.6746
70.000000, 76.125, 146.3315
71.000000, 76.027, 145.9912
72.000000, 75.934, 145.6998
73.000000, 75.837, 145.4487
74.000000, 75.736, 145.2144
75.000000, 75.639, 144.9762
76.199997, 75.525, 144.6535
77.500000, 75.406, 144.3576
78.800003, 75.290, 144.0781
80.000000, 75.168, 143.8159
81.199997, 75.048, 143.5861
82.500000, 74.925, 143.3502
83.800003, 74.804, 143.1483
85.000000, 74.688, 142.9936
86.199997, 74.568, 142.8064
87.500000, 74.445, 142.6057
88.500000, 74.355, 142.5129
90.000000, 74.209, 142.3972
91.199997, 74.088, 142.2823
92.500000, 73.960, 142.1456
93.800003, 73.834, 142.0316
95.000000, 73.722, 141.9498
96.199997, 73.613, 141.9271
97.500000, 73.494, 141.9146
98.800003, 73.373, 141.8722
100.000000, 73.262, 141.8719
101.500000, 73.125, 141.9028
103.000000, 72.996, 141.8746
104.400002, 72.878, 141.8347
106.000000, 72.732, 141.8710
107.500000, 72.598, 141.9811
109.000000, 72.467, 142.0855
110.599998, 72.314, 142.2078
112.000000, 72.186, 142.3107
113.800003, 72.038, 142.4890
115.000000, 71.937, 142.6638
117.199997, 71.755, 142.9845
118.000000, 71.692, 143.0750
120.599998, 71.487, 143.3857
122.000000, 71.373, 143.6957
124.099998, 71.207, 144.0543
125.000000, 71.137, 144.1609
126.500000, 71.021, 144.3633
128.000000, 70.910, 144.6157
131.500000, 70.654, 145.3552
132.000000, 70.620, 145.4751
134.000000, 70.483, 145.9759
136.000000, 70.343, 146.5338
138.000000, 70.209, 147.0526
140.000000, 70.073, 147.5624
143.000000, 69.873, 148.3052
145.000000, 69.751, 148.7697
147.500000, 69.601, 149.3620
150.000000, 69.461, 150.1121
152.500000, 69.336, 150.9590
155.000000, 69.208, 151.6612
157.500000, 69.087, 152.2616
160.000000, 68.965, 152.9930
162.500000, 68.848, 153.7692
165.000000, 68.747, 154.6045
167.500000, 68.643, 155.4243
170.000000, 68.542, 156.1863
172.500000, 68.445, 156.9105
175.000000, 68.350, 157.6691
177.500000, 68.266, 158.4737
180.000000, 68.202, 159.2126
182.500000, 68.138, 160.0287
185.000000, 68.071, 160.9570
187.500000, 67.999, 161.8494
190.000000, 67.931, 162.5780
192.500000, 67.866, 163.2076
195.000000, 67.814, 163.9153
197.500000, 67.760, 164.5903
200.000000, 67.709, 165.2909
203.000000, 67.662, 166.1806
206.000000, 67.611, 167.0012
209.000000, 67.565, 167.8293
212.000000, 67.529, 168.6824
214.000000, 67.505, 169.1894
218.000000, 67.457, 170.2268
220.000000, 67.435, 170.6890
224.000000, 67.396, 171.6042
227.000000, 67.364, 172.3419
230.000000, 67.335, 173.0461
233.000000, 67.314, 173.6930
236.000000, 67.304, 174.2750
240.000000, 67.303, 175.1345
243.000000, 67.294, 175.8266
247.000000, 67.264, 176.6839
250.000000, 67.233, 177.3640
254.000000, 67.200, 178.0984
258.000000, 67.181, 178.8187
262.000000, 67.172, 179.5476
265.000000, 67.162, -179.9317
269.000000, 67.146, -179.1787
272.000000, 67.137, -178.6579
276.000000, 67.120, -178.0450
280.000000, 67.109, -177.3909
285.000000, 67.105, -176.6252
290.000000, 67.088, -175.9332
295.000000, 67.065, -175.1941
300.000000, 67.053, -174.4332
304.000000, 67.045, -173.8958
307.000000, 67.036, -173.4918
311.000000, 67.022, -172.9795
315.000000, 67.010, -172.5126
320.000000, 66.993, -171.8460
325.000000, 66.971, -171.2409
330.000000, 66.959, -170.7000
335.000000, 66.948, -170.0973
340.000000, 66.932, -169.5246
345.000000, 66.909, -168.9367
350.000000, 66.889, -168.3157
355.000000, 66.859, -167.7279
360.000000, 66.836, -167.1590
365.000000, 66.828, -166.6317
370.000000, 66.811, -166.1449
375.000000, 66.798, -165.6133
382.000000, 66.767, -164.8342
387.000000, 66.742, -164.2686
395.000000, 66.706, -163.4955
400.000000, 66.679, -163.0666
406.000000, 66.656, -162.4537
412.000000, 66.641, -161.8121
418.000000, 66.624, -161.1687
425.000000, 66.602, -160.3951
431.000000, 66.563, -159.8393
437.000000, 66.521, -159.3066
444.000000, 66.477, -158.6092
450.000000, 66.449, -157.9983
455.000000, 66.434, -157.4851
462.000000, 66.412, -156.7534
468.000000, 66.381, -156.1252
475.000000, 66.352, -155.4640
482.000000, 66.324, -154.8221
487.000000, 66.299, -154.3568
494.000000, 66.268, -153.7189
500.000000, 66.236, -153.1622
508.000000, 66.186, -152.3573
515.000000, 66.151, -151.5941
522.000000, 66.121, -150.8664
530.000000, 66.075, -150.0980
538.000000, 66.038, -149.2213
545.000000, 66.013, -148.4799
552.000000, 65.985, -147.8316
560.000000, 65.947, -147.0495
570.000000, 65.902, -145.9734
580.000000, 65.868, -144.8767
590.000000, 65.827, -143.8683
600.000000, 65.782, -142.8247
608.000000, 65.742, -141.9721
615.000000, 65.713, -141.2312
622.000000, 65.692, -140.5491
630.000000, 65.668, -139.7641
640.000000, 65.638, -138.6622
650.000000, 65.602, -137.5875
660.000000, 65.567, -136.5508
670.000000, 65.543, -135.5214
680.000000, 65.516, -134.4605
690.000000, 65.486, -133.4079
700.000000, 65.456, -132.2932
710.000000, 65.434, -131.0959
720.000000, 65.422, -129.9521
730.000000, 65.392, -128.9007
740.000000, 65.369, -127.8089
750.000000, 65.364, -126.6816
762.000000, 65.359, -125.3543
775.000000, 65.347, -123.9212
788.000000, 65.327, -122.5561
800.000000, 65.314, -121.2561
812.000000, 65.310, -119.9017
825.000000, 65.325, -118.4432
838.000000, 65.334, -116.9648
850.000000, 65.337, -115.6227
862.000000, 65.348, -114.3449
875.000000, 65.377, -112.9639
885.000000, 65.404, -111.8412
900.000000, 65.457, -110.0938
912.000000, 65.497, -108.7431
925.000000, 65.547, -107.3336
938.000000, 65.599, -105.9268
950.000000, 65.647, -104.7020
962.000000, 65.701, -103.4917
975.000000, 65.762, -102.2652
988.000000, 65.825, -101.0765
1000.000000, 65.887, -100.0334
1015.000000, 65.984, -98.6065
1030.000000, 66.081, -97.2188
1044.000000, 66.164, -96.0095
1060.000000, 66.269, -94.6928
1075.000000, 66.370, -93.5326
1090.000000, 66.468, -92.4285
1106.000000, 66.572, -91.2840
1120.000000, 66.663, -90.3448
1138.000000, 66.777, -89.1848
1150.000000, 66.849, -88.4261
1172.000000, 66.985, -87.0140
1180.000000, 67.035, -86.5292
1206.000000, 67.183, -85.0675
1220.000000, 67.254, -84.2761
1241.000000, 67.356, -83.1280
1250.000000, 67.400, -82.6794
1265.000000, 67.467, -81.9441
1280.000000, 67.531, -81.1680
1315.000000, 67.703, -79.3810
1320.000000, 67.727, -79.1297
1340.000000, 67.810, -78.0823
1360.000000, 67.886, -77.0051
1380.000000, 67.975, -75.9154
1400.000000, 68.060, -74.8602
1430.000000, 68.182, -73.3290
1450.000000, 68.283, -72.2531
1475.000000, 68.417, -70.9367
1500.000000, 68.552, -69.7001
1525.000000, 68.696, -68.5109
1550.000000, 68.847, -67.3762
1575.000000, 69.003, -66.3117
1600.000000, 69.158, -65.3621
1625.000000, 69.306, -64.5875
1650.000000, 69.451, -63.8877
1675.000000, 69.584, -63.2546
1700.000000, 69.707, -62.6869
1725.000000, 69.821, -62.2086
1750.000000, 69.925, -61.7226
1775.000000, 70.017, -61.2190
1800.000000, 70.096, -60.7163
1825.000000, 70.162, -60.1911
1850.000000, 70.221, -59.6546
1875.000000, 70.283, -59.0935
1900.000000, 70.340, -58.4867
1925.000000, 70.392, -57.9176
1950.000000, 70.446, -57.3489
1975.000000, 70.508, -56.6660
2000.000000, 70.571, -55.9481
2030.000000, 70.635, -55.1668
2060.000000, 70.699, -54.4000
2090.000000, 70.769, -53.6156
2120.000000, 70.838, -52.8531
2140.000000, 70.884, -52.3517
2180.000000, 70.984, -51.3491
2200.000000, 71.036, -50.8681
2240.000000, 71.139, -49.9223
2270.000000, 71.217, -49.2242
2300.000000, 71.295, -48.5399
2330.000000, 71.374, -47.8879
2360.000000, 71.452, -47.2731
2400.000000, 71.555, -46.5031
2430.000000, 71.629, -45.9426
2470.000000, 71.728, -45.2096
2500.000000, 71.801, -44.6811
2540.000000, 71.901, -44.0305
2580.000000, 71.995, -43.4025
2620.000000, 72.086, -42.7881
2650.000000, 72.155, -42.3494
2690.000000, 72.245, -41.8506
2720.000000, 72.309, -41.5069
2760.000000, 72.388, -41.0418
2800.000000, 72.467, -40.6225
2850.000000, 72.563, -40.1147
2900.000000, 72.651, -39.6455
2950.000000, 72.730, -39.2493
3000.000000, 72.801, -38.9277
3040.000000, 72.858, -38.6571
3070.000000, 72.896, -38.4499
3110.000000, 72.939, -38.2144
3150.000000, 72.978, -38.0246
3200.000000, 73.016, -37.7813
3250.000000, 73.049, -37.5477
3300.000000, 73.076, -37.3349
3350.000000, 73.094, -37.1138
3400.000000, 73.107, -36.9208
3450.000000, 73.115, -36.7473
3500.000000, 73.115, -36.5367
3550.000000, 73.105, -36.2912
3600.000000, 73.093, -36.0543
3650.000000, 73.081, -35.7991
3700.000000, 73.060, -35.5441
3750.000000, 73.035, -35.2945
3820.000000, 73.002, -34.9266
3870.000000, 72.971, -34.6454
3950.000000, 72.917, -34.1789
4000.000000, 72.879, -33.9192
4060.000000, 72.832, -33.5418
4120.000000, 72.782, -33.1281
4180.000000, 72.729, -32.7206
4250.000000, 72.668, -32.3181
4310.000000, 72.610, -31.9452
4370.000000, 72.543, -31.5720
4440.000000, 72.471, -31.1202
4500.000000, 72.406, -30.7332
4550.000000, 72.346, -30.4260
4620.000000, 72.258, -29.9653
4680.000000, 72.180, -29.5647
4750.000000, 72.081, -29.1050
4820.000000, 71.971, -28.6242
4870.000000, 71.889, -28.2800
4940.000000, 71.775, -27.8027
5000.000000, 71.675, -27.3572
5080.000000, 71.534, -26.7084
5150.000000, 71.400, -26.0781
5220.000000, 71.259, -25.4165
5300.000000, 71.105, -24.6753
5380.000000, 70.954, -23.9229
5450.000000, 70.806, -23.1835
5520.000000, 70.651, -22.3567
5600.000000, 70.473, -21.3165
5700.000000, 70.251, -19.9081
5800.000000, 70.050, -18.4469
5900.000000, 69.847, -16.9627
6000.000000, 69.638, -15.3145
6080.000000, 69.480, -13.8728
6150.000000, 69.347, -12.5791
6220.000000, 69.221, -11.2477
6300.000000, 69.090, -9.6714
6400.000000, 68.941, -7.6674
6500.000000, 68.810, -5.6076
6600.000000, 68.688, -3.4948
6700.000000, 68.588, -1.4027
6800.000000, 68.507, 0.6943
6900.000000, 68.457, 2.8702
7000.000000, 68.426, 5.1161
7100.000000, 68.419, 7.2710
7200.000000, 68.442, 9.3649
7300.000000, 68.498, 11.3555
7400.000000, 68.576, 13.1781
7500.000000, 68.669, 14.8882
7620.000000, 68.810, 16.7806
7750.000000, 68.996, 18.6090
7880.000000, 69.214, 20.0965
8000.000000, 69.446, 21.1494
8120.000000, 69.708, 21.8623
8250.000000, 70.013, 22.1809
8380.000000, 70.336, 21.8521
8500.000000, 70.629, 20.9045
8620.000000, 70.898, 19.3581
8750.000000, 71.132, 16.9459
8850.000000, 71.258, 14.5270
9000.000000, 71.304, 10.0822
9120.000000, 71.167, 6.1227
9250.000000, 70.811, 1.8359
9380.000000, 70.248, -1.9291
9500.000000, 69.583, -4.5541
9620.000000, 68.828, -6.1342
9750.000000, 67.981, -6.5855
9880.000000, 67.157, -5.8945
10000.000000, 66.457, -4.4554
10150.000000, 65.688, -1.8542
10300.000000, 65.022, 1.3721
10440.000000, 64.506, 4.7088
10600.000000, 64.038, 8.7530
10750.000000, 63.688, 12.6703
10900.000000, 63.404, 16.6683
11060.000000, 63.188, 21.0569
11200.000000, 63.075, 24.8717
11380.000000, 63.018, 29.6675
11500.000000, 63.041, 32.9908
11720.000000, 63.201, 39.0635
11800.000000, 63.299, 41.1603
12060.000000, 63.762, 47.6216
12200.000000, 64.113, 51.0478
12410.000000, 64.792, 55.7853
12500.000000, 65.152, 57.5791
12650.000000, 65.851, 60.2429
12800.000000, 66.677, 62.4204
13150.000000, 69.190, 63.8475
13200.000000, 69.622, 63.4043
13400.000000, 71.481, 59.0018
13600.000000, 73.280, 49.1704
13800.000000, 74.464, 33.6893
14000.000000, 74.533, 15.4825
14300.000000, 72.650, -6.9703
14500.000000, 70.794, -15.4793
14750.000000, 68.569, -20.0571
15000.000000, 66.761, -20.6144
15250.000000, 65.387, -19.2713
15500.000000, 64.365, -17.2539
15750.000000, 63.643, -14.9175
16000.000000, 63.152, -12.6055
16250.000000, 62.834, -10.7147
16500.000000, 62.672, -9.2862
16750.000000, 62.616, -8.6348
17000.000000, 62.618, -8.8303
17250.000000, 62.625, -9.9479
17500.000000, 62.578, -12.1588
17750.000000, 62.409, -15.3959
18000.000000, 62.056, -19.5841
18250.000000, 61.454, -24.5543
18500.000000, 60.582, -29.9482
18750.000000, 59.405, -35.6047
19000.000000, 57.936, -41.5059
19250.000000, 56.182, -47.8783
19500.000000, 54.137, -55.1623
19750.000000, 51.963, -63.2046
