* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: May 24, 2025 3:26:45 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Zere Blue 2 (Foam) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.433, -170.1312
20.600000, 83.430, -170.5747
20.900000, 83.425, -171.0512
21.200001, 83.421, -171.5195
21.400000, 83.419, -171.8358
21.799999, 83.419, -172.5025
22.000000, 83.419, -172.8564
22.400000, 83.414, -173.5884
22.700001, 83.405, -174.1314
23.000000, 83.393, -174.6435
23.299999, 83.379, -175.1122
23.600000, 83.368, -175.5400
24.000000, 83.358, -176.0726
24.299999, 83.353, -176.4670
24.700001, 83.348, -177.0069
25.000000, 83.342, -177.4222
25.400000, 83.331, -177.9760
25.799999, 83.317, -178.5137
26.200001, 83.303, -179.0318
26.500000, 83.293, -179.4133
26.900000, 83.280, -179.9220
27.200001, 83.270, 179.6940
27.600000, 83.252, 179.1823
28.000000, 83.231, 178.6797
28.500000, 83.202, 178.0746
29.000000, 83.171, 177.4960
29.500000, 83.141, 176.9383
30.000000, 83.114, 176.3958
30.400000, 83.095, 175.9687
30.700001, 83.081, 175.6495
31.100000, 83.063, 175.2224
31.500000, 83.043, 174.7943
32.000000, 83.014, 174.2664
32.500000, 82.980, 173.7599
33.000000, 82.945, 173.2781
33.500000, 82.911, 172.8083
34.000000, 82.880, 172.3373
34.500000, 82.852, 171.8667
35.000000, 82.823, 171.4080
35.500000, 82.795, 170.9647
36.000000, 82.763, 170.5270
36.500000, 82.728, 170.0873
37.000000, 82.688, 169.6536
37.500000, 82.647, 169.2398
38.200001, 82.597, 168.6942
38.700001, 82.565, 168.3127
39.500000, 82.511, 167.7034
40.000000, 82.475, 167.3275
40.599998, 82.431, 166.8753
41.200001, 82.389, 166.4183
41.799999, 82.348, 165.9747
42.500000, 82.298, 165.4939
43.099998, 82.253, 165.0946
43.700001, 82.205, 164.6828
44.400002, 82.145, 164.1984
45.000000, 82.094, 163.8056
45.500000, 82.054, 163.4986
46.200001, 81.998, 163.0832
46.799999, 81.949, 162.7252
47.500000, 81.893, 162.3030
48.200001, 81.839, 161.8914
48.700001, 81.801, 161.6144
49.400002, 81.746, 161.2547
50.000000, 81.695, 160.9603
50.799999, 81.627, 160.5504
51.500000, 81.570, 160.1540
52.200001, 81.513, 159.7452
53.000000, 81.444, 159.3237
53.799999, 81.373, 158.9686
54.500000, 81.314, 158.6740
55.200001, 81.256, 158.3717
56.000000, 81.189, 158.0384
57.000000, 81.103, 157.6591
58.000000, 81.012, 157.2871
59.000000, 80.917, 156.9451
60.000000, 80.833, 156.5596
60.799999, 80.768, 156.1784
61.500000, 80.708, 155.8650
62.200001, 80.649, 155.6108
63.000000, 80.581, 155.3581
64.000000, 80.489, 155.0533
65.000000, 80.397, 154.7670
66.000000, 80.312, 154.4682
67.000000, 80.224, 154.1494
68.000000, 80.131, 153.8457
