* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 6, 2024 5:59:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Zero Red (Velvet M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 78.512, -142.5753
20.600000, 78.511, -143.0970
20.900000, 78.531, -143.5901
21.200001, 78.581, -143.9994
21.400000, 78.630, -144.2548
21.799999, 78.743, -144.8241
22.000000, 78.796, -145.1659
22.400000, 78.869, -145.9853
22.700001, 78.889, -146.6767
23.000000, 78.886, -147.3762
23.299999, 78.875, -148.0411
23.600000, 78.875, -148.6554
24.000000, 78.914, -149.4220
24.299999, 78.974, -149.9935
24.700001, 79.077, -150.7795
25.000000, 79.149, -151.3696
25.400000, 79.216, -152.0915
25.799999, 79.241, -152.6694
26.200001, 79.235, -153.0931
26.500000, 79.223, -153.3532
26.900000, 79.213, -153.7222
27.200001, 79.214, -154.0725
27.600000, 79.223, -154.6663
28.000000, 79.236, -155.3630
28.500000, 79.250, -156.2417
29.000000, 79.270, -157.0006
29.500000, 79.305, -157.6258
30.000000, 79.352, -158.1936
30.400000, 79.389, -158.6525
30.700001, 79.408, -159.0025
31.100000, 79.419, -159.4634
31.500000, 79.413, -159.8996
32.000000, 79.391, -160.4115
32.500000, 79.375, -160.9348
33.000000, 79.375, -161.5258
33.500000, 79.391, -162.1751
34.000000, 79.410, -162.7995
34.500000, 79.425, -163.3156
35.000000, 79.434, -163.7157
35.500000, 79.439, -164.0650
36.000000, 79.441, -164.4340
36.500000, 79.445, -164.8530
37.000000, 79.452, -165.3197
37.500000, 79.461, -165.8225
38.200001, 79.464, -166.5451
38.700001, 79.457, -167.0309
39.500000, 79.447, -167.7241
40.000000, 79.445, -168.1385
40.599998, 79.444, -168.6416
41.200001, 79.437, -169.1389
41.799999, 79.432, -169.6316
42.500000, 79.433, -170.2252
43.099998, 79.429, -170.7253
43.700001, 79.411, -171.1646
44.400002, 79.374, -171.6189
45.000000, 79.344, -172.0550
45.500000, 79.327, -172.4927
46.200001, 79.316, -173.1295
46.799999, 79.313, -173.5475
47.500000, 79.314, -173.8584
48.200001, 79.312, -174.2166
48.700001, 79.299, -174.5967
49.400002, 79.260, -175.1613
50.000000, 79.228, -175.5025
50.799999, 79.209, -175.8260
51.500000, 79.199, -176.1872
52.200001, 79.183, -176.5968
53.000000, 79.180, -177.0449
53.799999, 79.176, -177.5282
54.500000, 79.138, -177.9452
55.200001, 79.083, -178.2994
56.000000, 79.036, -178.6644
57.000000, 79.004, -179.1472
58.000000, 78.950, -179.6933
59.000000, 78.880, 179.8634
60.000000, 78.868, 179.4931
60.799999, 78.865, 179.0901
61.500000, 78.835, 178.7731
62.200001, 78.801, 178.5386
63.000000, 78.775, 178.2318
64.000000, 78.725, 177.7692
65.000000, 78.653, 177.3926
66.000000, 78.593, 176.9992
67.000000, 78.551, 176.5821
68.000000, 78.525, 176.2075
69.000000, 78.491, 175.8881
70.000000, 78.435, 175.6376
71.000000, 78.370, 175.3199
72.000000, 78.315, 174.9530
73.000000, 78.280, 174.6241
74.000000, 78.230, 174.2992
75.000000, 78.166, 174.0055
76.199997, 78.105, 173.6982
77.500000, 78.034, 173.4372
78.800003, 77.959, 173.2185
80.000000, 77.905, 172.8990
81.199997, 77.837, 172.5171
82.500000, 77.758, 172.2644
83.800003, 77.697, 172.0313
85.000000, 77.640, 171.7177
86.199997, 77.570, 171.4975
87.500000, 77.496, 171.2889
88.500000, 77.438, 171.0260
90.000000, 77.343, 170.8095
91.199997, 77.270, 170.7183
92.500000, 77.193, 170.6204
93.800003, 77.121, 170.4730
95.000000, 77.055, 170.3138
96.199997, 76.992, 170.1829
97.500000, 76.922, 170.0141
98.800003, 76.851, 169.8122
100.000000, 76.781, 169.6779
101.500000, 76.678, 169.6748
103.000000, 76.576, 169.6830
104.400002, 76.488, 169.6071
106.000000, 76.396, 169.5710
107.500000, 76.322, 169.5462
109.000000, 76.251, 169.4193
110.599998, 76.139, 169.3864
112.000000, 76.040, 169.5637
113.800003, 75.946, 169.7756
115.000000, 75.880, 169.8568
117.199997, 75.733, 169.8745
118.000000, 75.687, 169.8530
120.599998, 75.540, 169.9604
122.000000, 75.467, 170.1467
124.099998, 75.353, 170.4351
125.000000, 75.301, 170.5449
126.500000, 75.212, 170.7375
128.000000, 75.127, 170.9628
131.500000, 74.923, 171.5433
132.000000, 74.892, 171.6363
134.000000, 74.766, 172.0517
136.000000, 74.671, 172.3861
138.000000, 74.583, 172.6527
140.000000, 74.489, 172.9812
143.000000, 74.373, 173.4955
145.000000, 74.282, 174.0301
147.500000, 74.163, 174.6594
150.000000, 74.019, 175.3893
152.500000, 73.905, 176.0943
155.000000, 73.814, 176.9008
157.500000, 73.716, 177.6045
160.000000, 73.646, 178.2354
162.500000, 73.574, 178.9423
165.000000, 73.496, 179.7086
167.500000, 73.428, -179.4617
170.000000, 73.343, -178.7285
172.500000, 73.260, -178.0723
175.000000, 73.230, -177.2828
177.500000, 73.197, -176.2150
180.000000, 73.154, -175.2401
182.500000, 73.106, -174.6977
185.000000, 73.077, -174.0073
187.500000, 73.056, -173.1886
190.000000, 73.019, -172.4418
192.500000, 72.998, -171.5486
195.000000, 72.985, -170.7538
197.500000, 72.977, -169.9731
200.000000, 72.972, -169.2316
203.000000, 72.956, -168.4417
206.000000, 72.933, -167.6017
209.000000, 72.910, -166.8290
212.000000, 72.909, -166.0337
214.000000, 72.930, -165.4694
218.000000, 72.992, -164.2715
220.000000, 73.012, -163.6518
224.000000, 73.047, -162.2242
227.000000, 73.086, -161.5930
230.000000, 73.135, -161.1478
233.000000, 73.148, -160.6878
236.000000, 73.160, -160.0733
240.000000, 73.171, -159.3321
243.000000, 73.198, -158.6595
247.000000, 73.265, -157.7868
250.000000, 73.329, -157.4398
254.000000, 73.379, -156.8865
258.000000, 73.414, -155.9874
262.000000, 73.451, -155.3016
265.000000, 73.473, -154.8982
269.000000, 73.511, -154.4204
272.000000, 73.552, -154.0110
276.000000, 73.615, -153.4242
280.000000, 73.672, -152.8801
285.000000, 73.716, -152.3562
290.000000, 73.756, -151.8951
295.000000, 73.771, -151.4253
300.000000, 73.840, -150.8786
304.000000, 73.894, -150.4339
307.000000, 73.926, -150.1854
311.000000, 73.962, -149.8826
315.000000, 73.996, -149.5458
320.000000, 74.041, -149.1070
325.000000, 74.086, -148.7130
330.000000, 74.129, -148.2555
335.000000, 74.167, -147.8826
340.000000, 74.196, -147.4951
345.000000, 74.229, -147.0157
350.000000, 74.266, -146.6912
355.000000, 74.284, -146.5263
360.000000, 74.304, -146.2137
365.000000, 74.325, -145.8610
370.000000, 74.349, -145.5462
375.000000, 74.375, -145.2571
382.000000, 74.408, -144.8040
387.000000, 74.424, -144.4777
395.000000, 74.444, -144.0035
400.000000, 74.453, -143.6772
406.000000, 74.468, -143.2878
412.000000, 74.483, -142.9211
418.000000, 74.491, -142.5512
425.000000, 74.490, -142.1367
431.000000, 74.485, -141.8424
437.000000, 74.500, -141.3857
444.000000, 74.522, -141.0019
450.000000, 74.531, -140.6747
455.000000, 74.535, -140.3339
462.000000, 74.540, -139.8469
468.000000, 74.545, -139.4873
475.000000, 74.543, -139.0741
482.000000, 74.541, -138.6104
487.000000, 74.539, -138.2728
494.000000, 74.537, -137.8292
500.000000, 74.536, -137.4510
508.000000, 74.533, -136.9148
515.000000, 74.529, -136.4521
522.000000, 74.529, -135.9615
530.000000, 74.525, -135.4261
538.000000, 74.517, -134.8769
545.000000, 74.508, -134.4107
552.000000, 74.504, -133.9361
560.000000, 74.501, -133.3666
570.000000, 74.498, -132.6079
580.000000, 74.494, -131.9244
590.000000, 74.491, -131.2321
