* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 2, 2024 2:04:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Zero Red 10ohm (Spring L) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.812, -150.1912
20.600000, 81.822, -150.7356
20.900000, 81.846, -151.2320
21.200001, 81.890, -151.6594
21.400000, 81.930, -151.9310
21.799999, 82.017, -152.4960
22.000000, 82.055, -152.7970
22.400000, 82.106, -153.4125
22.700001, 82.118, -153.8572
23.000000, 82.116, -154.2801
23.299999, 82.111, -154.7061
23.600000, 82.112, -155.1811
24.000000, 82.131, -155.9630
24.299999, 82.156, -156.6733
24.700001, 82.192, -157.7206
25.000000, 82.216, -158.5006
25.400000, 82.239, -159.4180
25.799999, 82.253, -160.1309
26.200001, 82.264, -160.6566
26.500000, 82.271, -160.9765
26.900000, 82.279, -161.3828
27.200001, 82.284, -161.7177
27.600000, 82.289, -162.2460
28.000000, 82.292, -162.8750
28.500000, 82.291, -163.7425
29.000000, 82.288, -164.5652
29.500000, 82.292, -165.2261
30.000000, 82.312, -165.7410
30.400000, 82.337, -166.1341
30.700001, 82.353, -166.4613
31.100000, 82.365, -166.9538
31.500000, 82.359, -167.4810
32.000000, 82.337, -168.1090
32.500000, 82.321, -168.6542
33.000000, 82.323, -169.1494
33.500000, 82.339, -169.6596
34.000000, 82.349, -170.2103
34.500000, 82.340, -170.7820
35.000000, 82.312, -171.3422
35.500000, 82.277, -171.8655
36.000000, 82.250, -172.3364
36.500000, 82.242, -172.7630
37.000000, 82.255, -173.1940
37.500000, 82.278, -173.7031
38.200001, 82.295, -174.6090
38.700001, 82.280, -175.3100
39.500000, 82.224, -176.2033
40.000000, 82.192, -176.5310
40.599998, 82.167, -176.7848
41.200001, 82.146, -177.0529
41.799999, 82.120, -177.4377
42.500000, 82.094, -178.0571
43.099998, 82.079, -178.6909
43.700001, 82.062, -179.3090
44.400002, 82.031, -179.8435
45.000000, 82.004, 179.8690
45.500000, 81.988, 179.6581
46.200001, 81.971, 179.2704
46.799999, 81.950, 178.8391
47.500000, 81.919, 178.2724
48.200001, 81.884, 177.6846
48.700001, 81.860, 177.2986
49.400002, 81.830, 176.8763
50.000000, 81.809, 176.6086
50.799999, 81.778, 176.2212
51.500000, 81.743, 175.7590
52.200001, 81.708, 175.2400
53.000000, 81.677, 174.7131
53.799999, 81.646, 174.2969
54.500000, 81.606, 173.9468
55.200001, 81.559, 173.5374
56.000000, 81.509, 173.0227
57.000000, 81.457, 172.4367
58.000000, 81.411, 172.0081
59.000000, 81.390, 171.6588
60.000000, 81.348, 171.2319
