* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 2, 2024 1:57:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Zero Red 10ohm (Stock Narro)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.059, -150.6461
20.600000, 81.015, -151.8019
20.900000, 80.968, -152.5530
21.200001, 80.957, -152.7118
21.400000, 80.981, -152.5620
21.799999, 81.094, -152.0568
22.000000, 81.161, -151.8880
22.400000, 81.248, -151.9857
22.700001, 81.231, -152.4411
23.000000, 81.138, -153.1024
23.299999, 80.997, -153.8323
23.600000, 80.856, -154.5435
24.000000, 80.755, -155.4679
24.299999, 80.776, -156.2215
24.700001, 80.915, -157.3760
25.000000, 81.056, -158.2959
25.400000, 81.224, -159.3934
25.799999, 81.328, -160.1434
26.200001, 81.368, -160.4983
26.500000, 81.375, -160.5933
26.900000, 81.380, -160.6888
27.200001, 81.397, -160.8574
27.600000, 81.454, -161.3135
28.000000, 81.556, -162.0548
28.500000, 81.715, -163.3019
29.000000, 81.840, -164.6833
29.500000, 81.862, -165.8460
30.000000, 81.780, -166.4796
30.400000, 81.682, -166.5918
30.700001, 81.616, -166.5568
31.100000, 81.550, -166.5481
31.500000, 81.506, -166.7353
32.000000, 81.455, -167.2328
32.500000, 81.409, -167.8008
33.000000, 81.403, -168.3146
33.500000, 81.455, -168.9185
34.000000, 81.526, -169.7630
34.500000, 81.551, -170.6974
35.000000, 81.499, -171.3297
35.500000, 81.409, -171.4236
36.000000, 81.355, -171.2251
36.500000, 81.368, -171.3269
37.000000, 81.412, -172.0953
37.500000, 81.435, -173.3206
38.200001, 81.428, -174.7918
38.700001, 81.441, -175.2837
39.500000, 81.490, -175.5675
40.000000, 81.477, -175.7484
40.599998, 81.399, -175.9854
41.200001, 81.321, -176.2504
41.799999, 81.307, -176.6891
42.500000, 81.374, -177.4824
43.099998, 81.443, -178.2570
43.700001, 81.456, -178.9394
44.400002, 81.379, -179.4398
45.000000, 81.300, -179.6957
45.500000, 81.278, 179.9867
46.200001, 81.309, 179.2421
46.799999, 81.342, 178.6478
47.500000, 81.354, 178.3575
48.200001, 81.318, 178.2019
48.700001, 81.254, 177.9517
49.400002, 81.142, 177.4192
50.000000, 81.074, 176.8816
50.799999, 81.015, 176.1799
51.500000, 80.956, 175.8456
52.200001, 80.936, 175.7429
53.000000, 80.993, 175.2609
53.799999, 81.030, 174.3185
54.500000, 80.992, 173.6393
55.200001, 80.926, 173.1623
56.000000, 80.852, 172.5384
57.000000, 80.767, 171.8637
58.000000, 80.728, 171.6322
59.000000, 80.710, 171.2862
60.000000, 80.677, 170.9491
60.799999, 80.655, 170.9107
61.500000, 80.638, 170.7758
62.200001, 80.599, 170.3537
63.000000, 80.517, 169.8168
64.000000, 80.417, 169.6492
65.000000, 80.353, 169.4315
66.000000, 80.310, 168.7259
67.000000, 80.320, 167.8706
68.000000, 80.262, 167.1169
69.000000, 80.117, 166.7665
70.000000, 80.048, 166.4644
71.000000, 80.055, 166.1511
72.000000, 80.056, 166.0276
73.000000, 79.970, 165.7972
74.000000, 79.810, 165.6520
75.000000, 79.726, 165.5805
76.199997, 79.711, 165.1409
77.500000, 79.647, 164.9371
78.800003, 79.543, 164.3597
80.000000, 79.428, 163.8287
81.199997, 79.374, 163.5043
82.500000, 79.327, 163.1272
83.800003, 79.287, 162.8361
85.000000, 79.222, 162.4708
86.199997, 79.121, 162.1535
87.500000, 78.981, 162.1077
88.500000, 78.913, 161.9947
90.000000, 78.823, 161.7115
91.199997, 78.703, 161.9103
92.500000, 78.623, 161.8693
93.800003, 78.577, 161.4465
95.000000, 78.497, 161.1806
96.199997, 78.425, 161.0213
97.500000, 78.350, 160.7684
98.800003, 78.231, 160.4515
100.000000, 78.112, 160.2532
101.500000, 78.014, 160.3995
103.000000, 77.977, 160.5315
104.400002, 77.922, 160.2126
106.000000, 77.802, 159.7107
107.500000, 77.688, 159.9717
109.000000, 77.606, 160.1892
110.599998, 77.546, 159.9917
112.000000, 77.472, 159.9275
113.800003, 77.316, 159.9090
115.000000, 77.238, 159.9639
117.199997, 77.106, 160.2032
118.000000, 77.064, 160.2863
120.599998, 76.933, 160.2493
122.000000, 76.843, 159.9563
124.099998, 76.668, 159.8429
125.000000, 76.600, 159.8841
126.500000, 76.518, 160.0251
128.000000, 76.447, 160.2429
131.500000, 76.251, 160.7337
132.000000, 76.224, 160.8098
134.000000, 76.085, 161.1926
136.000000, 75.931, 161.4433
138.000000, 75.814, 161.6212
140.000000, 75.716, 161.7954
143.000000, 75.591, 162.1514
145.000000, 75.524, 162.6749
147.500000, 75.428, 163.2470
150.000000, 75.343, 164.0771
152.500000, 75.230, 165.1310
155.000000, 75.098, 165.6741
157.500000, 74.961, 165.7973
160.000000, 74.871, 166.1333
162.500000, 74.825, 166.8295
165.000000, 74.727, 167.3969
167.500000, 74.670, 167.6835
170.000000, 74.587, 168.2959
172.500000, 74.507, 169.5082
175.000000, 74.447, 169.7900
177.500000, 74.401, 170.5704
180.000000, 74.381, 171.2183
182.500000, 74.298, 171.5700
185.000000, 74.187, 172.5749
187.500000, 74.172, 173.1424
190.000000, 74.134, 173.3833
192.500000, 74.067, 174.1561
195.000000, 74.066, 175.3535
197.500000, 74.091, 175.7416
200.000000, 74.059, 175.7319
203.000000, 73.955, 176.3027
206.000000, 73.888, 177.5325
209.000000, 73.916, 178.6512
212.000000, 73.988, 179.3244
214.000000, 74.030, 179.6205
218.000000, 74.068, -179.8173
220.000000, 74.055, -179.6284
224.000000, 74.033, -179.2165
227.000000, 74.029, -178.8296
230.000000, 74.041, -178.2201
233.000000, 74.041, -177.5126
236.000000, 74.072, -176.7515
240.000000, 74.096, -175.7977
243.000000, 74.045, -175.1722
247.000000, 73.936, -174.8806
250.000000, 73.942, -174.8581
254.000000, 74.011, -174.6652
258.000000, 74.076, -173.4759
262.000000, 74.072, -173.0499
265.000000, 74.048, -172.8290
269.000000, 74.100, -171.9015
272.000000, 74.133, -171.6175
276.000000, 74.146, -172.1134
280.000000, 74.096, -171.9187
285.000000, 74.067, -170.7220
290.000000, 74.129, -169.6358
295.000000, 74.206, -169.0338
300.000000, 74.265, -168.7400
304.000000, 74.285, -168.6055
307.000000, 74.285, -168.4122
311.000000, 74.275, -168.0924
315.000000, 74.254, -167.8763
320.000000, 74.214, -167.9405
325.000000, 74.219, -168.1288
330.000000, 74.289, -167.8651
335.000000, 74.318, -167.1443
340.000000, 74.276, -166.8773
345.000000, 74.286, -166.8579
350.000000, 74.308, -166.5345
355.000000, 74.299, -166.3263
360.000000, 74.312, -166.0088
365.000000, 74.325, -165.7845
370.000000, 74.335, -165.5648
375.000000, 74.324, -165.3881
382.000000, 74.303, -165.1560
387.000000, 74.303, -164.9285
395.000000, 74.303, -164.4580
400.000000, 74.295, -164.2125
406.000000, 74.278, -163.9016
412.000000, 74.265, -163.5678
418.000000, 74.261, -163.3613
425.000000, 74.253, -163.1628
431.000000, 74.242, -162.8750
437.000000, 74.225, -162.5583
444.000000, 74.192, -162.2266
450.000000, 74.175, -162.0759
455.000000, 74.169, -161.9402
462.000000, 74.154, -161.4842
468.000000, 74.141, -161.1589
475.000000, 74.129, -160.9008
482.000000, 74.114, -160.5649
487.000000, 74.096, -160.3323
494.000000, 74.062, -160.0182
500.000000, 74.038, -159.6702
508.000000, 74.031, -159.2784
515.000000, 74.027, -158.9182
522.000000, 74.009, -158.5205
530.000000, 73.979, -158.1319
538.000000, 73.959, -157.7596
545.000000, 73.944, -157.4317
552.000000, 73.932, -157.0071
560.000000, 73.918, -156.4726
570.000000, 73.891, -155.9884
580.000000, 73.854, -155.5396
590.000000, 73.833, -154.9875
600.000000, 73.829, -154.4859
608.000000, 73.815, -154.0072
615.000000, 73.790, -153.5329
622.000000, 73.767, -153.0902
630.000000, 73.754, -152.6488
640.000000, 73.739, -152.1226
650.000000, 73.711, -151.5794
660.000000, 73.688, -150.9733
670.000000, 73.663, -150.3518
680.000000, 73.650, -149.7204
690.000000, 73.636, -149.2097
700.000000, 73.623, -148.6699
710.000000, 73.622, -148.0099
720.000000, 73.621, -147.2941
730.000000, 73.613, -146.6651
740.000000, 73.603, -146.0546
750.000000, 73.607, -145.3665
762.000000, 73.613, -144.5448
775.000000, 73.598, -143.7151
788.000000, 73.586, -142.8745
800.000000, 73.594, -142.0805
812.000000, 73.615, -141.3127
825.000000, 73.639, -140.4357
838.000000, 73.649, -139.5521
850.000000, 73.668, -138.7587
862.000000, 73.697, -137.9738
875.000000, 73.723, -137.0817
885.000000, 73.754, -136.4056
900.000000, 73.812, -135.3667
912.000000, 73.867, -134.5844
925.000000, 73.919, -133.7572
938.000000, 73.964, -132.9797
950.000000, 74.020, -132.3060
962.000000, 74.094, -131.5665
975.000000, 74.171, -130.8403
988.000000, 74.248, -130.2321
1000.000000, 74.322, -129.6573
1015.000000, 74.399, -128.8079
1030.000000, 74.496, -128.1140
1044.000000, 74.603, -127.5229
1060.000000, 74.723, -126.7995
1075.000000, 74.820, -126.2494
