* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 2, 2024 2:09:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Zero Red 10ohm (Velvet M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.946, -151.2670
20.600000, 81.975, -151.8360
20.900000, 82.014, -152.4039
21.200001, 82.061, -152.9228
21.400000, 82.094, -153.2502
21.799999, 82.156, -153.9025
22.000000, 82.180, -154.2443
22.400000, 82.205, -154.9767
22.700001, 82.202, -155.5566
23.000000, 82.185, -156.1385
23.299999, 82.162, -156.7036
23.600000, 82.146, -157.2485
24.000000, 82.150, -157.9678
24.299999, 82.174, -158.5241
24.700001, 82.231, -159.2915
25.000000, 82.282, -159.8594
25.400000, 82.351, -160.5493
25.799999, 82.415, -161.1307
26.200001, 82.466, -161.6349
26.500000, 82.491, -162.0054
26.900000, 82.496, -162.5299
27.200001, 82.477, -162.9434
27.600000, 82.429, -163.4827
28.000000, 82.378, -163.9708
28.500000, 82.346, -164.5313
29.000000, 82.364, -165.1380
29.500000, 82.401, -165.8228
30.000000, 82.419, -166.4785
30.400000, 82.413, -166.9153
30.700001, 82.404, -167.2052
31.100000, 82.393, -167.6107
31.500000, 82.391, -168.1178
32.000000, 82.395, -168.9254
32.500000, 82.400, -169.8125
33.000000, 82.405, -170.6202
33.500000, 82.413, -171.2953
34.000000, 82.418, -171.8851
34.500000, 82.413, -172.4208
35.000000, 82.395, -172.8576
35.500000, 82.371, -173.1468
36.000000, 82.343, -173.3334
36.500000, 82.302, -173.5469
37.000000, 82.238, -173.8842
37.500000, 82.163, -174.3339
38.200001, 82.120, -175.0455
38.700001, 82.175, -175.6260
39.500000, 82.324, -176.6887
40.000000, 82.365, -177.2278
40.599998, 82.337, -177.5356
41.200001, 82.288, -177.6842
41.799999, 82.255, -178.0958
42.500000, 82.210, -178.9018
43.099998, 82.159, -179.4363
43.700001, 82.128, -179.7369
44.400002, 82.109, 179.8642
45.000000, 82.074, 179.4918
45.500000, 82.039, 179.3612
46.200001, 82.030, 179.3806
46.799999, 82.048, 179.1262
47.500000, 82.017, 178.2997
48.200001, 81.925, 177.4242
48.700001, 81.871, 177.0285
49.400002, 81.845, 176.6990
50.000000, 81.833, 176.4228
50.799999, 81.788, 175.9893
