* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 15, 2024 3:00:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: iSine 10 (Stock M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 100.083, 616.0064
20.600000, 100.183, 614.6658
20.900000, 100.290, 613.2159
21.200001, 100.393, 611.7663
21.400000, 100.460, 610.8057
21.799999, 100.595, 608.9009
22.000000, 100.663, 607.9569
22.400000, 100.799, 606.0868
22.700001, 100.898, 604.7025
23.000000, 100.990, 603.3384
23.299999, 101.075, 601.9999
23.600000, 101.151, 600.6924
24.000000, 101.241, 599.0008
24.299999, 101.302, 597.7682
24.700001, 101.379, 596.1609
25.000000, 101.435, 594.9729
25.400000, 101.510, 593.4022
25.799999, 101.582, 591.8458
26.200001, 101.651, 590.3110
26.500000, 101.699, 589.1802
26.900000, 101.759, 587.7031
27.200001, 101.800, 586.6175
27.600000, 101.852, 585.1951
28.000000, 101.900, 583.7968
28.500000, 101.957, 582.0797
29.000000, 102.011, 580.3988
29.500000, 102.061, 578.7543
30.000000, 102.108, 577.1434
30.400000, 102.143, 575.8777
30.700001, 102.166, 574.9421
31.100000, 102.195, 573.7140
31.500000, 102.222, 572.5085
32.000000, 102.253, 571.0319
32.500000, 102.282, 569.5853
33.000000, 102.309, 568.1635
33.500000, 102.333, 566.7623
34.000000, 102.355, 565.3789
34.500000, 102.375, 564.0146
35.000000, 102.394, 562.6739
35.500000, 102.410, 561.3605
36.000000, 102.426, 560.0751
36.500000, 102.440, 558.8159
37.000000, 102.452, 557.5817
37.500000, 102.463, 556.3703
38.200001, 102.477, 554.7023
38.700001, 102.486, 553.5233
39.500000, 102.495, 551.6648
40.000000, 102.499, 550.5327
40.599998, 102.505, 549.2073
41.200001, 102.512, 547.9047
41.799999, 102.517, 546.6123
42.500000, 102.520, 545.1213
43.099998, 102.520, 543.8684
43.700001, 102.519, 542.6410
44.400002, 102.518, 541.2347
45.000000, 102.516, 540.0459
45.500000, 102.513, 539.0635
46.200001, 102.508, 537.6974
46.799999, 102.504, 536.5381
47.500000, 102.499, 535.2143
48.200001, 102.494, 533.9281
48.700001, 102.490, 533.0239
49.400002, 102.484, 531.7613
50.000000, 102.477, 530.6790
50.799999, 102.468, 529.2491
51.500000, 102.460, 528.0167
52.200001, 102.450, 526.8000
53.000000, 102.436, 525.4308
53.799999, 102.424, 524.0876
54.500000, 102.414, 522.9290
55.200001, 102.404, 521.7824
56.000000, 102.390, 520.4857
57.000000, 102.372, 518.8720
58.000000, 102.352, 517.2748
59.000000, 102.332, 515.7338
60.000000, 102.314, 514.2114
60.799999, 102.299, 512.9779
61.500000, 102.284, 511.9011
62.200001, 102.266, 510.8381
63.000000, 102.246, 509.6430
64.000000, 102.223, 508.1743
65.000000, 102.203, 506.7153
66.000000, 102.180, 505.2594
67.000000, 102.154, 503.8253
68.000000, 102.127, 502.4114
69.000000, 102.101, 501.0088
70.000000, 102.077, 499.6203
71.000000, 102.054, 498.2462
72.000000, 102.029, 496.8793
73.000000, 102.001, 495.5225
74.000000, 101.973, 494.1851
75.000000, 101.945, 492.8618
76.199997, 101.913, 491.2899
77.500000, 101.876, 489.6059
78.800003, 101.839, 487.9309
80.000000, 101.804, 486.3917
81.199997, 101.769, 484.8680
82.500000, 101.731, 483.2317
83.800003, 101.692, 481.6159
85.000000, 101.656, 480.1369
86.199997, 101.619, 478.6695
87.500000, 101.578, 477.0905
88.500000, 101.547, 475.8838
90.000000, 101.503, 474.0854
91.199997, 101.466, 472.6579
92.500000, 101.426, 471.1260
93.800003, 101.386, 469.6091
95.000000, 101.348, 468.2196
96.199997, 101.308, 466.8364
97.500000, 101.266, 465.3489
98.800003, 101.227, 463.8719
100.000000, 101.191, 462.5217
101.500000, 101.147, 460.8506
103.000000, 101.101, 459.1736
104.400002, 101.056, 457.6215
106.000000, 101.002, 455.8687
107.500000, 100.953, 454.2351
109.000000, 100.905, 452.6177
110.599998, 100.856, 450.9026
112.000000, 100.814, 449.4152
113.800003, 100.760, 447.5233
115.000000, 100.724, 446.2620
117.199997, 100.656, 443.9467
118.000000, 100.631, 443.1141
120.599998, 100.554, 440.4201
122.000000, 100.515, 438.9924
124.099998, 100.452, 436.8752
125.000000, 100.425, 435.9765
126.500000, 100.381, 434.4798
128.000000, 100.337, 432.9710
131.500000, 100.236, 429.4608
132.000000, 100.222, 428.9701
134.000000, 100.164, 427.0248
136.000000, 100.105, 425.0907
138.000000, 100.045, 423.1936
140.000000, 99.987, 421.3236
143.000000, 99.908, 418.5641
145.000000, 99.857, 416.7448
147.500000, 99.799, 414.4884
150.000000, 99.745, 412.2780
152.500000, 99.688, 410.1102
155.000000, 99.630, 407.9778
157.500000, 99.570, 405.8780
160.000000, 99.510, 403.7923
162.500000, 99.453, 401.6917
165.000000, 99.400, 399.6094
167.500000, 99.349, 397.5469
170.000000, 99.299, 395.4990
172.500000, 99.249, 393.4797
175.000000, 99.199, 391.4964
177.500000, 99.150, 389.5284
180.000000, 99.103, 387.5817
182.500000, 99.057, 385.6569
185.000000, 99.013, 383.7351
187.500000, 98.972, 381.8235
190.000000, 98.932, 379.9385
192.500000, 98.891, 378.0813
195.000000, 98.851, 376.2541
197.500000, 98.810, 374.4629
200.000000, 98.771, 372.6929
203.000000, 98.728, 370.5882
206.000000, 98.690, 368.5108
209.000000, 98.652, 366.4538
212.000000, 98.614, 364.4196
214.000000, 98.588, 363.0929
218.000000, 98.536, 360.5106
220.000000, 98.510, 359.2497
224.000000, 98.460, 356.7482
227.000000, 98.429, 354.8969
230.000000, 98.401, 353.0920
233.000000, 98.375, 351.3268
236.000000, 98.348, 349.5965
240.000000, 98.311, 347.3377
243.000000, 98.282, 345.7078
247.000000, 98.246, 343.5958
250.000000, 98.220, 342.0229
254.000000, 98.194, 339.9899
258.000000, 98.172, 338.0109
262.000000, 98.149, 336.0967
265.000000, 98.130, 334.7065
269.000000, 98.104, 332.9157
272.000000, 98.084, 331.5999
276.000000, 98.058, 329.8962
280.000000, 98.038, 328.2639
285.000000, 98.021, 326.2968
290.000000, 98.007, 324.4007
295.000000, 97.989, 322.6137
300.000000, 97.966, 320.9198
304.000000, 97.948, 319.6094
307.000000, 97.937, 318.6653
311.000000, 97.925, 317.4655
315.000000, 97.918, 316.3224
320.000000, 97.914, 314.9514
325.000000, 97.908, 313.6523
330.000000, 97.899, 312.4280
335.000000, 97.888, 311.2696
340.000000, 97.878, 310.1708
345.000000, 97.872, 309.1512
350.000000, 97.872, 308.2171
355.000000, 97.878, 307.3471
360.000000, 97.885, 306.5341
365.000000, 97.888, 305.7778
370.000000, 97.886, 305.0696
375.000000, 97.883, 304.4123
382.000000, 97.885, 303.5912
387.000000, 97.891, 303.0870
395.000000, 97.914, 302.4086
400.000000, 97.929, 302.0529
406.000000, 97.941, 301.6762
412.000000, 97.950, 301.3333
418.000000, 97.958, 301.0433
425.000000, 97.971, 300.7962
431.000000, 97.988, 300.6700
437.000000, 98.013, 300.6304
444.000000, 98.047, 300.6637
450.000000, 98.073, 300.7259
455.000000, 98.089, 300.7981
462.000000, 98.110, 300.9404
468.000000, 98.130, 301.1197
475.000000, 98.159, 301.3943
482.000000, 98.195, 301.7608
487.000000, 98.225, 302.0882
494.000000, 98.269, 302.5962
500.000000, 98.303, 303.0432
508.000000, 98.343, 303.6574
515.000000, 98.376, 304.2344
522.000000, 98.410, 304.8638
530.000000, 98.456, 305.6555
538.000000, 98.511, 306.5556
545.000000, 98.565, 307.4293
552.000000, 98.618, 308.3278
560.000000, 98.673, 309.3401
570.000000, 98.735, 310.6234
580.000000, 98.797, 311.9867
590.000000, 98.868, 313.4250
600.000000, 98.948, 314.9948
608.000000, 99.014, 316.3334
615.000000, 99.069, 317.5034
622.000000, 99.117, 318.6422
630.000000, 99.165, 319.9384
640.000000, 99.215, 321.6125
650.000000, 99.261, 323.3569
660.000000, 99.307, 325.2335
670.000000, 99.353, 327.3176
680.000000, 99.395, 329.5577
690.000000, 99.435, 331.9009
700.000000, 99.486, 334.3138
710.000000, 99.549, 336.7131
720.000000, 99.622, 339.0232
730.000000, 99.700, 341.2388
740.000000, 99.783, 343.3936
750.000000, 99.878, 345.4899
762.000000, 100.008, 347.9138
775.000000, 100.151, 350.4679
788.000000, 100.288, 352.8224
800.000000, 100.404, 354.7525
812.000000, 100.512, 356.4899
825.000000, 100.621, 358.2248
838.000000, 100.731, 359.8428
850.000000, 100.834, 361.2718
862.000000, 100.932, 362.6553
875.000000, 101.035, 364.0228
885.000000, 101.109, 364.9420
900.000000, 101.203, 366.1289
912.000000, 101.266, 366.9707
925.000000, 101.326, 367.8072
938.000000, 101.386, 368.6099
950.000000, 101.431, 369.3342
962.000000, 101.461, 370.0336
975.000000, 101.474, 370.7396
988.000000, 101.461, 371.3961
1000.000000, 101.425, 372.0386
1015.000000, 101.359, 373.0615
1030.000000, 101.304, 374.4396
1044.000000, 101.301, 376.0331
1060.000000, 101.358, 377.9947
1075.000000, 101.460, 379.7325
1090.000000, 101.593, 381.1984
1106.000000, 101.747, 382.4208
1120.000000, 101.881, 383.2667
1138.000000, 102.054, 384.1448
1150.000000, 102.177, 384.6583
1172.000000, 102.412, 385.5324
1180.000000, 102.498, 385.8212
1206.000000, 102.776, 386.5453
1220.000000, 102.928, 386.7180
1241.000000, 103.145, 386.6589
1250.000000, 103.232, 386.5470
1265.000000, 103.377, 386.2879
1280.000000, 103.528, 385.9648
1315.000000, 103.870, 384.9557
1320.000000, 103.913, 384.7750
1340.000000, 104.077, 383.9051
1360.000000, 104.217, 382.7309
1380.000000, 104.314, 381.2679
1400.000000, 104.365, 379.6346
1430.000000, 104.371, 377.1904
1450.000000, 104.323, 375.8139
1475.000000, 104.211, 374.4805
1500.000000, 104.077, 373.5252
1525.000000, 103.958, 372.8185
1550.000000, 103.868, 372.1661
1575.000000, 103.825, 371.4657
1600.000000, 103.820, 370.6525
1625.000000, 103.799, 369.6425
1650.000000, 103.726, 368.4819
1675.000000, 103.607, 367.2676
1700.000000, 103.445, 366.0417
1725.000000, 103.243, 364.8848
1750.000000, 103.026, 363.9535
1775.000000, 102.814, 363.3899
1800.000000, 102.603, 363.1494
1825.000000, 102.378, 363.1239
1850.000000, 102.147, 363.2863
1875.000000, 101.918, 363.5855
1900.000000, 101.691, 363.9940
1925.000000, 101.469, 364.5559
1950.000000, 101.275, 365.4481
1975.000000, 101.129, 366.7548
2000.000000, 101.035, 368.3854
2030.000000, 100.989, 370.5355
2060.000000, 101.036, 372.6062
2090.000000, 101.159, 374.2105
2120.000000, 101.312, 375.2001
2140.000000, 101.416, 375.5796
2180.000000, 101.628, 376.1385
2200.000000, 101.736, 376.4726
2240.000000, 101.951, 377.2938
2270.000000, 102.121, 377.8797
2300.000000, 102.309, 378.3669
2330.000000, 102.519, 378.6317
2360.000000, 102.745, 378.6000
2400.000000, 103.083, 378.2399
2430.000000, 103.385, 377.9301
2470.000000, 103.853, 377.3056
2500.000000, 104.215, 376.2744
2540.000000, 104.649, 374.0824
2580.000000, 105.019, 371.0927
2620.000000, 105.300, 367.2032
2650.000000, 105.432, 363.7999
2690.000000, 105.499, 359.1259
2720.000000, 105.465, 355.7927
